Date,EM ASIA SMALL CAP
1998-12-31,476.3409307522057
1999-01-01,476.3269807005799
1999-01-04,487.2376175082811
1999-01-05,495.0320759511886
1999-01-06,509.4658014789287
1999-01-07,522.3710775771699
1999-01-08,529.4002979825976
1999-01-11,542.6950908803552
1999-01-12,539.5845792070713
1999-01-13,526.2596676201507
1999-01-14,507.1551451951712
1999-01-15,517.7802447226491
1999-01-18,523.9172920836525
1999-01-19,517.2477475388072
1999-01-20,514.9191659975688
1999-01-21,502.8721827830237
1999-01-22,487.12626570228224
1999-01-25,473.5020550189532
1999-01-26,469.7120608006026
1999-01-27,486.3974863624738
1999-01-28,487.8823496896623
1999-01-29,490.3181235447167
1999-02-01,494.8037621405115
1999-02-02,486.1333681720582
1999-02-03,482.15172023236016
1999-02-04,476.6975059946915
1999-02-05,474.30631083502897
1999-02-08,476.88073651865875
1999-02-09,465.7434717988875
1999-02-10,469.33953590742044
1999-02-11,472.8347772948002
1999-02-12,484.0693430033182
1999-02-15,486.95231251792836
1999-02-16,491.377451274564
1999-02-17,489.1122973227382
1999-02-18,486.3389250040994
1999-02-19,481.839581418141
1999-02-22,479.3372092202367
1999-02-23,478.0463128980458
1999-02-24,474.22992748846343
1999-02-25,468.3740223424281
1999-02-26,478.4525580076211
1999-03-01,491.3620048960444
1999-03-02,493.13812073541226
1999-03-03,495.35387330262455
1999-03-04,496.38484447890875
1999-03-05,497.37405254185654
1999-03-08,508.0521443011575
1999-03-09,506.4426945379234
1999-03-10,504.15141162978534
1999-03-11,511.931329524512
1999-03-12,510.1843183379095
1999-03-15,517.4846633883557
1999-03-16,520.6366096208357
1999-03-17,515.6124553113035
1999-03-18,514.6635237044248
1999-03-19,527.9990112454645
1999-03-22,534.9913060782474
1999-03-23,538.6172050073494
1999-03-24,534.2240070200413
1999-03-25,538.9852992187708
1999-03-26,543.6711129491636
1999-03-29,540.5176519261515
1999-03-30,542.6756802583857
1999-03-31,543.586431516059
1999-04-01,547.6806722854416
1999-04-02,554.2187172208468
1999-04-05,552.0016139642347
1999-04-06,558.7620698321601
1999-04-07,559.0803830075058
1999-04-08,561.2659213971268
1999-04-09,565.3315473060078
1999-04-12,562.7398344751823
1999-04-13,566.700085967171
1999-04-14,568.8208222216593
1999-04-15,583.524083125589
1999-04-16,594.6466205344096
1999-04-19,611.0972225325361
1999-04-20,618.5812738781538
1999-04-21,616.1455982728535
1999-04-22,616.2284831197861
1999-04-23,618.5477953530749
1999-04-26,630.1795777916948
1999-04-27,635.6146123123789
1999-04-28,643.6859896769694
1999-04-29,646.5459557090801
1999-04-30,657.752680507357
1999-05-03,669.4338355142274
1999-05-04,686.877471045571
1999-05-05,686.2919790932837
1999-05-06,690.96104922541
1999-05-07,688.9135439094975
1999-05-10,701.0923867201292
1999-05-11,697.4208629000266
1999-05-12,689.5683561043393
1999-05-13,679.1629987229048
1999-05-14,670.0940093141107
1999-05-17,655.5161252214416
1999-05-18,663.1137759600686
1999-05-19,668.5114044714084
1999-05-20,658.7651759047054
1999-05-21,659.9892508025836
1999-05-24,659.6390902796774
1999-05-25,660.7156383086855
1999-05-26,673.0427463020677
1999-05-27,672.8818415449971
1999-05-28,667.8358953712834
1999-05-31,669.6507911503003
1999-06-01,664.7316811711189
1999-06-02,678.2414141512465
1999-06-03,681.4597111900777
1999-06-04,689.7971417640708
1999-06-07,702.0471614624767
1999-06-08,712.8312746765017
1999-06-09,706.3296260170156
1999-06-10,713.18237078065
1999-06-11,714.8495989015753
1999-06-14,716.2464051319478
1999-06-15,703.6089089073021
1999-06-16,714.3178662141996
1999-06-17,721.2886038526699
1999-06-18,716.8152607764653
1999-06-21,734.830423270303
1999-06-22,750.0011089867083
1999-06-23,752.9531124317193
1999-06-24,751.0077832331773
1999-06-25,737.8576545172084
1999-06-28,749.788632499892
1999-06-29,755.5265952640211
1999-06-30,751.6173756388663
1999-07-01,758.0205201477786
1999-07-02,770.9978146401504
1999-07-05,795.8890014952967
1999-07-06,798.6738986332001
1999-07-07,801.2742633260116
1999-07-08,811.4235937397951
1999-07-09,818.0654813214153
1999-07-12,828.290292998861
1999-07-13,812.0972328699766
1999-07-14,794.30434465611
1999-07-15,791.1661050947623
1999-07-16,788.868983746293
1999-07-19,793.3015788494853
1999-07-20,777.0882409384726
1999-07-21,760.7773750650335
1999-07-22,756.7832892306965
1999-07-23,735.7237598803537
1999-07-26,698.7954850791674
1999-07-27,705.8776103481492
1999-07-28,721.105884671122
