Date,EMERGING MARKETS+CHINA A ONSH SMALL CAP
2013-09-27,3139.7139202907497
2013-09-30,3150.508964936952
2013-10-01,3158.8293126796602
2013-10-30,3152.698856149983
2013-10-31,3170.4003841185786
2013-11-01,3177.245364187607
2013-11-27,3195.781719353764
2013-11-28,3204.6820487937553
2013-11-29,3220.464306581318
2013-12-02,3163.953876356379
2013-12-30,3118.140187736998
2013-12-31,3136.714779422937
2014-01-01,3137.275397052743
2014-01-02,3167.003889766671
2014-01-03,3165.673277085275
2014-01-06,3112.652692660798
2014-01-07,3134.066293714095
2014-01-08,3146.2725344068244
2014-01-09,3121.052241660221
2014-01-10,3087.172944667462
2014-01-13,3099.1643670461626
2014-01-14,3111.5773782601395
2014-01-15,3145.3535799955566
2014-01-16,3144.6186597536193
2014-01-17,3139.278791115714
2014-01-20,3128.3762012292705
2014-01-21,3151.11929047943
2014-01-22,3178.0055785065883
2014-01-23,3147.834727313603
2014-01-24,3146.6043182789217
2014-01-27,3116.296340896902
2014-01-28,3123.5299931800514
2014-01-29,3144.640856122774
2014-01-30,3154.0229588025154
2014-01-31,3173.6068995716923
2014-02-03,3158.1218121569686
2014-02-04,3152.882431013796
2014-02-05,3145.6628609583486
2014-02-06,3146.968168417791
2014-02-07,3181.948844667034
2014-02-10,3222.8568133396734
2014-02-11,3230.58290715972
2014-02-12,3283.6272316553363
2014-02-13,3237.6343707391316
2014-02-14,3268.400984126989
2014-02-17,3305.2751055018175
2014-02-18,3288.9654129644127
2014-02-19,3292.6824141493303
2014-02-20,3268.998187115893
2014-02-21,3264.486347583186
2014-02-24,3268.4722262828677
2014-02-25,3206.337326754986
2014-02-26,3241.383182894467
2014-02-27,3228.006149156668
2014-02-28,3214.546952393538
2014-03-03,3242.2634317150205
2014-03-04,3264.15141436843
2014-03-05,3278.915466427452
2014-03-06,3279.684984225936
2014-03-07,3261.9404644649867
2014-03-10,3189.276463604681
2014-03-11,3200.5731818368135
2014-03-12,3169.2945899441897
2014-03-13,3185.0076557171787
2014-03-14,3165.3258382633067
2014-03-17,3192.985647805415
2014-03-18,3213.629447134475
2014-03-19,3219.056816081526
2014-03-20,3186.4998876743543
2014-03-21,3217.821558551336
2014-03-24,3235.8250973999275
2014-03-25,3233.718062815925
2014-03-26,3246.6281885700896
2014-03-27,3231.2167797520374
2014-03-28,3207.1905223737813
2014-03-31,3203.2421023973343
2014-04-01,3239.659221625751
2014-04-02,3258.865886272219
2014-04-03,3264.9665712075484
2014-04-04,3291.5398233889023
2014-04-07,3268.5953782771676
2014-04-08,3275.8481675276844
2014-04-09,3292.565138851779
2014-04-10,3286.9545986735016
2014-04-11,3268.7450859665914
2014-04-14,3285.4156509266513
2014-04-15,3268.1535221719982
2014-04-16,3286.17530548957
2014-04-17,3287.7912419275353
2014-04-18,3294.53737806041
2014-04-21,3276.923702893513
2014-04-22,3270.2043837607944
2014-04-23,3253.8664093868233
2014-04-24,3234.992200016553
2014-04-25,3180.33389815469
2014-04-28,3131.7865683998143
2014-04-29,3165.0280682625903
2014-04-30,3156.869344431832
2014-05-01,3157.996158950416
2014-05-02,3171.2898974174777
2014-05-05,3185.2646194628755
2014-05-06,3186.970213069688
2014-05-07,3162.133896202192
2014-05-08,3176.6942305926523
2014-05-09,3183.62589428544
2014-05-12,3219.3311057728574
2014-05-13,3240.5209735721687
2014-05-14,3246.2540151297167
2014-05-15,3215.418020562102
2014-05-16,3213.879984720261
2014-05-19,3212.15075727106
2014-05-20,3216.355930907867
2014-05-21,3239.2599081989297
2014-05-22,3260.2540326015683
2014-05-23,3287.0592935612003
2014-05-26,3296.632542988998
2014-05-27,3294.9442765565996
2014-05-28,3318.2415628124686
2014-05-29,3304.6441798510473
2014-05-30,3295.016938045438
2014-06-02,3300.0454902397055
2014-06-03,3291.9432252042097
2014-06-04,3281.400839573855
2014-06-05,3305.732785489845
2014-06-06,3308.8118164945804
2014-06-09,3324.5840211323834
2014-06-10,3357.913599216559
2014-06-11,3370.68235620036
2014-06-12,3371.4067156949163
2014-06-13,3384.7572468916
2014-06-16,3373.6202537968425
2014-06-17,3364.8766001152253
2014-06-18,3344.647741222054
2014-06-19,3303.517560873741
2014-06-20,3325.837487946856
2014-06-23,3322.004631851702
2014-06-24,3338.186461205849
2014-06-25,3319.1500467886617
2014-06-26,3360.767766533329
2014-06-27,3365.9340214137255
2014-06-30,3380.6984827614924
2014-07-01,3398.8403777574517
2014-07-02,3420.7236464786592
2014-07-03,3450.289000813409
2014-07-04,3462.8836419477943
2014-07-07,3461.5899155855827
2014-07-08,3463.6563004109457
2014-07-09,3433.0497810875445
2014-07-10,3450.7255631104035
2014-07-11,3453.0460667388015
2014-07-14,3478.4425764004795
2014-07-15,3495.3481580590587
2014-07-16,3489.5732837012893
2014-07-17,3487.2394864902767
2014-07-18,3489.651195461852
2014-07-21,3487.3144481729655
2014-07-22,3532.47426989304
2014-07-23,3531.1651189413597
2014-07-24,3527.3592442538475
2014-07-25,3551.532894967998
2014-07-28,3570.35042929751
2014-07-29,3582.511627318843
2014-07-30,3600.024397749455
2014-07-31,3601.5551431813487
2014-08-01,3561.37634354066
2014-08-04,3600.903956670414
2014-08-05,3623.375551512386
2014-08-06,3620.8524812118603
2014-08-07,3600.297606834995
2014-08-08,3591.3421976196605
2014-08-11,3643.042651711715
2014-08-12,3666.2088536816727
2014-08-13,3678.353241424058
2014-08-14,3675.669164706051
2014-08-15,3695.9824834462675
2014-08-18,3726.0225965495392
2014-08-19,3761.828816387906
2014-08-20,3766.325820255303
2014-08-21,3761.6671635208563
2014-08-22,3801.124188799406
2014-08-25,3804.0639177643716
2014-08-26,3775.449587864128
2014-08-27,3795.502927301558
2014-08-28,3784.4741951585825
2014-08-29,3805.887351918726
2014-09-01,3852.686749384337
2014-09-02,3879.852666600889
2014-09-03,3899.5396940042842
2014-09-04,3971.695983763675
2014-09-05,3984.7825666842264
2014-09-08,3988.3448523307397
2014-09-09,4004.834171121724
2014-09-10,4005.541626832943
2014-09-11,3988.927078383649
2014-09-12,4001.524821628704
2014-09-15,4013.6988912693273
2014-09-16,3935.534754719543
2014-09-17,3962.6617376635168
2014-09-18,3978.2872220408103
2014-09-19,4039.2281977828115
2014-09-22,4006.649726810469
2014-09-23,4012.7659196774075
2014-09-24,4061.976792529475
2014-09-25,4065.269677409116
2014-09-26,4086.218878369759
2014-09-29,4076.9041919513024
2014-09-30,4112.530122796301
2014-10-01,4116.598150471219
2014-10-02,4096.188715702857
2014-10-03,4144.591681646084
2014-10-06,4135.452491567521
2014-10-07,4114.541730847634
2014-10-08,4111.53304433156
2014-10-09,4123.167251051083
2014-10-10,4119.932756180817
2014-10-13,4075.439244064076
2014-10-14,4074.03556277761
2014-10-15,4036.103022869872
2014-10-16,3980.83382895263
2014-10-17,3967.1181490912977
2014-10-20,4007.4777608360564
2014-10-21,4013.577222394689
2014-10-22,4024.3933851135644
2014-10-23,3992.4751939737007
2014-10-24,3987.9246441966375
2014-10-27,3974.0639099040727
2014-10-28,4038.13012566521
2014-10-29,4084.0867319609406
2014-10-30,4121.818260327712
2014-10-31,4154.875236278951
2014-11-03,4188.541624739565
2014-11-04,4143.331749713273
2014-11-05,4158.974153769935
2014-11-06,4175.325607238785
2014-11-07,4153.628928158422
2014-11-10,4170.031463505702
2014-11-11,4103.455835990616
2014-11-12,4119.899948915202
2014-11-13,4099.001989600904
2014-11-14,4087.3750326610775
2014-11-17,4110.399811683026
2014-11-18,4099.243560614903
2014-11-19,4113.9925518074315
2014-11-20,4111.32841744295
2014-11-21,4184.444693102507
2014-11-24,4197.723277922835
2014-11-25,4207.490691333879
2014-11-26,4205.428643047806
2014-11-27,4234.167599343375
2014-11-28,4224.419606420601
2014-12-01,4167.3219857459335
2014-12-02,4223.36304843472
2014-12-03,4271.682706137504
2014-12-04,4259.676918620865
2014-12-05,4249.7295542186275
2014-12-08,4231.164851594366
2014-12-09,4078.5620447794427
2014-12-10,4146.083105740884
2014-12-11,4167.711416787247
2014-12-12,4150.82312089562
2014-12-15,4168.644104857855
2014-12-16,4113.948586645383
2014-12-17,4122.4017171742635
2014-12-18,4165.204420416704
2014-12-19,4157.690748453853
2014-12-22,4083.69298443068
2014-12-23,4072.3187659952805
2014-12-24,4115.8341325893125
2014-12-25,4142.444665803828
2014-12-26,4166.543912410596
2014-12-29,4144.906793759056
2014-12-30,4126.505134874284
2014-12-31,4177.813474485655
2015-01-01,4178.613906813922
2015-01-02,4201.563132794324
2015-01-05,4245.419935891616
2015-01-06,4260.33690573561
2015-01-07,4309.9239656780255
2015-01-08,4324.349187875351
2015-01-09,4308.854061082601
2015-01-12,4282.394319534557
2015-01-13,4329.746431468039
2015-01-14,4318.422026963822
2015-01-15,4419.2321691874695
2015-01-16,4457.587615419833
2015-01-19,4325.106642190193
2015-01-20,4423.964068073905
2015-01-21,4486.635997492018
2015-01-22,4601.474632512775
2015-01-23,4657.674453180682
2015-01-26,4689.163796045821
2015-01-27,4658.874189690373
2015-01-28,4677.557165470634
2015-01-29,4651.385295775121
