Date,AC ASIA ex JAPAN+CHINA A ONSH SMALL CAP
2013-09-27,3130.9098598480336
2013-09-30,3141.032684580047
2013-10-01,3148.69741912235
2013-10-30,3118.972263399044
2013-10-31,3142.6402110991444
2013-11-01,3155.1382825662718
2013-11-27,3187.0039286873375
2013-11-28,3196.494490282099
2013-11-29,3210.9054638775474
2013-12-02,3157.716417133696
2013-12-30,3117.898450191186
2013-12-31,3139.5520198970225
2014-01-01,3140.1279996663625
2014-01-02,3176.6850904342637
2014-01-03,3170.362465197912
2014-01-06,3115.7504556843196
2014-01-07,3136.001366035494
2014-01-08,3152.711548049251
2014-01-09,3131.8687740397204
2014-01-10,3090.777750078365
2014-01-13,3100.197156774139
2014-01-14,3113.4151751557456
2014-01-15,3146.4500574948975
2014-01-16,3149.0368094298024
2014-01-17,3144.96773304953
2014-01-20,3132.8742122388435
2014-01-21,3159.507842445752
2014-01-22,3186.4597359292475
2014-01-23,3158.3203158954134
2014-01-24,3161.8949490537498
2014-01-27,3128.2117431704905
2014-01-28,3134.769907976686
2014-01-29,3165.8098012496625
2014-01-30,3173.4362094824946
2014-01-31,3193.677491900969
2014-02-03,3181.364737467295
2014-02-04,3170.899267532518
2014-02-05,3161.457264883251
2014-02-06,3156.8162459032674
2014-02-07,3194.755230726507
2014-02-10,3238.0499358031007
2014-02-11,3245.6747625945886
2014-02-12,3298.856040689631
2014-02-13,3253.5505840729156
2014-02-14,3281.145326445234
2014-02-17,3319.4924103820676
2014-02-18,3307.8783936089226
2014-02-19,3313.2359817493675
2014-02-20,3288.9773082911197
2014-02-21,3282.1178794972225
2014-02-24,3280.103137031324
2014-02-25,3218.552952416388
2014-02-26,3258.604937055357
2014-02-27,3245.576402207975
2014-02-28,3228.049040595002
2014-03-03,3262.9143796483622
2014-03-04,3281.2585572607077
2014-03-05,3295.8428464691206
2014-03-06,3293.572440265624
2014-03-07,3283.123526086449
2014-03-10,3209.4287998372306
2014-03-11,3223.4352489121425
2014-03-12,3191.8005629850713
2014-03-13,3207.635308035698
2014-03-14,3186.7824868218
2014-03-17,3212.9082127640063
2014-03-18,3230.96355516789
2014-03-19,3234.6391026460083
2014-03-20,3199.155334619401
2014-03-21,3229.919663772922
2014-03-24,3250.03906577
2014-03-25,3241.7318698157883
2014-03-26,3250.867279591535
2014-03-27,3230.0533181181213
2014-03-28,3204.6331760488083
2014-03-31,3197.660605056125
2014-04-01,3237.6421675644388
2014-04-02,3256.5045923836965
2014-04-03,3267.445987274906
2014-04-04,3289.2568367382933
2014-04-07,3265.2004066891227
2014-04-08,3268.78997984733
2014-04-09,3290.361463205147
2014-04-10,3282.2084357003396
2014-04-11,3264.649446049488
2014-04-14,3280.614727561888
2014-04-15,3269.6967167981174
2014-04-16,3285.853959447861
2014-04-17,3287.2067483683027
2014-04-18,3293.8228288471073
2014-04-21,3274.909224099204
2014-04-22,3268.4504836600713
2014-04-23,3254.182735562707
2014-04-24,3237.1298136803193
2014-04-25,3182.2493407506004
2014-04-28,3129.372747224782
2014-04-29,3157.9890615388927
2014-04-30,3147.6972641815364
2014-05-01,3148.078008412839
2014-05-02,3157.958797393171
2014-05-05,3174.5268122407533
2014-05-06,3176.3566836080245
2014-05-07,3144.647372799302
2014-05-08,3153.4259586075295
2014-05-09,3161.7922821967054
2014-05-12,3196.875430606318
2014-05-13,3216.7094008767885
