Date,AC PACIFIC SMALL CAP
1998-12-31,413.57744182982134
1999-01-01,413.58139711757775
1999-01-04,411.0690593481035
1999-01-05,413.0644236514107
1999-01-06,419.81443404935675
1999-01-07,429.3889764600006
1999-01-08,432.05816243716794
1999-01-11,441.1605164044751
1999-01-12,433.8469418542425
1999-01-13,419.6222372206012
1999-01-14,418.33027118868597
1999-01-15,422.9127847100978
1999-01-18,424.87091129453944
1999-01-19,427.3271204887381
1999-01-20,430.81140719877726
1999-01-21,429.4272283607839
1999-01-22,421.8307188297588
1999-01-25,419.69097950053197
1999-01-26,421.4172096119426
1999-01-27,424.5053790635766
1999-01-28,424.1827378514656
1999-01-29,428.8015025631999
1999-02-01,434.96193224481806
1999-02-02,438.58169120088974
1999-02-03,435.7036424672093
1999-02-04,437.16225710691316
1999-02-05,433.26562370025636
1999-02-08,432.5246088524202
1999-02-09,425.73129938082303
1999-02-10,424.628319700313
1999-02-11,427.9409681881846
1999-02-12,430.58678511762366
1999-02-15,431.1155219962478
1999-02-16,428.1088959433437
1999-02-17,423.4739596134205
1999-02-18,421.44285766060113
1999-02-19,423.57416084618615
1999-02-22,429.023288379217
1999-02-23,430.91883472844165
1999-02-24,430.04356031583785
1999-02-25,430.2513755174157
1999-02-26,439.04446404612224
1999-03-01,438.62442056700013
1999-03-02,435.5321329509191
1999-03-03,434.5087308125863
1999-03-04,433.56560586495806
1999-03-05,443.9772578396324
1999-03-08,445.19922753698637
1999-03-09,447.50628389571165
1999-03-10,451.71440098905543
1999-03-11,458.0647565032163
1999-03-12,458.0389535747708
1999-03-15,464.66233626228774
1999-03-16,473.6582850502403
1999-03-17,470.992169124058
1999-03-18,469.7555076241077
1999-03-19,483.1579420575613
1999-03-22,482.86011572003304
1999-03-23,483.94229694675147
1999-03-24,480.3879381591301
1999-03-25,487.600064852979
1999-03-26,490.7062598437541
1999-03-29,493.4311523435551
1999-03-30,490.8672097013497
1999-03-31,498.33895160671983
1999-04-01,501.5242249021094
1999-04-02,505.3283846666145
1999-04-05,511.1396872797085
1999-04-06,514.5756194497716
1999-04-07,516.6306707292366
1999-04-08,522.847340029152
1999-04-09,532.2035499597656
