Date,AC ASIA ex JAPAN SMALL CAP
1998-12-31,389.0211992588139
1999-01-01,389.03395176888415
1999-01-04,395.10049750834236
1999-01-05,399.12865929395025
1999-01-06,412.1666214654366
1999-01-07,421.40682088197394
1999-01-08,428.21513409501233
1999-01-11,435.5415865647664
1999-01-12,434.6058337119633
1999-01-13,421.80415262758817
1999-01-14,409.422191148426
1999-01-15,417.277815223798
1999-01-18,421.29379871481785
1999-01-19,416.85564940748554
1999-01-20,415.22518167276945
1999-01-21,406.15804777969413
1999-01-22,394.80616180596434
1999-01-25,382.6804275902948
1999-01-26,382.36805834874383
1999-01-27,394.20037103054375
1999-01-28,394.0127025591579
1999-01-29,396.1258188820224
1999-02-01,398.26829037596804
1999-02-02,392.38738834197227
1999-02-03,388.93000654049104
1999-02-04,387.032480698215
1999-02-05,384.1445523239401
1999-02-08,384.05882278362503
1999-02-09,376.54316089427357
1999-02-10,378.14696024811605
1999-02-11,383.8007317190753
1999-02-12,390.42123476889077
1999-02-15,393.4146617186471
1999-02-16,396.34972019241343
1999-02-17,394.5351083970518
1999-02-18,391.84750539457997
1999-02-19,390.9741690555562
1999-02-22,388.93694046423184
1999-02-23,388.3656502194087
1999-02-24,386.93505053472916
1999-02-25,383.27683537096243
1999-02-26,391.5440500190463
1999-03-01,399.58975577459455
1999-03-02,399.4156749240872
1999-03-03,400.3727055945098
1999-03-04,402.66764379262145
1999-03-05,404.0802525749279
1999-03-08,409.44442238746586
1999-03-09,409.05864679520016
1999-03-10,409.10532062253213
1999-03-11,414.97707793371313
1999-03-12,413.6018369786991
1999-03-15,417.58231572975905
1999-03-16,419.21678256830296
1999-03-17,415.0842748680765
1999-03-18,413.9615563838081
1999-03-19,423.4444150193324
1999-03-22,428.6205297042212
1999-03-23,431.83986483615075
1999-03-24,427.86594241631525
1999-03-25,432.17415769649426
1999-03-26,436.10029098526974
1999-03-29,433.92257013239043
1999-03-30,435.7242090306019
1999-03-31,436.5171742702939
1999-04-01,440.9064691202034
1999-04-02,444.7259368038485
1999-04-05,446.38181101468825
1999-04-06,450.5566530195507
1999-04-07,452.1324675955464
1999-04-08,455.62713910273544
1999-04-09,461.5965938822558
1999-04-12,459.0675402319052
1999-04-13,465.5651315051887
1999-04-14,469.7548848458979
1999-04-15,481.27502329511236
1999-04-16,491.77292739612494
1999-04-19,506.1870668647019
1999-04-20,506.8455496397972
1999-04-21,510.9757147873283
1999-04-22,514.6711117813925
1999-04-23,514.3105517706688
1999-04-26,522.1931131250332
1999-04-27,525.5063453043836
1999-04-28,528.4175419209173
1999-04-29,529.6315396977146
1999-04-30,541.9844882257269
1999-05-03,552.5433085761302
1999-05-04,567.8100314404091
1999-05-05,570.8536109438676
1999-05-06,573.9837097705397
1999-05-07,565.9612522456285
1999-05-10,570.8106923148263
1999-05-11,571.4557760484261
1999-05-12,568.3174511175091
1999-05-13,562.4258189242084
1999-05-14,556.9360139319801
1999-05-17,547.8568039620242
1999-05-18,553.3265228582446
1999-05-19,554.6284804337643
1999-05-20,549.9286203276969
1999-05-21,554.0511971731966
1999-05-24,556.507550691563
1999-05-25,553.9434781222059
1999-05-26,564.1122597301909
1999-05-27,566.0123277734066
1999-05-28,562.9081591888098
1999-05-31,566.3038409460944
1999-06-01,563.5255674771458
1999-06-02,572.9932731355103
1999-06-03,573.7535351206715
1999-06-04,577.8881275851819
1999-06-07,588.4233186535434
1999-06-08,594.8218828342256
1999-06-09,593.7456865057378
1999-06-10,597.8246215326366
1999-06-11,602.8232653427827
1999-06-14,606.828412527497
1999-06-15,597.9906146443864
1999-06-16,609.090166186769
1999-06-17,615.9518099535686
1999-06-18,612.5040997686584
1999-06-21,631.673990188549
1999-06-22,642.5078854188125
1999-06-23,648.7912486783885
1999-06-24,648.0277468716173
1999-06-25,637.8640725167439
1999-06-28,646.6809706086736
1999-06-29,651.9683581398458
1999-06-30,650.0520060238521
1999-07-01,659.7030609376598
1999-07-02,669.8627221488985
1999-07-05,680.1383246621355
1999-07-06,676.4662102474061
1999-07-07,673.7772829602198
1999-07-08,683.3151644024185
1999-07-09,688.2157169118782
1999-07-12,690.5678975616479
1999-07-13,677.0814557003927
1999-07-14,664.6758117678254
1999-07-15,659.6809892754309
1999-07-16,653.3455657756839
1999-07-19,654.556161108134
1999-07-20,646.7240342905088
1999-07-21,633.6345877779503
1999-07-22,630.6672162096713
1999-07-23,615.6100486977656
1999-07-26,587.4683134505483
1999-07-27,595.6413899145531
1999-07-28,610.3296393504173
1999-07-29,608.7202205472745
1999-07-30,605.5731222855171
1999-08-02,606.3083795866584
1999-08-03,608.9666904942155
1999-08-04,604.310189229648
1999-08-05,588.1201326860332
1999-08-06,588.0651560813113
1999-08-09,592.7480118168686
1999-08-10,581.5135646957298
1999-08-11,574.7317805485038
1999-08-12,582.6596916903079
1999-08-13,580.1441574526125
1999-08-16,588.2972413185123
1999-08-17,584.8294996492265
1999-08-18,592.1005276367449
1999-08-19,596.0894199797026
1999-08-20,602.4788281978788
1999-08-23,618.8927996437037
1999-08-24,620.2782784390525
1999-08-25,625.0690117763857
1999-08-26,624.8144772771769
1999-08-27,620.3524727667992
1999-08-30,617.8592181208634
1999-08-31,608.7639081583259
1999-09-01,599.5267954678657
1999-09-02,585.3464981523882
1999-09-03,586.7774816609955
1999-09-06,591.8332731320145
1999-09-07,589.44075122767
1999-09-08,582.8616181952101
1999-09-09,589.6756224647002
1999-09-10,601.9212216050094
1999-09-13,612.1872484552306
1999-09-14,609.9276318253949
1999-09-15,605.8511124136361
1999-09-16,597.5435346200348
1999-09-17,599.8382606865919
1999-09-20,599.5470694117301
1999-09-21,592.6200033616577
1999-09-22,585.4638414081736
1999-09-23,588.2488793553156
1999-09-24,582.3240935816877
1999-09-27,574.2000519029597
1999-09-28,569.9315717071834
1999-09-29,564.7695648164977
1999-09-30,560.796190926503
1999-10-01,558.0299015175856
1999-10-04,558.2704490698472
1999-10-05,559.2753814159051
1999-10-06,565.2690997382279
1999-10-07,573.4148967107438
1999-10-08,578.1080109042236
1999-10-11,579.7091473150215
1999-10-12,576.6901911648223
1999-10-13,570.5750310185106
1999-10-14,570.9985165745035
1999-10-15,558.2157752815402
1999-10-18,552.4368855496294
1999-10-19,552.3128650530039
1999-10-20,564.7221869101846
1999-10-21,563.9160493931638
1999-10-22,571.19789371026
1999-10-25,567.4707740811583
1999-10-26,570.0437372435168
1999-10-27,568.4676211871728
1999-10-28,569.11319862657
1999-10-29,571.3011066128756
1999-11-01,576.7481951135327
1999-11-02,580.3270712716328
1999-11-03,580.717584629117
1999-11-04,587.5975697794405
1999-11-05,593.7204816133028
1999-11-08,596.6063741668481
1999-11-09,598.4753087539256
1999-11-10,600.1776347611708
1999-11-11,605.0227227475906
1999-11-12,613.4517042686876
1999-11-15,619.6442409959293
1999-11-16,624.036064415651
1999-11-17,610.406489606142
1999-11-18,612.5466593447878
1999-11-19,616.1696351523888
1999-11-22,615.1339740706543
1999-11-23,614.4603961938101
1999-11-24,615.7031681145266
1999-11-25,611.589739919135
1999-11-26,609.8447714516253
1999-11-29,613.8418775825837
1999-11-30,618.4243479439259
1999-12-01,616.5079164594574
1999-12-02,618.9516519331653
1999-12-03,624.7019199967017
1999-12-06,617.4273470772674
1999-12-07,614.8230909705611
1999-12-08,614.6421013575814
1999-12-09,621.8284458470546
1999-12-10,629.9058521103984
1999-12-13,637.699529373489
1999-12-14,641.8727822645823
1999-12-15,634.0330153734387
1999-12-16,626.3476186642594
1999-12-17,631.2978778640869
1999-12-20,634.1990373906076
1999-12-21,627.316147190222
1999-12-22,632.7230896738066
1999-12-23,628.3200661969755
1999-12-24,629.6116150618284
1999-12-27,634.1496565988102
1999-12-28,635.9337915574692
1999-12-29,639.4266235850528
1999-12-30,646.6461187990078
1999-12-31,646.7789054524501
2000-01-03,653.6016131837538
2000-01-04,656.2152827117486
2000-01-05,631.579397414866
2000-01-06,621.4148956074937
2000-01-07,630.8769770511915
2000-01-10,642.5723702573692
2000-01-11,631.4012791087367
2000-01-12,634.4595721836188
2000-01-13,632.0183672877404
2000-01-14,639.9336932597357
2000-01-17,648.7334607437093
2000-01-18,644.5036434109669
2000-01-19,635.7128506666731
2000-01-20,635.4107252528233
2000-01-21,636.3507421630169
2000-01-24,640.3340346814945
2000-01-25,633.3814520649759
2000-01-26,641.7690555200697
2000-01-27,662.6205348326631
2000-01-28,666.74082268303
2000-01-31,665.4304465128916
2000-02-01,675.1395650442715
2000-02-02,682.0516170402387
2000-02-03,677.2026200839974
2000-02-04,682.9815739003242
2000-02-07,685.2499981269624
2000-02-08,675.3038821417404
2000-02-09,674.1071481931688
2000-02-10,678.5706387899455
2000-02-11,676.2888419795383
2000-02-14,673.5170223040159
2000-02-15,666.0060239152533
2000-02-16,671.0923493339268
2000-02-17,677.9839674109631
2000-02-18,676.7018072017198
2000-02-21,670.7580458240934
2000-02-22,646.4633148079994
2000-02-23,654.3309002764919
2000-02-24,652.6519465094835
2000-02-25,661.9705200512677
2000-02-28,660.8319395493949
2000-02-29,657.3872294163235
2000-03-01,659.1826730883419
2000-03-02,664.9326076522663
2000-03-03,663.7317379878947
2000-03-06,671.5235605159544
