Date,AC FAR EAST SMALL CAP
1998-12-31,463.27335659890343
1999-01-01,463.27839841973014
1999-01-04,459.8688853011159
1999-01-05,461.96177667976934
1999-01-06,469.04816982516695
1999-01-07,479.8341834266525
1999-01-08,482.7043346705914
1999-01-11,493.17690957048836
1999-01-12,483.78767808635024
1999-01-13,467.9614973627858
1999-01-14,466.3229388302661
1999-01-15,471.3450375028478
1999-01-18,473.4288311077389
1999-01-19,475.78890789529476
1999-01-20,479.46280850434573
1999-01-21,477.815748437226
1999-01-22,468.9739936061627
1999-01-25,466.6172623438671
1999-01-26,469.0054371408059
1999-01-27,472.25161154090426
1999-01-28,471.4856531120596
1999-01-29,476.22312930637213
1999-02-01,482.9609569853502
1999-02-02,487.3943282200986
1999-02-03,483.2371893068122
1999-02-04,483.81622600732663
1999-02-05,478.44395959933775
1999-02-08,477.12863119289216
1999-02-09,469.23025138377744
1999-02-10,468.8935168753133
1999-02-11,472.20419462282746
1999-02-12,475.55197854825485
1999-02-15,476.00867143900933
1999-02-16,472.75377682997504
1999-02-17,467.2515976554681
1999-02-18,464.0858375784905
1999-02-19,465.0944831987023
1999-02-22,471.27739983241025
1999-02-23,473.3945194330734
1999-02-24,472.9711898927984
1999-02-25,475.2658390362848
1999-02-26,486.44779286482867
1999-03-01,485.9197499448279
1999-03-02,481.5287383372439
1999-03-03,479.56419574879044
1999-03-04,478.2621879125093
1999-03-05,490.745332131377
1999-03-08,491.9204579338282
1999-03-09,494.40996110250336
1999-03-10,500.16905785363036
1999-03-11,507.40779518216175
1999-03-12,507.5197348829099
1999-03-15,516.0610268557921
1999-03-16,528.0742025301524
1999-03-17,525.3558807776327
1999-03-18,523.0682730331371
1999-03-19,539.5877383238002
1999-03-22,538.6159616584717
1999-03-23,539.1381297277
1999-03-24,535.1324364397371
1999-03-25,544.307477459534
1999-03-26,547.3637201773946
1999-03-29,550.4618786518357
1999-03-30,547.9794575884387
1999-03-31,557.450482196833
1999-04-01,561.1215098827571
1999-04-02,566.1783331266972
1999-04-05,573.2826331183279
1999-04-06,578.2089675488285
1999-04-07,581.2157379276282
1999-04-08,589.3926192448184
1999-04-09,599.9139869885588
1999-04-12,594.6926930985873
1999-04-13,602.4060156043004
1999-04-14,608.311258071917
1999-04-15,616.458773407966
1999-04-16,625.4351940765946
1999-04-19,631.8086083358689
1999-04-20,624.9292890256286
1999-04-21,618.0605533425794
1999-04-22,623.7028326204965
1999-04-23,629.1037475038005
1999-04-26,640.2533577389702
1999-04-27,636.8077033583705
1999-04-28,642.367494217694
1999-04-29,644.1329264290382
1999-04-30,649.7187282140821
1999-05-03,651.2530583714056
1999-05-04,651.861270095522
1999-05-05,649.588999809409
1999-05-06,655.983891373288
1999-05-07,650.5625914515473
1999-05-10,655.070456068718
