Date,ZHONG HUA SMALL CAP
2007-05-31,1000.0
2007-06-01,1005.0108485976828
2007-06-04,988.2066824055436
2007-06-05,992.1521271237519
2007-06-06,996.8286330963633
2007-06-07,1001.2348149350743
2007-06-08,1003.5678246704999
2007-06-11,1012.2650826925928
2007-06-12,1018.7122065755558
2007-06-13,1027.4120867117845
2007-06-14,1030.96009681327
2007-06-15,1031.961713475716
2007-06-18,1034.6907674530992
2007-06-19,1034.9142024382186
2007-06-20,1041.2998847322926
2007-06-21,1045.2155936488334
2007-06-22,1042.8006539422367
2007-06-25,1031.5667020445717
2007-06-26,1034.56377448972
2007-06-27,1029.328527545877
2007-06-28,1026.1393553061264
2007-06-29,1024.9710962616361
2007-07-02,1014.3819104964252
2007-07-03,1035.8317367523475
2007-07-04,1035.9912347923046
2007-07-05,1043.237280370313
2007-07-06,1049.073850821721
2007-07-09,1071.4271986326148
2007-07-10,1061.3391564066171
2007-07-11,1048.781243001007
2007-07-12,1058.7610312833779
2007-07-13,1068.611787646646
2007-07-16,1067.4727215070175
2007-07-17,1078.4356073613887
2007-07-18,1067.554649074847
2007-07-19,1069.4165916546683
2007-07-20,1083.5910326244511
2007-07-23,1095.109436772169
2007-07-24,1105.9485516285918
2007-07-25,1119.2426827222373
2007-07-26,1115.0466640220402
2007-07-27,1084.264657784405
2007-07-30,1083.7819519590132
2007-07-31,1106.411081615386
2007-08-01,1067.5837796837798
2007-08-02,1057.5836794151737
2007-08-03,1056.5169916201644
2007-08-06,1018.7079364846007
2007-08-07,1005.5261280441944
2007-08-08,1021.0834444219091
2007-08-09,1047.3070476295472
2007-08-10,1014.8858127383728
2007-08-13,1011.8740083616856
2007-08-14,1021.3091520542956
2007-08-15,1001.1156538432003
2007-08-16,954.6913379600783
2007-08-17,909.453588030196
2007-08-20,965.6184157376646
2007-08-21,975.8437982577623
2007-08-22,989.0520708201126
2007-08-23,1017.195871520985
2007-08-24,1023.4607177930926
2007-08-27,1059.2641675602738
2007-08-28,1039.2538219087983
2007-08-29,1019.0444661785383
2007-08-30,1042.6244508847228
2007-08-31,1066.8362813729711
2007-09-03,1077.9575176747617
2007-09-04,1078.789869461634
2007-09-05,1072.2882275440334
2007-09-06,1076.3094872303916
2007-09-07,1081.3246340678043
2007-09-10,1080.7817344225061
2007-09-11,1066.7721753340916
2007-09-12,1073.946841329478
2007-09-13,1080.2728430868317
2007-09-14,1096.0910701861224
2007-09-17,1089.5855872965662
2007-09-18,1088.2154674863045
2007-09-19,1102.6939342032163
2007-09-20,1102.6375813095012
2007-09-21,1112.1370531009875
2007-09-24,1116.7109877399635
2007-09-25,1106.6004949986882
2007-09-26,1108.4354487763167
2007-09-27,1123.4612073695876
2007-09-28,1124.7352433518859
2007-10-01,1122.9378554730213
2007-10-02,1160.9689363513228
2007-10-03,1142.3371074904958
2007-10-04,1121.7566019473272
