Date,ACWI FM ex USA SMALL CAP
2010-11-30,1000.0
2010-12-01,1011.5433236957431
2010-12-02,1023.7480561226748
2010-12-03,1019.7626569830887
2010-12-06,1030.9900476155556
2010-12-07,1032.8006866807116
2010-12-08,1033.8546696904043
2010-12-09,1037.0358429154398
2010-12-10,1035.6625959047633
2010-12-13,1036.5810320155006
2010-12-14,1041.78624265729
2010-12-15,1042.5294885680082
2010-12-16,1045.180140651781
2010-12-17,1049.82202327109
2010-12-20,1052.2196473679078
2010-12-21,1058.5718941764196
2010-12-22,1062.5299620284916
2010-12-23,1067.4835061849076
2010-12-24,1063.2693443396367
2010-12-27,1059.484644895756
2010-12-28,1064.5240693923915
2010-12-29,1073.3327790844335
2010-12-30,1066.50637315605
2010-12-31,1065.8628143388958
2011-01-03,1072.0254262560293
2011-01-04,1078.1374692990685
2011-01-05,1081.2880854026967
2011-01-06,1088.2079371034863
2011-01-07,1089.7298870824177
2011-01-10,1086.780465634193
2011-01-11,1095.6985601383221
2011-01-12,1098.3383751012716
2011-01-13,1084.3639686362646
2011-01-14,1079.8074409327976
2011-01-17,1083.4486465157258
2011-01-18,1081.9850766595303
2011-01-19,1075.9572357444824
2011-01-20,1060.578177615028
2011-01-21,1049.5485674872996
2011-01-24,1045.4672888533028
2011-01-25,1044.2645607340623
2011-01-26,1050.4854760939209
2011-01-27,1048.126625444632
2011-01-28,1048.2206578397997
2011-01-31,1039.106156559881
2011-02-01,1048.132556365659
2011-02-02,1050.4267053542287
2011-02-03,1059.6670821626274
2011-02-04,1067.5226549281952
2011-02-07,1075.616878273791
2011-02-08,1069.8668157478064
2011-02-09,1060.223630496488
2011-02-10,1056.4828626076358
2011-02-11,1057.8495428907343
2011-02-14,1072.2368800233166
2011-02-15,1068.4751943284107
2011-02-16,1069.8256717720924
2011-02-17,1069.7621216934333
2011-02-18,1070.1032935277628
2011-02-21,1061.853393440227
2011-02-22,1046.1027349112896
2011-02-23,1034.3104381888074
2011-02-24,1021.9909154594104
2011-02-25,1037.8786795350659
2011-02-28,1043.0902521143864
2011-03-01,1047.1284792644265
2011-03-02,1037.7704927769564
2011-03-03,1038.8438119565128
2011-03-04,1041.6292265688912
2011-03-07,1036.9678561585902
2011-03-08,1040.1746792515567
2011-03-09,1040.9674438736772
2011-03-10,1029.985914115401
2011-03-11,1020.6078273837269
2011-03-14,992.9540158584258
2011-03-15,955.7151907042374
2011-03-16,968.3932470361702
2011-03-17,973.3004128150709
2011-03-18,980.587249041561
2011-03-21,992.7377319583767
2011-03-22,1001.6891258472117
2011-03-23,1005.9777815017757
2011-03-24,1009.6489115601353
2011-03-25,1015.1051685809371
2011-03-28,1015.1038261406394
2011-03-29,1017.1368118870689
2011-03-30,1026.614393150418
2011-03-31,1024.3957895472668
2011-04-01,1030.0740116791196
2011-04-04,1032.2349946137658
2011-04-05,1032.1214563203598
2011-04-06,1026.8077677771341
2011-04-07,1027.5308679074317
2011-04-08,1028.0326385814815
2011-04-11,1024.9289644029257
2011-04-12,1006.6802868634995
2011-04-13,1013.8543449282213
2011-04-14,1020.237503489829
2011-04-15,1021.7834535996712
2011-04-18,1021.5740397706562
2011-04-19,1018.7550897238766
2011-04-20,1024.6785865036104
2011-04-21,1031.1265941230765
2011-04-22,1031.6786959341784
2011-04-25,1029.9195956321041
2011-04-26,1027.0160129422127
2011-04-27,1025.0876806554177
2011-04-28,1025.8470343793178
2011-04-29,1027.118115142738
2011-05-02,1027.1949657474902
2011-05-03,1020.2083987084943
2011-05-04,1010.6411784651166
2011-05-05,1018.9955509360882
2011-05-06,1027.3706398271977
2011-05-09,1039.008167881694
2011-05-10,1041.0084309857639
