Date,ACWI ex USA SMALL CAP
1998-12-31,358.9641225071378
1999-01-01,358.9234269406899
1999-01-04,361.1776049123459
1999-01-05,362.4646041370257
1999-01-06,366.98763315573933
1999-01-07,369.58766190720866
1999-01-08,372.1932282140087
1999-01-11,375.2955293173116
1999-01-12,371.53931699993166
1999-01-13,360.2942680774188
1999-01-14,361.02413355110923
1999-01-15,362.8915207255405
1999-01-18,365.6329046777645
1999-01-19,366.43324092993635
1999-01-20,367.8557498884367
1999-01-21,366.37405058485774
1999-01-22,362.30303289869335
1999-01-25,361.3062892263742
1999-01-26,362.93234000329676
1999-01-27,365.00394209579116
1999-01-28,365.9668541733552
1999-01-29,368.74503787888636
1999-02-01,372.97810082722077
1999-02-02,374.03001439869263
1999-02-03,373.19039436071046
1999-02-04,375.5517176952682
1999-02-05,374.7039648178503
1999-02-08,374.8131515388207
1999-02-09,371.219713680962
1999-02-10,369.14883574061867
1999-02-11,371.7955778165419
1999-02-12,374.1686495229661
1999-02-15,374.72734823604037
1999-02-16,374.6122951592349
1999-02-17,371.9389186241377
1999-02-18,371.0404393641059
1999-02-19,372.67539052940776
1999-02-22,375.5941413869936
1999-02-23,376.0785179131429
1999-02-24,376.63510959573256
1999-02-25,375.6384052246519
1999-02-26,378.9028767100886
1999-03-01,380.10855607165325
1999-03-02,378.99976541810986
1999-03-03,379.2698308654878
1999-03-04,379.2112138249159
1999-03-05,384.27160611653363
1999-03-08,385.5639146289218
1999-03-09,386.9181317423462
1999-03-10,388.0259176039042
1999-03-11,392.46702497737704
1999-03-12,393.00527622036617
1999-03-15,394.90575681051723
1999-03-16,398.0457750099015
1999-03-17,396.54200964208013
1999-03-18,396.42924944302223
1999-03-19,402.29747337599605
1999-03-22,402.2941404003565
1999-03-23,401.472344198819
1999-03-24,398.0855297106777
1999-03-25,401.8749686845135
1999-03-26,403.9658079798672
1999-03-29,405.57765184695273
1999-03-30,404.51280447923625
1999-03-31,406.74634365902955
1999-04-01,406.7955334682716
1999-04-02,408.561309449314
1999-04-05,410.5685331037007
1999-04-06,411.4972652021887
1999-04-07,412.7406534196469
1999-04-08,415.44334249940465
1999-04-09,419.04596011084095
1999-04-12,417.3379752461914
1999-04-13,421.1878392213906
1999-04-14,423.8944596544158
1999-04-15,427.2014834731721
1999-04-16,431.79449916736564
1999-04-19,436.1333103387544
1999-04-20,431.9243525442035
1999-04-21,431.2258375952904
1999-04-22,433.96737989471666
1999-04-23,435.5993296016178
1999-04-26,438.5941474046
1999-04-27,438.3399543673431
1999-04-28,440.6250809417598
1999-04-29,442.36794009466576
1999-04-30,445.5192058182893
1999-05-03,447.2713286521539
1999-05-04,448.58864551358715
1999-05-05,446.75068208793164
1999-05-06,448.91359152614825
1999-05-07,446.99914006127375
1999-05-10,448.17052863265843
1999-05-11,449.3519744948033
1999-05-12,450.0031310339186
1999-05-13,449.83834122626297
1999-05-14,447.144869944681
1999-05-17,441.4061581758407
1999-05-18,442.83354743308644
1999-05-19,440.669292083284
1999-05-20,441.71795677322206
1999-05-21,443.7569541070763
1999-05-24,443.16406357344096
1999-05-25,440.18614953459826
1999-05-26,443.32067468714587
1999-05-27,443.7628256678686
1999-05-28,442.9577586367734
1999-05-31,443.7119827072777
1999-06-01,445.88020447274687
1999-06-02,449.4082377665077
1999-06-03,450.0404057685261
1999-06-04,453.4976590767904
1999-06-07,457.67705787529377
1999-06-08,456.8952818883495
1999-06-09,458.5172374501221
1999-06-10,459.80723347180776
1999-06-11,461.94526855093704
1999-06-14,461.9784603171237
1999-06-15,460.2186078589837
1999-06-16,465.30601827229464
1999-06-17,469.14810398192907
1999-06-18,467.69777499618317
1999-06-21,472.83109772331096
1999-06-22,475.28200549895627
1999-06-23,474.88956774914976
1999-06-24,472.8914193494774
1999-06-25,469.04039206423903
1999-06-28,473.35930869973885
1999-06-29,476.1676767399434
1999-06-30,477.95978839920866
1999-07-01,485.2974870052748
1999-07-02,489.09356704431235
1999-07-05,492.6047262782657
1999-07-06,491.89317154530056
1999-07-07,491.9193497832237
1999-07-08,492.3063313031523
1999-07-09,492.6282224486837
1999-07-12,496.58619393623843
1999-07-13,494.4981583186996
1999-07-14,495.238033211408
1999-07-15,495.9821567049082
1999-07-16,494.9137385862594
1999-07-19,499.0797229685596
1999-07-20,491.0854208593216
1999-07-21,485.9757050099669
1999-07-22,484.09105763525025
1999-07-23,482.4120672313683
1999-07-26,474.7431625622734
1999-07-27,473.8913725559058
1999-07-28,477.6953024463272
1999-07-29,477.04555990717944
1999-07-30,477.6620360735992
1999-08-02,476.72204118472825
1999-08-03,477.34693924838473
1999-08-04,475.6297612614406
1999-08-05,468.91869160660355
1999-08-06,468.3177115965626
1999-08-09,470.52220256008707
1999-08-10,468.9040200780334
1999-08-11,469.7634582586086
1999-08-12,473.67706192513475
1999-08-13,477.11767739942553
1999-08-16,482.87876232192525
1999-08-17,485.5622351184852
1999-08-18,488.87021424747866
1999-08-19,486.97662700198265
1999-08-20,489.12730167897337
1999-08-23,494.3637279791092
1999-08-24,495.53710414992236
1999-08-25,499.0790110716614
1999-08-26,498.3535789298875
1999-08-27,498.30429941929617
1999-08-30,500.50089551821435
