Date,ACFM ASIA SMALL CAP
2010-11-30,1000.0
2010-12-01,1005.1731563760778
2010-12-02,1009.4430934924953
2010-12-03,1000.3313632553233
2010-12-06,1013.3839978715289
2010-12-07,1008.7869643504354
2010-12-08,1011.2472987332893
2010-12-09,1015.3335550619373
2010-12-10,1011.3499350853821
2010-12-13,1010.282790921348
2010-12-14,1020.1385735145109
2010-12-15,1021.0345362310288
2010-12-16,1024.9008172274182
2010-12-17,1031.8609351715215
2010-12-20,1029.4265922855718
2010-12-21,1033.7767619049864
2010-12-22,1038.3348703320198
2010-12-23,1043.5626430945113
2010-12-24,1038.0699346451672
2010-12-27,1036.7338206629304
2010-12-28,1041.1175985967436
2010-12-29,1048.7150597198654
2010-12-30,1042.5750846596154
2010-12-31,1039.2362133432557
2011-01-03,1046.6673782756636
2011-01-04,1059.1714995888924
2011-01-05,1064.5736225057392
2011-01-06,1079.20092071831
2011-01-07,1079.7954202954074
2011-01-10,1080.6705051473848
2011-01-11,1083.5538141061065
2011-01-12,1079.4090759642934
2011-01-13,1063.1523948327742
2011-01-14,1057.640477853207
2011-01-17,1059.2434888409193
2011-01-18,1053.209172275656
2011-01-19,1055.845360039569
2011-01-20,1045.9190352231924
2011-01-21,1021.3688456285416
2011-01-24,1016.1871269054316
2011-01-25,1022.510554495546
2011-01-26,1022.5242161582232
2011-01-27,1018.8051102867975
2011-01-28,1022.995619881009
2011-01-31,1010.8911195331785
2011-02-01,1011.5148217619645
2011-02-02,1018.969388943033
2011-02-03,1030.8955270538356
2011-02-04,1039.1085448706979
2011-02-07,1042.1895848828342
2011-02-08,1034.6488046962186
2011-02-09,1020.4224670660003
2011-02-10,1017.5020514635231
2011-02-11,1013.2904144442077
2011-02-14,1030.3514223839593
2011-02-15,1025.2723581152868
2011-02-16,1026.3190492330004
2011-02-17,1027.2002181778632
2011-02-18,1027.217688413351
2011-02-21,1024.2471633606633
2011-02-22,1003.5159268894764
2011-02-23,992.9287933966312
2011-02-24,976.2022100477413
2011-02-25,989.1180984565692
2011-02-28,989.9494721351246
2011-03-01,1000.7330634539908
2011-03-02,986.6565956947194
2011-03-03,988.8186368135969
2011-03-04,991.7678578860698
2011-03-07,983.8941477925448
2011-03-08,991.1520888784909
2011-03-09,994.3801295043683
2011-03-10,991.0584486285661
2011-03-11,981.2610084140526
2011-03-14,927.3943324173175
2011-03-15,870.6665001996852
2011-03-16,909.4405569453845
2011-03-17,906.002235103544
2011-03-18,910.2948865976513
2011-03-21,913.993972135539
2011-03-22,937.3329378389597
2011-03-23,942.6223454149645
2011-03-24,940.02666875054
2011-03-25,945.5277722344754
2011-03-28,944.5479083386339
2011-03-29,949.3583776931525
2011-03-30,958.1757091238876
2011-03-31,959.4536825218404
2011-04-01,955.3994358073221
2011-04-04,953.8529573126183
2011-04-05,946.0255436341744
2011-04-06,932.1751224588122
2011-04-07,938.2282700812606
2011-04-08,937.0346714334584
2011-04-11,937.2479992441096
2011-04-12,925.5740085745326
2011-04-13,930.4490939363149
2011-04-14,944.550750229117
2011-04-15,946.5772003866073
2011-04-18,961.8631692809388
2011-04-19,947.2913955308829
2011-04-20,944.992056452876
2011-04-21,949.6252653398402
2011-04-22,950.8117071280118
2011-04-25,950.2497084562374
2011-04-26,942.6661248751238
2011-04-27,939.210249245915
2011-04-28,939.5035400851003
2011-04-29,939.0609297773137
2011-05-02,942.414116750322
2011-05-03,940.9087716887228
2011-05-04,936.9733742886841
2011-05-05,956.9531343150452
2011-05-06,956.249458993569
2011-05-09,971.3943417917527
2011-05-10,968.348785142875
2011-05-11,973.3960511096595
2011-05-12,972.1319430688047
2011-05-13,967.9573089131766
2011-05-16,955.1753175261709
2011-05-17,953.3867182233744
2011-05-18,956.5117967852603
2011-05-19,948.2222658897875
2011-05-20,953.6569161934028
2011-05-23,944.8349212209894
2011-05-24,939.9498958933771
2011-05-25,936.7647164061071
2011-05-26,947.2962268901274
2011-05-27,942.2861936517392
2011-05-30,946.0018719165546
2011-05-31,949.602644628639
2011-06-01,952.4138909275392
2011-06-02,941.2242638524976
