Date,BAHRAIN IMI
2002-05-31,554.0994565259206
2002-06-03,551.8842401485515
2002-06-04,548.6089627589458
2002-06-05,549.7140485970756
2002-06-06,545.2982126919057
2002-06-07,545.3519310871799
2002-06-10,541.2423421645942
2002-06-11,533.6193803428347
2002-06-12,531.4205155498323
2002-06-13,534.1696923440996
2002-06-14,532.7052106652947
2002-06-17,526.8243664764649
2002-06-18,526.5350164648966
2002-06-19,514.9622599976998
2002-06-20,511.9699360833102
2002-06-21,509.4868250987464
2002-06-24,478.31630268603817
2002-06-25,482.0138622306117
2002-06-26,488.7918080156324
2002-06-27,486.13344441113225
2002-06-28,484.23833124691294
2002-07-01,484.9488981035215
2002-07-02,484.7972469496151
2002-07-03,487.41723818937544
2002-07-04,488.11404624968895
2002-07-05,491.0978430084969
2002-07-08,482.8633745431007
2002-07-09,478.34652300661213
2002-07-10,481.1523920383879
2002-07-11,469.10500028343694
2002-07-12,469.2710215687387
2002-07-15,461.24889606957623
2002-07-16,468.01339251924793
2002-07-17,479.67256566796726
2002-07-18,478.74802569491345
2002-07-19,475.65719767431153
2002-07-22,486.00588921958195
2002-07-23,493.23265152210604
2002-07-24,492.6614929789075
2002-07-25,488.57811931031864
2002-07-26,494.82895441451643
2002-07-29,502.70038689746
2002-07-30,491.2413106624444
2002-07-31,497.15686441185153
2002-08-01,502.0919289599999
2002-08-02,500.66480744838896
2002-08-05,500.0303156256987
2002-08-06,511.4641727858633
2002-08-07,501.1759224544808
2002-08-08,502.15892467669994
2002-08-09,500.248200672891
2002-08-12,505.367914596627
2002-08-13,503.1652412696589
2002-08-14,498.4744369734833
2002-08-15,504.5166057052696
2002-08-16,502.2604078547735
2002-08-19,506.1702502184898
2002-08-20,505.03149716834037
2002-08-21,500.05527271248303
2002-08-22,499.7379444203458
2002-08-23,499.60949689440616
2002-08-26,499.56244068688034
2002-08-27,498.21379152502686
2002-08-28,495.18433308481445
2002-08-29,497.5804029863399
2002-08-30,499.2801015180052
2002-09-02,504.1191054733654
2002-09-03,501.96967035555974
2002-09-04,503.43453782125147
2002-09-05,502.20251529553417
2002-09-06,505.6951669324441
2002-09-09,507.44304254506557
2002-09-10,514.1021252284747
2002-09-11,515.2169611602741
2002-09-12,512.8158168672501
2002-09-13,511.65914849523426
2002-09-16,513.6111798560288
2002-09-17,515.1215671671671
2002-09-18,509.2823690548095
2002-09-19,506.5357940805124
2002-09-20,506.17525205411937
2002-09-23,506.04284578425563
2002-09-24,507.56875007149995
2002-09-25,508.37219325227073
2002-09-26,479.78966028025826
2002-09-27,480.2322933531425
2002-09-30,482.690290819329
2002-10-01,493.45706064824816
2002-10-02,490.8563921264733
2002-10-03,489.31945521361865
2002-10-04,491.98448533210876
2002-10-07,486.72603809895435
2002-10-08,488.6907489982348
2002-10-09,484.6334996039491
2002-10-10,483.179937210034
2002-10-11,482.8405931927967
2002-10-14,483.817083053801
2002-10-15,483.76555257680917
2002-10-16,486.1524376486107
2002-10-17,491.05605529754905
2002-10-18,491.43507355572865
2002-10-21,491.92161060087085
2002-10-22,491.38231238062235
2002-10-23,491.8353616877396
2002-10-24,496.269723553443
2002-10-25,494.6653491522929
2002-10-28,497.7489961661087
2002-10-29,496.59222563070125
2002-10-30,497.45046462177754
2002-10-31,494.11001668707615
2002-11-01,491.0604139948933
2002-11-04,491.72660991378905
2002-11-05,487.66568477962437
2002-11-06,484.68437231728376
2002-11-07,479.6107798898915
2002-11-08,477.2667106161405
2002-11-11,481.33406120109015
2002-11-12,478.4691432249528
2002-11-13,478.25894413720437
2002-11-14,479.3107049076468
2002-11-15,478.256794756543
2002-11-18,475.1884760407261
2002-11-19,472.51620210442434
2002-11-20,477.8285654196779
2002-11-21,479.3632039261112
2002-11-22,480.07638271271406
2002-11-25,504.2453526985574
2002-11-26,503.4308429014953
2002-11-27,504.74337645319713
2002-11-28,495.19696162442574
2002-11-29,495.29652371774057
2002-12-02,495.30425765288464
2002-12-03,493.5301129356827
2002-12-04,494.74359259195944
2002-12-05,494.44907048389837
2002-12-06,490.8657531421365
2002-12-09,488.55782582833524
2002-12-10,487.9501567895491
2002-12-11,487.3371364320409
2002-12-12,481.65447384340234
2002-12-13,478.75563838405213
2002-12-16,479.1900966615316
2002-12-17,474.6536156761813
2002-12-18,476.60405558253177
2002-12-19,478.0812094365673
2002-12-20,477.38287287589463
2002-12-23,476.653991436551
2002-12-24,474.78088475714793
2002-12-25,474.78088475714793
2002-12-26,472.8164054367068
2002-12-27,469.67963331468457
2002-12-30,458.7636669125789
2002-12-31,460.52778650640414
2003-01-01,460.52778650640414
2003-01-02,465.7715296045905
2003-01-03,463.7817217931946
2003-01-06,463.18978858288256
2003-01-07,465.6731936004533
2003-01-08,465.4997403194271
2003-01-09,461.72075912789154
2003-01-10,459.4016364915376
2003-01-13,453.42023379247405
2003-01-14,452.0134570230331
2003-01-15,456.0644879420299
2003-01-16,457.8466351432885
2003-01-17,454.3840407047274
2003-01-20,454.65814828761995
2003-01-21,456.2885453023372
2003-01-22,455.8182640251868
2003-01-23,457.94593052272586
2003-01-24,455.5743605306537
2003-01-27,452.59028241426677
2003-01-28,452.85893517871915
2003-01-29,452.0818659582243
2003-01-30,456.8449227950008
2003-01-31,457.6322195878938
2003-02-03,452.43414256821615
2003-02-04,444.96669332638163
2003-02-05,443.66217956645863
2003-02-06,443.55979283619786
2003-02-07,444.05168060202664
2003-02-10,440.13625721793494
2003-02-11,442.53991396245027
2003-02-12,441.6087373184161
2003-02-13,437.77539893925547
2003-02-14,439.21524946617853
