Date,PAKISTAN IMI GROWTH
2017-06-01,961.7151195440281
2017-06-02,948.8372659859727
2017-06-05,991.8843233377933
2017-06-06,997.066304839368
2017-06-07,997.0310079585975
2017-06-08,991.733413185988
2017-06-09,987.1038253333116
2017-06-12,947.253814310092
2017-06-13,959.7173090772635
2017-06-14,947.8893928548576
2017-06-15,956.0491286360808
2017-06-16,942.0932827471848
2017-06-19,928.3816075913398
2017-06-20,891.5227598209392
2017-06-21,906.3889306385375
2017-06-22,926.6405765953361
2017-06-23,923.1243065502197
2017-06-26,922.9594923551564
2017-06-27,916.0494602722246
2017-06-28,909.8822699430134
2017-06-29,912.8883155688465
2017-06-30,913.0087172082378
2017-07-03,873.9341006785303
2017-07-04,886.763022458799
2017-07-05,842.8040799042852
2017-07-06,842.1360284779005
2017-07-07,852.5689551995218
2017-07-10,882.3748926211691
2017-07-11,836.5340580632364
2017-07-12,823.3947244875679
2017-07-13,825.3329455999739
2017-07-14,833.8850124985063
2017-07-17,835.0663183977385
2017-07-18,849.0868556132535
2017-07-19,846.514185649797
2017-07-20,828.7702348991052
2017-07-21,830.2190596563041
2017-07-24,834.0787759863354
2017-07-25,841.2613130204808
2017-07-26,840.0026996325696
2017-07-27,834.5652665848831
2017-07-28,820.2338660612143
2017-07-31,814.4966719196904
2017-08-01,818.1198440273224
2017-08-02,828.3597518743396
2017-08-03,827.7735517898872
2017-08-04,833.7889332458034
2017-08-07,821.5119556840198
2017-08-08,810.7448611539786
2017-08-09,806.3290607952318
2017-08-10,797.5533107771387
2017-08-11,785.9920265812613
2017-08-14,786.5256486980053
2017-08-15,763.4931640268829
2017-08-16,767.769594886368
2017-08-17,744.1386282457793
2017-08-18,736.4517781548761
2017-08-21,709.1002711816428
2017-08-22,703.9006912463359
2017-08-23,722.9819608811362
2017-08-24,708.157728852986
2017-08-25,717.3108103221425
2017-08-28,695.5524787237252
2017-08-29,676.6301308134725
2017-08-30,681.796250135333
2017-08-31,675.6100003995988
2017-09-01,676.0180928726643
2017-09-04,674.14530937159
2017-09-05,680.0420041533896
2017-09-06,665.0717005332563
2017-09-07,648.481156880776
2017-09-08,659.9534273755427
2017-09-11,658.7427966632914
2017-09-12,664.7507558144275
2017-09-13,686.5012413861285
2017-09-14,691.7804959634851
2017-09-15,694.8681498198752
2017-09-18,690.1982623783747
2017-09-19,692.2665858881337
2017-09-20,690.6565388433562
2017-09-21,684.9572549413901
2017-09-22,680.7651501298412
2017-09-25,686.8496795316154
2017-09-26,685.5721267318925
2017-09-27,680.4066423751307
2017-09-28,676.0153375422198
2017-09-29,675.3290283458402
2017-10-02,671.8608873418467
2017-10-03,648.9217934829645
2017-10-04,633.84350063386
2017-10-05,637.3093512944449
2017-10-06,651.4222013503893
2017-10-09,646.7019690277323
2017-10-10,633.2921955161254
2017-10-11,625.5798889370168
2017-10-12,618.9692707732745
2017-10-13,607.6614542640905
2017-10-16,630.4899693547503
2017-10-17,633.3918688987208
2017-10-18,635.8176571264792
2017-10-19,652.1619411436151
2017-10-20,665.9548863212877
2017-10-23,652.2854016049199
2017-10-24,644.6690170901051
2017-10-25,648.8425166703959
2017-10-26,653.2847505161357
2017-10-27,656.26449605738
2017-10-30,637.324750632496
2017-10-31,619.6160139081388
2017-11-01,635.1536647177734
2017-11-02,628.3871846295178
2017-11-03,642.2198476162883
2017-11-06,639.6045606569891
2017-11-07,640.9461624041355
2017-11-08,648.2682379072046
2017-11-09,658.5189405529711
2017-11-10,647.915177370044
2017-11-13,645.2925499366131
2017-11-14,638.6338593778997
2017-11-15,629.9404791230577
2017-11-16,632.8910700865433
2017-11-17,630.9820620575096
2017-11-20,624.3858726939826
2017-11-21,629.0598537776089
2017-11-22,623.6001267381516
2017-11-23,616.807115982016
2017-11-24,610.780537545181
2017-11-27,605.8668347781376
2017-11-28,603.7381298445142
2017-11-29,604.934542403067
2017-11-30,606.7809022079825
2017-12-01,609.6955368033435
2017-12-04,611.300064125597
2017-12-05,610.1899564864823
2017-12-06,611.2805348525864
2017-12-07,591.249689429142
2017-12-08,596.5380258873231
2017-12-11,573.8314162581024
2017-12-12,565.6930977500878
2017-12-13,568.8479956664801
2017-12-14,559.7546695427499
2017-12-15,565.272267671549
2017-12-18,558.911059626191
2017-12-19,549.2800958214192
2017-12-20,551.6107107841405
2017-12-21,562.853576125701
2017-12-22,575.7425982373029
2017-12-25,575.7425982373029
2017-12-26,571.3708930783068
2017-12-27,582.0785199639822
2017-12-28,583.9530421574623
2017-12-29,581.7772563705446
2018-01-01,584.7620672941174
2018-01-02,594.9884388182389
