Date,SLOVENIA IMI
2010-11-30,1000.0
2010-12-01,1000.5859028943667
2010-12-02,997.3082941266633
2010-12-03,997.3082941266633
2010-12-06,986.5967773190725
2010-12-07,981.5215472520747
2010-12-08,980.7513264727824
2010-12-09,983.7631987274616
2010-12-10,987.3466112466565
2010-12-13,986.7733532523641
2010-12-14,989.1341008186114
2010-12-15,991.5884842764577
2010-12-16,994.5039908114176
2010-12-17,1002.8593376443949
2010-12-20,1003.5928046212596
2010-12-21,998.1402645655286
2010-12-22,999.2798319864984
2010-12-23,995.2257473220228
2010-12-24,995.2257473220228
2010-12-27,992.0671558743624
2010-12-28,989.4482660427642
2010-12-29,993.1240071077098
2010-12-30,1000.9231682592666
2010-12-31,1000.9231682592665
2011-01-03,1002.9435454310618
2011-01-04,996.4438629372513
2011-01-05,994.5973771695265
2011-01-06,996.0791431037181
2011-01-07,995.5703259004191
2011-01-10,988.0194234562969
2011-01-11,983.1443772154878
2011-01-12,983.4425974938138
2011-01-13,980.7310597661968
2011-01-14,994.2775357228908
2011-01-17,1004.4137106204349
2011-01-18,1003.5122967921163
2011-01-19,995.1239294727714
2011-01-20,997.1196169378101
2011-01-21,998.8532641447924
2011-01-24,997.0987368101927
2011-01-25,998.713696120259
2011-01-26,995.7156863028533
2011-01-27,997.9488689633788
2011-01-28,999.2087953127051
2011-01-31,990.3959368826505
2011-02-01,991.3301619676026
2011-02-02,994.0678792766802
2011-02-03,986.1619313884162
2011-02-04,981.9232972675419
2011-02-07,993.3866474112997
2011-02-08,993.3866474112996
2011-02-09,988.6164397301886
2011-02-10,981.6941864474867
2011-02-11,981.1676130828486
2011-02-14,977.6423551491315
2011-02-15,977.6745689069969
2011-02-16,982.5228678367343
2011-02-17,983.9828340889372
2011-02-18,984.4809461559518
2011-02-21,970.5237002544404
2011-02-22,968.768997834507
2011-02-23,966.6373984612882
2011-02-24,961.8504277289002
2011-02-25,960.83288207745
2011-02-28,956.7797583260409
2011-03-01,956.5272401801648
2011-03-02,950.8028157875325
2011-03-03,941.4937229486751
2011-03-04,949.2183187727775
2011-03-07,950.5041316751688
2011-03-08,948.471738702373
2011-03-09,949.4692388231679
2011-03-10,958.1011800910325
2011-03-11,955.2531408079149
2011-03-14,944.9379798843536
2011-03-15,929.2685666973948
2011-03-16,927.8564160655735
2011-03-17,929.1791480298427
2011-03-18,951.6857587482639
2011-03-21,944.5209433397382
2011-03-22,939.5418548331644
2011-03-23,938.9867049377361
2011-03-24,952.261953077412
2011-03-25,969.933146808002
2011-03-28,962.455416316212
2011-03-29,953.6367092867976
2011-03-30,956.98985823147
2011-03-31,950.9243610137142
2011-04-01,951.6099239685441
2011-04-04,945.4580802071606
2011-04-05,944.3367708465771
2011-04-06,946.9106912180993
2011-04-07,946.7136904180014
2011-04-08,946.1803256812836
2011-04-11,943.7408498103123
