Date,SERBIA IMI
2010-11-30,1000.0
2010-12-01,996.8738314522509
2010-12-02,998.8596558594652
2010-12-03,1009.7249493483582
2010-12-06,1016.9908160056541
2010-12-07,1021.4493778518533
2010-12-08,1038.0321686137343
2010-12-09,1043.5744773295014
2010-12-10,1048.2578592753282
2010-12-13,1052.8613807538493
2010-12-14,1056.5124306825444
2010-12-15,1070.0063245827484
2010-12-16,1082.8136384429613
2010-12-17,1079.1745466109862
2010-12-20,1051.8346089063725
2010-12-21,1032.0221989095062
2010-12-22,1031.5691917613499
2010-12-23,1039.2485010762214
2010-12-24,1044.9041561648087
2010-12-27,1028.3968289492877
2010-12-28,1030.2273493099976
2010-12-29,1029.0101046962873
2010-12-30,1000.7470972408966
2010-12-31,1013.536462417532
2011-01-03,1012.2158751051447
2011-01-04,1009.9833450686948
2011-01-05,1018.2481972906304
2011-01-06,1021.5656248134122
2011-01-07,1022.3437665754104
2011-01-10,1034.3738451090148
2011-01-11,1040.5106163359274
2011-01-12,1072.8174546550365
2011-01-13,1096.2862259407775
2011-01-14,1119.7325909917558
2011-01-17,1127.4866079025885
2011-01-18,1134.4234431254308
2011-01-19,1147.637071295081
2011-01-20,1152.7721368475222
2011-01-21,1142.8917456621275
2011-01-24,1151.4492811130483
2011-01-25,1158.5090769685698
2011-01-26,1170.1970012637682
2011-01-27,1167.1871851879523
2011-01-28,1156.9029128607917
2011-01-31,1138.7926913082065
2011-02-01,1145.7434764782647
2011-02-02,1157.8954823105025
2011-02-03,1164.504649423796
2011-02-04,1167.8848835233114
2011-02-07,1176.4175523932004
2011-02-08,1186.6248329857576
2011-02-09,1197.2929118650134
2011-02-10,1220.5327734879193
2011-02-11,1221.0037156897613
2011-02-14,1225.009303109392
2011-02-15,1224.2373615482802
2011-02-16,1202.7818905128074
2011-02-17,1206.7724968658724
2011-02-18,1219.6218573314757
2011-02-21,1219.2502719896056
2011-02-22,1222.6691526306884
2011-02-23,1216.384771477679
2011-02-24,1189.609403458961
2011-02-25,1191.8414591677047
2011-02-28,1189.53037981106
2011-03-01,1179.300326217613
2011-03-02,1183.7919454217363
2011-03-03,1180.0259211243992
2011-03-04,1188.36282281675
2011-03-07,1203.6818552972607
2011-03-08,1193.638259911145
2011-03-09,1199.468577355358
2011-03-10,1210.9969219555167
2011-03-11,1224.7916281311736
2011-03-14,1218.4275968164798
2011-03-15,1200.2330796121803
2011-03-16,1190.9676427819677
2011-03-17,1191.44953518932
2011-03-18,1178.9862497458057
2011-03-21,1182.5781993652865
2011-03-22,1186.6240314576712
2011-03-23,1184.06426071008
2011-03-24,1177.3195932083606
2011-03-25,1177.3945873728355
2011-03-28,1166.1631932582047
2011-03-29,1166.0226107287685
2011-03-30,1171.9725641528523
2011-03-31,1178.7771707748434
2011-04-01,1202.0247762325344
2011-04-04,1224.2629094766191
2011-04-05,1214.6735364818269
2011-04-06,1220.6853599634696
2011-04-07,1210.484269589672
2011-04-08,1217.23406267744
2011-04-11,1216.5918572540174
2011-04-12,1209.217134869171
2011-04-13,1207.3517606268158
2011-04-14,1194.3809901061586
2011-04-15,1176.8623035939863
2011-04-18,1163.263435973529
2011-04-19,1156.3765953544323
2011-04-20,1161.7960901321894
2011-04-21,1149.8368324091996
2011-04-22,1149.8368324091996
2011-04-25,1150.2500079509741
2011-04-26,1147.9409344088217
2011-04-27,1148.0293084823825
2011-04-28,1165.6497133643045
2011-04-29,1177.8119886086563
2011-05-02,1174.7418717240032
2011-05-03,1171.5373141107814
2011-05-04,1181.2188824338236
2011-05-05,1189.8325235503626
2011-05-06,1186.2052980844335
2011-05-09,1171.3479296693429
2011-05-10,1158.2170375411454
2011-05-11,1173.3922578532765
2011-05-12,1165.8021906126212
2011-05-13,1199.6043434875048
2011-05-16,1199.8902334148331
2011-05-17,1234.9168579260413
2011-05-18,1260.0619330376574
2011-05-19,1305.2737642587667
2011-05-20,1344.8206607089767
2011-05-23,1311.1013174457992
2011-05-24,1299.5544619622397
2011-05-25,1308.005447777563
2011-05-26,1335.5930458758148
2011-05-27,1382.6064505757704
