Date,PAKISTAN IMI VALUE
2017-06-01,960.5913142346141
2017-06-02,947.6541852643529
2017-06-05,974.424738422284
2017-06-06,967.1580569324191
2017-06-07,967.3531819542776
2017-06-08,969.6542583700866
2017-06-09,966.0945639023066
2017-06-12,924.9681649747771
2017-06-13,933.4705866334857
2017-06-14,913.8971516453129
2017-06-15,916.5540362204061
2017-06-16,897.5964171337214
2017-06-19,903.1252854134027
2017-06-20,874.1691536546766
2017-06-21,890.8518180004422
2017-06-22,904.5939461382723
2017-06-23,901.1613351819434
2017-06-26,901.0004422458279
2017-06-27,894.254813630245
2017-06-28,888.234353079095
2017-06-29,895.3354738982177
2017-06-30,885.7272342634963
2017-07-03,848.2169556701491
2017-07-04,867.5726792822411
2017-07-05,856.1253604373027
2017-07-06,854.2699061041784
2017-07-07,859.4730153522459
2017-07-10,883.7922094274625
2017-07-11,837.39357775061
2017-07-12,836.54746422254
2017-07-13,838.6734417674373
2017-07-14,849.1685924395214
2017-07-17,852.6216271283013
2017-07-18,867.8024147405788
2017-07-19,863.635937789332
2017-07-20,850.5954802721969
2017-07-21,853.5287030427012
2017-07-24,859.3223004108846
2017-07-25,862.4570309566271
2017-07-26,868.0087735545285
2017-07-27,865.925715772076
2017-07-28,859.557895065129
2017-07-31,859.2292302706365
2017-08-01,876.6701866161408
2017-08-02,877.4776844014968
2017-08-03,880.7258932974831
2017-08-04,885.0475043539768
2017-08-07,874.3900639998856
2017-08-08,874.6426229466177
2017-08-09,875.9226531061763
2017-08-10,869.4619346111315
2017-08-11,858.0549986441004
2017-08-14,858.6375454246963
2017-08-15,839.2414199680201
2017-08-16,847.6804882435008
2017-08-17,825.2078944572248
2017-08-18,826.9173087145538
2017-08-21,812.7814762669993
2017-08-22,815.8827156908818
2017-08-23,827.0653983808079
2017-08-24,822.1825505771632
2017-08-25,822.75089192555
2017-08-28,805.6994241629275
2017-08-29,786.2593848830987
2017-08-30,796.4274448922599
2017-08-31,795.4991915436801
2017-09-01,795.9797013528993
2017-09-04,793.7745863306822
2017-09-05,807.9987322276295
2017-09-06,804.9517498333768
2017-09-07,798.9010380750849
2017-09-08,802.0637562633536
2017-09-11,796.1782584369089
2017-09-12,803.284904710206
2017-09-13,827.8017784948917
2017-09-14,841.4759058382414
2017-09-15,830.8929857255011
2017-09-18,837.1941769627595
2017-09-19,845.3933159016757
2017-09-20,850.4550484755943
2017-09-21,841.831050323921
2017-09-22,839.7111182360663
2017-09-25,847.6065453463367
2017-09-26,856.4572868967908
2017-09-27,852.4229897762178
2017-09-28,850.7370040780047
2017-09-29,844.9821700088912
2017-10-02,842.0677820496932
2017-10-03,828.8151528991084
2017-10-04,819.9495026810962
2017-10-05,825.4750037960116
2017-10-06,841.9721191813038
2017-10-09,840.572923094088
2017-10-10,826.7224240926407
2017-10-11,828.7277363356822
2017-10-12,824.1042623113875
2017-10-13,824.3142051750422
2017-10-16,845.2152770388566
2017-10-17,845.8080611476197
2017-10-18,842.4613490350572
2017-10-19,845.5521148105852
2017-10-20,861.0480549305192
2017-10-23,853.2421272150915
2017-10-24,852.9985328150125
2017-10-25,855.488779165825
2017-10-26,860.4549724656998
2017-10-27,859.5921547922201
2017-10-30,842.2551908590927
2017-10-31,825.0418086277755
2017-11-01,848.5816628300577
2017-11-02,849.5565925492783
2017-11-03,867.2116836057826
2017-11-06,872.4352780006004
2017-11-07,871.3022304585926
2017-11-08,871.7528323296912
2017-11-09,874.564343621849
2017-11-10,865.9562129959194
2017-11-13,863.2806891430897
2017-11-14,847.3208079134276
2017-11-15,833.8092394340694
2017-11-16,838.6181250340953
2017-11-17,837.1686571521161
2017-11-20,830.7323429884815
2017-11-21,837.4022178812658
2017-11-22,829.7116106965013
2017-11-23,818.2778299445885
2017-11-24,813.3807353168501
2017-11-27,807.5763346642289
2017-11-28,804.1347837114653
2017-11-29,804.0470187303549
2017-11-30,813.0846426138779
2017-12-01,816.9902444871335
2017-12-04,818.3336531731852
2017-12-05,811.9016702675558
2017-12-06,814.1206069733071
2017-12-07,787.5948018886363
2017-12-08,795.4887026961277
2017-12-11,768.3222678468088
2017-12-12,764.8971795548136
2017-12-13,767.3702391080586
2017-12-14,751.6334290983508
2017-12-15,763.1661112512965
2017-12-18,753.478132271885
2017-12-19,739.9051343902628
2017-12-20,744.5280403216473
2017-12-21,755.175956014846
2017-12-22,774.4913876565345
2017-12-25,774.4913876565345
2017-12-26,771.3694753764954
2017-12-27,781.1762085086211
2017-12-28,781.2180412432175
2017-12-29,774.7745998688368
2018-01-01,780.9945330158757
2018-01-02,795.1079414725289
2018-01-03,798.1028860704001
2018-01-04,800.7979627422305
2018-01-05,813.4262355197329
2018-01-08,832.8816115842294
