Date,TRINIDAD AND TOBAGO IMI
2010-11-30,1000.0
2010-12-01,996.5168797366609
2010-12-02,985.3812371055986
2010-12-03,972.5419864715197
2010-12-06,977.5732666245223
2010-12-07,973.1869147904251
2010-12-08,981.9210258791874
2010-12-09,984.4221780018427
2010-12-10,981.1613621778281
2010-12-13,970.9524408557272
2010-12-14,974.0347488560219
2010-12-15,974.3186123805858
2010-12-16,984.8300149555313
2010-12-17,987.9455327701202
2010-12-20,992.3795144526372
2010-12-21,989.4646973573618
2010-12-22,990.7818693712545
2010-12-23,1017.6888214124541
2010-12-24,1002.7695330463055
2010-12-27,1001.692758518473
2010-12-28,1003.1039156942719
2010-12-29,999.631350180013
2010-12-30,986.6591078580383
2010-12-31,978.8887448388718
2011-01-03,986.0216885929187
2011-01-04,997.8778743197015
2011-01-05,1011.5743805606508
2011-01-06,1021.3379686234166
2011-01-07,1024.7790918565895
2011-01-10,1033.4248483445156
2011-01-11,1032.8643025585302
2011-01-12,1020.6912482739847
2011-01-13,996.3230597810402
2011-01-14,994.9695480714153
2011-01-17,1000.0041803430832
2011-01-18,997.4061740354235
2011-01-19,987.4942652282488
2011-01-20,1019.1051841110954
2011-01-21,1038.4649508089658
2011-01-24,1030.7045232585813
2011-01-25,1036.613487323801
2011-01-26,1036.0130860032616
2011-01-27,1041.5644823132866
2011-01-28,1055.0931734309224
2011-01-31,1050.3629321941503
2011-02-01,1044.7712928323879
2011-02-02,1043.272954339652
2011-02-03,1057.508996753439
2011-02-04,1065.5839662285025
2011-02-07,1066.4494630629197
2011-02-08,1055.4771391343952
2011-02-09,1063.5207619885236
2011-02-10,1073.0167097839415
2011-02-11,1078.2579829178826
2011-02-14,1083.4391736361902
2011-02-15,1081.0566882734881
2011-02-16,1068.5571500226429
2011-02-17,1077.078241638862
2011-02-18,1073.8654779855049
2011-02-21,1079.536167604383
2011-02-22,1069.2394114592794
2011-02-23,1062.7571342027245
2011-02-24,1064.1545936682976
2011-02-25,1063.553806968967
2011-02-28,1058.4879019624207
2011-03-01,1058.2451952758026
2011-03-02,1052.0033552974276
2011-03-03,1049.1834015919185
2011-03-04,1032.839149814027
2011-03-07,1031.6913327603945
2011-03-08,1040.2275226494116
2011-03-09,1038.583602995774
2011-03-10,1047.7630462179227
2011-03-11,1047.1093182944394
2011-03-14,1035.8849267439432
2011-03-15,1033.5473876505523
2011-03-16,1037.0368443863883
2011-03-17,1033.781503010696
2011-03-18,1023.9580246830132
2011-03-21,1014.2795824764796
2011-03-22,1015.5610322902721
2011-03-23,1022.3991703657734
2011-03-24,1018.5619397492615
2011-03-25,1019.8976212505281
2011-03-28,1025.9589422029198
2011-03-29,1025.530236375956
2011-03-30,1020.9892210038184
2011-03-31,1014.0823810900444
2011-04-01,1020.5936895934834
2011-04-04,1011.99938282736
2011-04-05,1020.2930179301297
2011-04-06,1005.8426715955956
2011-04-07,1006.6142945927713
2011-04-08,1010.6476644911618
2011-04-11,1013.8664265753162
2011-04-12,1013.4253629338874
2011-04-13,1003.9046147548452
2011-04-14,1009.3127735799139
2011-04-15,1011.0038568139071
2011-04-18,1026.1635767365653
2011-04-19,1024.1285004503081
2011-04-20,1005.3045329371805
2011-04-21,1002.4436871504429
2011-04-22,1002.4436871504429
2011-04-25,1004.7497626720697
2011-04-26,1000.2158173461872
2011-04-27,999.4820318938498
2011-04-28,988.2546360408619
2011-04-29,986.337309824993
2011-05-02,986.1739419109675
2011-05-03,988.9057353025851
2011-05-04,990.5275472104731
2011-05-05,1026.5632579189094
2011-05-06,1032.7823187596089
2011-05-09,1052.104826431349
2011-05-10,1045.9420824988485
2011-05-11,1059.260332212724
2011-05-12,1092.329455761484
2011-05-13,1086.5430237343462
2011-05-16,1092.7562223741634
2011-05-17,1094.6620464756998
2011-05-18,1089.0738543974533
2011-05-19,1095.9998180104533
2011-05-20,1104.059371244839
2011-05-23,1110.1669727591036
2011-05-24,1102.8894132449457
2011-05-25,1117.1242747064955
2011-05-26,1114.7869459995316
2011-05-27,1099.1058190692445
2011-05-30,1098.2971150224187
2011-05-31,1095.0493658521084
2011-06-01,1087.1363794414099
2011-06-02,1091.959477790851
