Date,JORDAN IMI
1998-12-31,366.10709342956704
1999-01-01,366.10709342956704
1999-01-04,367.11153117150474
1999-01-05,369.3838471718248
1999-01-06,378.0633969585473
1999-01-07,379.93374647089456
1999-01-08,383.8144806915019
1999-01-11,383.55643138841225
1999-01-12,380.8826615507122
1999-01-13,379.16457593879613
1999-01-14,379.5283161642746
1999-01-15,383.1467699120011
1999-01-18,386.0812316664205
1999-01-19,386.0363144429254
1999-01-20,387.2374126945088
1999-01-21,386.8195185687484
1999-01-22,386.8529169039728
1999-01-25,399.39188853907854
1999-01-26,394.99501532945806
1999-01-27,388.5274470746649
1999-01-28,391.41979538446935
1999-01-29,393.2631284838681
1999-02-01,402.49920870972164
1999-02-02,397.8601709860159
1999-02-03,399.41654640735175
1999-02-04,401.11582866849875
1999-02-05,400.3966843489932
1999-02-08,401.7999658636773
1999-02-09,399.9865323894254
1999-02-10,399.2269413064087
1999-02-11,400.07504456742697
1999-02-12,400.7667863096742
1999-02-15,413.04534177598015
1999-02-16,414.0571558427883
1999-02-17,409.9137702555003
1999-02-18,410.89348413831294
1999-02-19,415.57808832410865
1999-02-22,421.1505027213002
1999-02-23,423.08400550425193
1999-02-24,423.5660080023865
1999-02-25,419.82899906380777
1999-02-26,421.74895090554503
1999-03-01,424.0355787543769
1999-03-02,426.6389529420102
1999-03-03,425.3310957805016
1999-03-04,428.07347258835455
1999-03-05,427.5254840570434
1999-03-08,434.595796168052
1999-03-09,431.3869903420721
1999-03-10,426.92931613500264
1999-03-11,431.2944755494307
1999-03-12,427.1804277882199
1999-03-15,424.8294896754186
1999-03-16,428.18644836569416
1999-03-17,424.27894375090176
1999-03-18,423.08253548095195
1999-03-19,425.4447188743287
1999-03-22,426.0324911620348
1999-03-23,427.53473066558354
1999-03-24,426.7235226853934
1999-03-25,429.2818787185735
1999-03-26,434.8208707255162
1999-03-29,435.51061177266877
1999-03-30,433.3850195914845
1999-03-31,425.619215521071
1999-04-01,425.06649255595767
1999-04-02,426.0121793064878
1999-04-05,427.4567286276729
1999-04-06,425.55157482209927
1999-04-07,422.32843319828544
1999-04-08,419.13008770349535
1999-04-09,421.3664334598124
1999-04-12,413.9139282933948
1999-04-13,413.7942636158188
1999-04-14,406.68182275756504
1999-04-15,408.2322711702221
1999-04-16,410.96681974122674
1999-04-19,415.52270149553857
1999-04-20,413.6063342218498
1999-04-21,419.50133619740325
1999-04-22,420.47282635331584
1999-04-23,418.85123475011073
1999-04-26,420.6992837156584
1999-04-27,416.5107057115119
1999-04-28,418.65750628218336
1999-04-29,421.4027557883741
1999-04-30,422.5930422495158
1999-05-03,422.9087825425013
1999-05-04,417.52915172734583
1999-05-05,414.1970489829952
1999-05-06,410.79465554162573
1999-05-07,410.1446810918286
