Date,MAURITIUS IMI
2010-11-30,1000.0
2010-12-01,1006.1719782302924
2010-12-02,1014.0588126637227
2010-12-03,998.20010031474
2010-12-06,1012.8839865241093
2010-12-07,1007.6077108358428
2010-12-08,1013.2496982809006
2010-12-09,1012.5758467595022
2010-12-10,1006.0490674497105
2010-12-13,987.8877128810832
2010-12-14,985.2170427512358
2010-12-15,994.2158254692525
2010-12-16,1004.1931649910447
2010-12-17,1006.1886792608311
2010-12-20,1002.792415836039
2010-12-21,995.7055092566333
2010-12-22,1004.9058259782073
2010-12-23,1012.2065389482252
2010-12-24,1008.2133842788149
2010-12-27,1002.8440560742443
2010-12-28,1009.6248614934327
2010-12-29,1013.8962266312259
2010-12-30,1017.0619129570297
2010-12-31,1027.6147310776505
2011-01-03,1031.7291891013485
2011-01-04,1038.8731486703375
2011-01-05,1061.610807798482
2011-01-06,1068.8701244405222
2011-01-07,1064.538971624511
2011-01-10,1070.5771378078919
2011-01-11,1073.6779298405079
2011-01-12,1072.564456497377
2011-01-13,1051.2266606795965
2011-01-14,1067.987046695456
2011-01-17,1082.0966709209165
2011-01-18,1078.9181884101988
2011-01-19,1078.1115337268013
2011-01-20,1084.6226457333528
2011-01-21,1065.8438933359228
2011-01-24,1053.1905844909627
2011-01-25,1060.5368335605351
2011-01-26,1064.6469561476624
2011-01-27,1072.4899757147246
2011-01-28,1081.8220568218937
2011-01-31,1067.0518424293198
2011-02-01,1060.7077116956189
2011-02-02,1077.9467057171132
2011-02-03,1092.023040073921
2011-02-04,1084.0937968254548
2011-02-07,1077.0276992995707
2011-02-08,1063.7563669105043
2011-02-09,1073.91798448001
2011-02-10,1088.1821852504304
2011-02-11,1099.085071081569
2011-02-14,1107.4372857036788
2011-02-15,1097.2159365147343
2011-02-16,1096.8516696743857
2011-02-17,1090.6546930719385
2011-02-18,1084.1244236978653
2011-02-21,1077.0039235435197
2011-02-22,1057.2956211672624
2011-02-23,1056.6533713330293
