Date,MSCI USA HDY INDEX
1994-06-30,346.0234764
1994-07-29,355.8636047
1994-08-31,368.01363579
1994-09-30,361.58151059
1994-10-31,367.188627
1994-11-30,357.29050049
1994-12-30,357.96930404
1995-01-31,375.02822723
1995-02-28,386.46977446
1995-03-31,394.20983218
1995-04-28,406.85144706
1995-05-31,428.35652123
1995-06-30,430.94680595
1995-07-31,439.7193257
1995-08-31,445.42542182
1995-09-29,471.94112227
1995-10-31,474.63265743
1995-11-30,496.78965244
1995-12-29,517.34938406
1996-01-31,530.49965682
1996-02-29,533.92038462
1996-03-29,539.44766251
1996-04-30,542.42700409
1996-05-31,551.55537898
1996-06-28,557.03900383
1996-07-31,539.44764415
1996-08-30,546.40334628
1996-09-30,570.52263607
1996-10-31,599.50764946
1996-11-29,638.24952174
1996-12-31,634.68561517
1997-01-01,634.68561517
1997-01-02,634.54825128
1997-01-03,640.69950663
1997-01-06,639.57857084
1997-01-07,641.35903755
1997-01-08,639.54322368
1997-01-09,646.11435942
1997-01-10,649.33806354
1997-01-13,650.00939141
1997-01-14,659.2200477
1997-01-15,662.10268577
1997-01-16,661.18978096
1997-01-17,665.50128285
1997-01-20,665.2171577
1997-01-21,668.77939087
1997-01-22,672.06531231
1997-01-23,663.92907856
1997-01-24,658.00914354
1997-01-27,656.52260279
1997-01-28,654.334174
1997-01-29,662.74255418
1997-01-30,670.67361333
1997-01-31,671.05276832
1997-02-03,672.607703
1997-02-04,676.95098468
1997-02-05,669.45654856
1997-02-06,670.6878817
1997-02-07,675.98344993
1997-02-10,673.82792281
1997-02-11,679.6117131
1997-02-12,688.71967174
1997-02-13,696.54872161
1997-02-14,695.55162763
1997-02-17,695.55162763
1997-02-18,703.50404327
1997-02-19,699.21760331
1997-02-20,692.99156724
1997-02-21,693.35098083
1997-02-24,700.57955792
1997-02-25,704.11753209
1997-02-26,699.01426611
1997-02-27,692.351301
1997-02-28,688.84493116
1997-03-03,691.65129213
1997-03-04,686.98001873
1997-03-05,694.12899018
1997-03-06,693.33452811
1997-03-07,700.56678054
1997-03-10,707.72702292
1997-03-11,704.628197
1997-03-12,696.16206766
1997-03-13,679.26640305
1997-03-14,683.95124181
1997-03-17,686.41554889
1997-03-18,680.11609063
1997-03-19,677.83813317
1997-03-20,671.50511821
1997-03-21,675.50262428
1997-03-24,685.36428601
1997-03-25,685.27837442
1997-03-26,681.7664601
1997-03-27,665.77034765
1997-03-28,665.77034765
1997-03-31,653.39907518
1997-04-01,656.47568812
1997-04-02,647.92143744
1997-04-03,644.19712124
1997-04-04,646.67056538
1997-04-07,651.7488965
1997-04-08,655.16259329
1997-04-09,648.64543144
1997-04-10,648.77440826
1997-04-11,631.76209156
1997-04-14,633.42070913
1997-04-15,643.0094014
1997-04-16,651.54850594
1997-04-17,648.94440377
1997-04-18,653.51056295
1997-04-21,648.18241557
1997-04-22,659.33536564
1997-04-23,654.14373384
1997-04-24,650.46354212
1997-04-25,648.48756142
1997-04-28,657.1151152
1997-04-29,672.91676685
1997-04-30,677.27917253
1997-05-01,674.24694233
1997-05-02,685.83317847
1997-05-05,697.80725397
1997-05-06,700.61984625
1997-05-07,689.58430175
1997-05-08,693.7498872
1997-05-09,697.41388369
1997-05-12,707.0773626
1997-05-13,703.57697571
1997-05-14,708.51965691
1997-05-15,709.02673903
1997-05-16,702.42080905
1997-05-19,705.72380653
1997-05-20,709.2167967
1997-05-21,707.56949261
1997-05-22,706.6724497
1997-05-23,715.91138252
1997-05-26,715.91138252
1997-05-27,714.36916595
1997-05-28,713.04975186
1997-05-29,711.12817097
1997-05-30,718.6421202
1997-06-02,715.30303226
1997-06-03,719.67967353
1997-06-04,715.76637826
1997-06-05,718.9375069
1997-06-06,729.54395084
1997-06-09,728.85381106
1997-06-10,732.478828
1997-06-11,736.79990552
1997-06-12,750.33828271
1997-06-13,759.69122678
1997-06-16,760.96133489
1997-06-17,761.4365182
1997-06-18,757.40095576
1997-06-19,762.68377322
1997-06-20,762.28612903
1997-06-23,744.57144616
1997-06-24,760.41903372
1997-06-25,751.66499653
1997-06-26,748.9435839
1997-06-27,749.16784644
1997-06-30,749.7204347
1997-07-01,755.98892986
1997-07-02,765.13870265
1997-07-03,774.96232545
1997-07-04,774.96232545
1997-07-07,769.33873303
1997-07-08,772.95600389
1997-07-09,759.99943557
1997-07-10,766.27017646
1997-07-11,766.8910964
1997-07-14,763.67667077
1997-07-15,767.19347344
1997-07-16,774.62254917
1997-07-17,768.45467967
1997-07-18,755.97047383
1997-07-21,756.25044878
1997-07-22,774.53477014
1997-07-23,774.21817266
1997-07-24,777.09599483
1997-07-25,777.26278632
1997-07-28,779.80418469
1997-07-29,786.59494458
1997-07-30,795.17729341
1997-07-31,796.28151947
1997-08-01,789.45889581
1997-08-04,792.59570064
1997-08-05,792.37434226
1997-08-06,800.12175929
1997-08-07,792.83242826
1997-08-08,778.43889932
1997-08-11,789.39604439
1997-08-12,782.28257145
1997-08-13,774.26191866
1997-08-14,777.84380389
1997-08-15,761.23648374
1997-08-18,770.30037069
1997-08-19,777.76624119
1997-08-20,787.00978804
1997-08-21,776.95204044
1997-08-22,776.80931214
1997-08-25,775.7223348
1997-08-26,771.63099013
1997-08-27,774.11767623
1997-08-28,766.7191359
1997-08-29,761.74698572
1997-09-01,761.74698572
1997-09-02,783.48927334
1997-09-03,783.61250653
1997-09-04,786.25115149
1997-09-05,783.28615052
1997-09-08,787.69679036
1997-09-09,794.11431962
1997-09-10,784.99459146
1997-09-11,779.71644748
1997-09-12,790.78480312
1997-09-15,786.98590254
1997-09-16,806.52264216
1997-09-17,801.82990803
1997-09-18,806.7339913
1997-09-19,807.69798398
1997-09-22,809.37313919
1997-09-23,806.13034748
1997-09-24,802.55369125
1997-09-25,794.92120144
1997-09-26,802.5347101
1997-09-29,808.037689
1997-09-30,804.05279852
1997-10-01,812.26149006
1997-10-02,814.1499638
1997-10-03,819.21655841
1997-10-06,828.69533822
1997-10-07,835.6851257
1997-10-08,826.74083346
1997-10-09,822.04383024
1997-10-10,818.02531392
1997-10-13,819.46315244
1997-10-14,819.50080254
1997-10-15,817.60193313
1997-10-16,812.00891006
1997-10-17,807.23268011
1997-10-20,815.59252663
1997-10-21,828.55408803
1997-10-22,830.02082292
1997-10-23,817.71733579
1997-10-24,813.14441857
1997-10-27,764.94529963
1997-10-28,795.25069073
1997-10-29,795.91565233
1997-10-30,785.36048181
1997-10-31,793.94404158
1997-11-03,812.69040747
1997-11-04,811.80002691
1997-11-05,810.87237475
1997-11-06,807.2062738
1997-11-07,800.72998282
1997-11-10,798.98474318
1997-11-11,802.98450586
1997-11-12,790.57220811
1997-11-13,796.75409581
1997-11-14,802.50757638
1997-11-17,815.13842824
1997-11-18,817.36102447
1997-11-19,821.91116742
1997-11-20,833.68468592
1997-11-21,838.25143249
1997-11-24,826.48226357
1997-11-25,829.27810584
1997-11-26,829.31944614
1997-11-27,829.31944614
1997-11-28,832.24359638
1997-12-01,844.18105537
1997-12-02,843.23372888
