Date,JAPAN HIGH DIVIDEND YIELD
1994-06-30,1323.19045654
1994-07-29,1280.52564997
1994-08-31,1299.99176383
1994-09-30,1270.5887542
1994-10-31,1310.48780414
1994-11-30,1234.78346972
1994-12-30,1240.81271554
1995-01-31,1165.41527226
1995-02-28,1114.50453643
1995-03-31,1238.29530628
1995-04-28,1275.61728872
1995-05-31,1207.43766816
1995-06-30,1181.73738698
1995-07-31,1239.86283341
1995-08-31,1210.90355248
1995-09-29,1229.16471294
1995-10-31,1182.68355141
1995-11-30,1223.19920383
1995-12-29,1282.08369131
1996-01-31,1269.55737628
1996-02-29,1261.60970822
1996-03-29,1305.29846858
1996-04-30,1388.6145725
1996-05-31,1314.04014473
1996-06-28,1322.50977021
1996-07-31,1289.60790728
1996-08-30,1226.80962298
1996-09-30,1265.30942471
1996-10-31,1180.07293624
1996-11-29,1207.73260638
1996-12-31,1151.39963939
1997-01-01,1151.39963939
1997-01-02,1155.13164912
1997-01-03,1150.11149866
1997-01-06,1163.43992246
1997-01-07,1148.22544184
1997-01-08,1129.39674465
1997-01-09,1104.78719012
1997-01-10,1066.32817985
1997-01-13,1089.07450659
1997-01-14,1090.8045688
1997-01-15,1088.29022865
1997-01-16,1097.11821077
1997-01-17,1089.51224392
1997-01-20,1062.26714186
1997-01-21,1057.45740282
1997-01-22,1069.98697355
1997-01-23,1061.11473161
1997-01-24,1056.03084932
1997-01-27,1038.54175361
1997-01-28,1044.58762251
1997-01-29,1048.75505484
1997-01-30,1035.65412947
1997-01-31,1058.81811275
1997-02-03,1048.34954988
1997-02-04,1052.27999185
1997-02-05,1028.51320033
1997-02-06,1018.8822854
1997-02-07,1006.85017658
1997-02-10,1035.56811614
1997-02-11,1033.54864472
1997-02-12,1035.75697744
1997-02-13,1032.47418865
1997-02-14,1039.43459245
1997-02-17,1042.7158116
1997-02-18,1033.52469668
1997-02-19,1037.6112647
1997-02-20,1060.48535722
1997-02-21,1061.17341094
1997-02-24,1063.12644803
1997-02-25,1069.14343179
1997-02-26,1067.52681347
1997-02-27,1075.11967603
1997-02-28,1059.35890219
1997-03-03,1053.27022651
1997-03-04,1045.62410017
1997-03-05,1034.97268455
1997-03-06,1023.84438216
1997-03-07,1026.8415098
1997-03-10,1026.99240477
1997-03-11,1029.33320801
1997-03-12,1023.68644063
1997-03-13,1010.09708169
1997-03-14,1012.36763339
1997-03-17,1014.77954596
1997-03-18,1036.71474509
1997-03-19,1039.9252033
1997-03-20,1034.11227078
1997-03-21,1049.5305788
1997-03-24,1032.63111508
1997-03-25,1040.49892217
1997-03-26,1046.61238822
1997-03-27,1044.69990257
1997-03-28,1045.1533816
1997-03-31,1047.80368766
1997-04-01,1047.22145304
1997-04-02,1063.18906723
1997-04-03,1063.44596236
1997-04-04,1041.40366209
1997-04-07,1016.29022764
1997-04-08,1019.31885163
1997-04-09,1005.4966448
1997-04-10,998.75029111
1997-04-11,1011.44223362
1997-04-14,1004.15730921
1997-04-15,1012.77116277
1997-04-16,1020.95325378
1997-04-17,1022.3116783
1997-04-18,1032.45556695
1997-04-21,1049.63530888
1997-04-22,1040.73174464
1997-04-23,1053.88052964
1997-04-24,1054.30090829
1997-04-25,1049.20734687
1997-04-28,1050.1423999
1997-04-29,1048.65113224
1997-04-30,1066.16676218
1997-05-01,1082.63662826
1997-05-02,1080.00645448
1997-05-05,1079.83604598
1997-05-06,1121.20899688
1997-05-07,1117.81399647
1997-05-08,1123.62585933
1997-05-09,1135.3208256
1997-05-12,1177.29675858
1997-05-13,1178.45511838
1997-05-14,1186.12566861
1997-05-15,1201.66466959
1997-05-16,1215.07471207
1997-05-19,1214.61665312
1997-05-20,1242.85095964
1997-05-21,1221.2638901
1997-05-22,1206.11738628
1997-05-23,1218.38307739
1997-05-26,1205.12867641
1997-05-27,1194.71682502
1997-05-28,1220.75994341
1997-05-29,1215.35601721
1997-05-30,1186.6874454
1997-06-02,1212.53638085
1997-06-03,1216.83221523
1997-06-04,1223.60317394
1997-06-05,1228.17032359
1997-06-06,1228.0259
1997-06-09,1254.50331704
1997-06-10,1266.39004414
1997-06-11,1277.7698847
1997-06-12,1258.33206427
1997-06-13,1247.8651388
1997-06-16,1273.22609925
1997-06-17,1268.40533534
1997-06-18,1263.80644898
1997-06-19,1257.81648395
1997-06-20,1245.95126495
1997-06-23,1240.61786586
1997-06-24,1244.11144118
1997-06-25,1266.20476938
1997-06-26,1262.46339824
1997-06-27,1246.7454601
1997-06-30,1253.8165233
1997-07-01,1233.99027031
1997-07-02,1242.66329702
1997-07-03,1245.46869459
1997-07-04,1237.12205391
1997-07-07,1245.48355612
1997-07-08,1250.95314012
1997-07-09,1241.84056646
1997-07-10,1236.66051959
1997-07-11,1225.84350879
1997-07-14,1227.20058649
1997-07-15,1208.95069359
1997-07-16,1206.88669312
1997-07-17,1204.79942705
1997-07-18,1202.04802509
1997-07-21,1198.67556646
1997-07-22,1198.19121606
1997-07-23,1192.60853294
1997-07-24,1195.66901559
1997-07-25,1195.42598779
1997-07-28,1191.87521363
1997-07-29,1179.80810447
1997-07-30,1164.93638793
1997-07-31,1166.87240964
1997-08-01,1147.00683864
1997-08-04,1143.37297365
1997-08-05,1132.91810352
1997-08-06,1140.8660399
1997-08-07,1133.7203574
1997-08-08,1164.48080473
1997-08-11,1134.47335744
1997-08-12,1142.22176892
1997-08-13,1141.88689802
1997-08-14,1127.37261809
1997-08-15,1130.79265436
1997-08-18,1118.27252908
1997-08-19,1116.52120002
1997-08-20,1128.89835158
1997-08-21,1133.85789939
1997-08-22,1120.3661452
1997-08-25,1116.70101182
1997-08-26,1122.69619184
1997-08-27,1101.22720623
1997-08-28,1103.75104188
1997-08-29,1085.39562379
1997-09-01,1060.30393094
1997-09-02,1060.44135053
1997-09-03,1081.77499401
1997-09-04,1081.88650503
1997-09-05,1077.20328664
1997-09-08,1071.5179322
1997-09-09,1093.33297054
1997-09-10,1090.72125825
1997-09-11,1069.57739269
1997-09-12,1052.73851539
1997-09-15,1057.46500717
1997-09-16,1048.00329681
1997-09-17,1034.38692789
1997-09-18,1018.81447274
1997-09-19,1016.4753264
1997-09-22,1018.46516169
1997-09-23,1023.7880043
1997-09-24,1051.62232779
1997-09-25,1040.22928335
1997-09-26,1016.57701263
1997-09-29,1018.29377369
1997-09-30,1027.79175607
1997-10-01,1023.45825586
1997-10-02,1001.26771022
1997-10-03,994.27337423
1997-10-06,1006.47899539
1997-10-07,994.12692223
1997-10-08,998.89355905
1997-10-09,985.18395154
1997-10-10,994.04765254
1997-10-13,980.30347978
1997-10-14,977.22670356
1997-10-15,992.59673283
1997-10-16,1014.11529126
1997-10-17,1005.48624498
1997-10-20,989.64305602
1997-10-21,996.57112772
1997-10-22,1021.19959561
1997-10-23,996.80026677
1997-10-24,1001.65611541
1997-10-27,996.20810147
1997-10-28,990.277691
1997-10-29,1008.14850555
1997-10-30,990.12658756
1997-10-31,991.36236909
1997-11-03,987.09456189
1997-11-04,977.69708698
1997-11-05,964.76399686
1997-11-06,966.61866707
1997-11-07,938.75490752
1997-11-10,929.67543062
1997-11-11,929.82824519
1997-11-12,902.78701296
1997-11-13,899.3984298
1997-11-14,873.10374014
1997-11-17,926.03398553
1997-11-18,941.13679246
1997-11-19,891.42300964
1997-11-20,903.69560794
1997-11-21,924.71066227
1997-11-24,917.96068308
1997-11-25,873.19086167
1997-11-26,879.91528191
1997-11-27,899.9658855
1997-11-28,900.89234231
1997-12-01,902.83331381
1997-12-02,905.53483634
1997-12-03,894.02502783
1997-12-04,871.80330818
1997-12-05,863.07053707
1997-12-08,842.68963934
1997-12-09,865.50281409
1997-12-10,864.86623995
1997-12-11,844.25943582
1997-12-12,834.04254127
1997-12-15,833.81277104
1997-12-16,833.56826263
1997-12-17,879.15739789
1997-12-18,861.03765033
1997-12-19,823.00729961
1997-12-22,789.82490104
1997-12-23,792.49938893
1997-12-24,794.74353862
1997-12-25,795.04253779
1997-12-26,792.30983786
1997-12-29,798.27976588
1997-12-30,827.41937712
1997-12-31,825.60576803
1998-01-01,825.60576803
1998-01-02,811.25554497
1998-01-05,794.26482146
1998-01-06,787.99197016
1998-01-07,793.65585367
1998-01-08,787.10279428
1998-01-09,780.33706929
1998-01-12,760.2445396
1998-01-13,766.44971473
1998-01-14,790.91540766
1998-01-15,797.34019371
1998-01-16,842.86355505
1998-01-19,864.32069832
1998-01-20,865.42702554
1998-01-21,890.81998744
1998-01-22,893.5700939
1998-01-23,912.83402381
1998-01-26,949.86657972
1998-01-27,958.04133483
1998-01-28,955.80502626
1998-01-29,949.68402688
1998-01-30,922.1077112
1998-02-02,916.39141773
1998-02-03,936.04995154
1998-02-04,948.52841933
1998-02-05,965.46512362
1998-02-06,966.40193281
1998-02-09,972.28642451
1998-02-10,987.35213312
1998-02-11,985.8344816
1998-02-12,985.86732037
1998-02-13,954.63123422
1998-02-16,937.11206124
1998-02-17,929.88021796
1998-02-18,921.8451139
1998-02-19,926.60178458
1998-02-20,920.70582937
1998-02-23,909.1891111
1998-02-24,895.31243608
1998-02-25,890.72208557
1998-02-26,900.7433697
1998-02-27,934.57617141
1998-03-02,965.97399982
1998-03-03,961.17836629
1998-03-04,954.18315517
1998-03-05,935.59879829
1998-03-06,947.36209809
1998-03-09,936.04235086
1998-03-10,938.84484163
1998-03-11,921.78150626
1998-03-12,909.63514871
1998-03-13,939.45688883
1998-03-16,921.37188636
1998-03-17,931.32481851
1998-03-18,917.4678201
1998-03-19,918.51292439
1998-03-20,924.92824329
1998-03-23,921.97491403
1998-03-24,914.65391658
1998-03-25,924.35679888
1998-03-26,944.36029288
1998-03-27,928.81471243
1998-03-30,905.3304195
1998-03-31,904.41788606
1998-04-01,887.57057314
1998-04-02,855.93047197
1998-04-03,841.84610455
1998-04-06,850.95804541
1998-04-07,870.64007628
1998-04-08,900.09803861
1998-04-09,930.42077433
1998-04-10,927.59155714
1998-04-13,927.10491756
1998-04-14,923.98949515
1998-04-15,924.15062692
1998-04-16,885.78886823
1998-04-17,883.78279594
1998-04-20,881.41677329
1998-04-21,889.96377811
1998-04-22,889.2646485
1998-04-23,897.76790731
1998-04-24,905.78653826
1998-04-27,882.91761009
1998-04-28,873.67253953
1998-04-29,875.72527931
1998-04-30,892.44570379
1998-05-01,880.10557537
1998-05-04,879.18047003
1998-05-05,888.8571945
1998-05-06,871.53238168
1998-05-07,860.05745296
1998-05-08,867.66349939
1998-05-11,878.37404748
1998-05-12,867.79276037
1998-05-13,872.41387563
1998-05-14,871.77272744
1998-05-15,871.90641267
1998-05-18,863.82373928
1998-05-19,869.84796241
1998-05-20,874.08941203
1998-05-21,882.23514266
1998-05-22,882.72109411
1998-05-25,868.85712243
1998-05-26,868.66591409
1998-05-27,862.02479524
1998-05-28,857.4008327
1998-05-29,849.47709394
1998-06-01,828.83443067
1998-06-02,853.84008199
1998-06-03,852.31697164
1998-06-04,854.34657997
1998-06-05,845.93588353
1998-06-08,837.74750948
1998-06-09,847.79317951
1998-06-10,835.62892292
1998-06-11,812.30860087
1998-06-12,801.34139307
1998-06-15,783.39074344
1998-06-16,788.06940266
1998-06-17,825.19824529
1998-06-18,864.81400391
1998-06-19,881.48950198
1998-06-22,857.67846285
1998-06-23,840.53276043
1998-06-24,837.36610729
1998-06-25,836.85448139
1998-06-26,826.01925714
1998-06-29,843.14236569
1998-06-30,886.98665016
1998-07-01,917.78519891
1998-07-02,905.40938993
1998-07-03,911.16324932
1998-07-06,898.60652145
1998-07-07,908.25474902
1998-07-08,900.68438757
1998-07-09,883.37333332
1998-07-10,870.56079759
1998-07-13,878.88916754
1998-07-14,895.99445037
1998-07-15,898.88981529
1998-07-16,902.28670591
1998-07-17,896.97205895
1998-07-20,901.135915
1998-07-21,896.34724522
1998-07-22,873.91102237
1998-07-23,867.37842955
1998-07-24,877.20619639
1998-07-27,849.13605975
1998-07-28,858.96096176
1998-07-29,852.76065762
1998-07-30,859.90375705
1998-07-31,864.7338405
1998-08-03,844.42515565
1998-08-04,841.72256646
1998-08-05,848.14783752
1998-08-06,840.35548088
1998-08-07,834.81819743
1998-08-10,819.73986469
1998-08-11,800.98579563
1998-08-12,806.19271257
1998-08-13,813.92504776
1998-08-14,800.11325681
1998-08-17,790.84935028
1998-08-18,802.36203492
1998-08-19,817.39847748
1998-08-20,822.89665723
1998-08-21,802.61495563
1998-08-24,797.99501706
1998-08-25,796.26260051
1998-08-26,785.17009725
1998-08-27,774.08862431
1998-08-28,752.68741464
1998-08-31,789.20317117
1998-09-01,816.53561445
1998-09-02,810.72325679
1998-09-03,821.27900414
1998-09-04,812.84516134
1998-09-07,862.43250881
1998-09-08,859.46452833
1998-09-09,819.97449426
1998-09-10,834.44764664
1998-09-11,824.5460675
1998-09-14,824.01665403
1998-09-15,825.87876842
1998-09-16,816.0943532
1998-09-17,810.6548581
1998-09-18,817.08807399
1998-09-21,797.46011005
1998-09-22,794.68536927
1998-09-23,788.24536096
1998-09-24,808.87975188
1998-09-25,795.75959903
1998-09-28,803.37044254
1998-09-29,815.71774632
1998-09-30,783.82044702
1998-10-01,768.03513823
1998-10-02,785.02026601
1998-10-05,779.56760759
1998-10-06,803.52030568
1998-10-07,891.14021378
1998-10-08,898.24224299
1998-10-09,920.18769385
1998-10-12,930.77490791
1998-10-13,889.68581394
1998-10-14,873.59301267
1998-10-15,881.8085817
1998-10-16,913.1154344
1998-10-19,932.87676624
1998-10-20,927.47570791
1998-10-21,951.72448498
1998-10-22,960.55654501
1998-10-23,944.94939724
1998-10-26,932.55408603
1998-10-27,927.88905821
1998-10-28,917.61246653
1998-10-29,937.02200683
1998-10-30,939.41977083
1998-11-02,976.8137207
1998-11-03,973.38214194
1998-11-04,995.64047696
1998-11-05,983.00781819
1998-11-06,958.39342545
1998-11-09,929.14646564
1998-11-10,914.05177293
1998-11-11,935.65037037
1998-11-12,908.59634328
1998-11-13,927.42214133
1998-11-16,947.59500533
1998-11-17,941.16652573
1998-11-18,940.33180954
1998-11-19,955.29218655
1998-11-20,970.77642426
1998-11-23,964.83895378
1998-11-24,992.00846205
1998-11-25,975.85139416
1998-11-26,982.48407878
1998-11-27,968.77919682
1998-11-30,952.61088336
1998-12-01,965.28129348
1998-12-02,982.80667579
1998-12-03,978.76972514
1998-12-04,975.40924116
1998-12-07,967.72615687
1998-12-08,971.18959171
1998-12-09,992.40052901
1998-12-10,995.60881521
1998-12-11,985.40905156
1998-12-14,988.24210852
1998-12-15,971.33222304
1998-12-16,979.68988466
1998-12-17,976.10711167
1998-12-18,988.36886868
1998-12-21,988.13053871
1998-12-22,962.93757094
1998-12-23,971.24269467
1998-12-24,960.24297755
1998-12-25,968.01825321
1998-12-28,969.56525566
1998-12-29,984.04107678
1998-12-30,983.30645513
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,978.0907311019295
1999-01-05,975.6399257338725
1999-01-06,974.322066346162
1999-01-07,995.1251662751588
1999-01-08,980.1154229825529
1999-01-11,995.6016322490981
1999-01-12,971.7009825687353
1999-01-13,949.523052096125
1999-01-14,959.3986308725486
1999-01-15,955.0586045657335
1999-01-18,948.4518227583594
1999-01-19,949.9402317722676
1999-01-20,955.0490641035893
1999-01-21,962.7865272243566
1999-01-22,943.0255060628691
1999-01-25,947.4867906352821
1999-01-26,959.2899770760819
1999-01-27,952.0963016899152
1999-01-28,947.2104069183388
1999-01-29,953.8156169395618
1999-02-01,961.7194253838377
1999-02-02,973.0716868211554
1999-02-03,958.0087367425643
1999-02-04,957.765051473042
1999-02-05,947.4695190414934
1999-02-08,947.5177447553431
1999-02-09,933.6074543873083
1999-02-10,930.4926392330619
1999-02-11,932.2836136917783
1999-02-12,939.4536530889936
1999-02-15,933.3892245933283
1999-02-16,921.3963213135582
1999-02-17,908.7943770041699
1999-02-18,901.6285731149987
1999-02-19,891.1951595031411
1999-02-22,899.1389242176768
1999-02-23,897.8316211494256
1999-02-24,892.6872709986335
1999-02-25,915.1412616906362
1999-02-26,921.5647165081684
1999-03-01,912.8143088585377
1999-03-02,888.0819610075905
1999-03-03,892.9543007856748
1999-03-04,885.1592511637518
1999-03-05,925.4068095471521
1999-03-08,923.5643896630947
1999-03-09,931.7117945384235
1999-03-10,955.7847321048037
1999-03-11,959.8771716057186
1999-03-12,964.6936943810731
1999-03-15,995.698465123398
1999-03-16,1021.6062215607863
1999-03-17,1029.1890306910457
1999-03-18,1005.229283667491
1999-03-19,1036.4277332519184
1999-03-22,1029.3529912416768
1999-03-23,1024.9217317353712
1999-03-24,1011.6178854970672
1999-03-25,1022.2439508950292
1999-03-26,1016.4972286427897
1999-03-29,1028.6746733384748
1999-03-30,1020.1093359898414
1999-03-31,1044.7059549091844
1999-04-01,1060.027802703676
1999-04-02,1040.1253278214103
1999-04-05,1023.0894416041664
1999-04-06,1053.3383319338109
1999-04-07,1044.6596034688598
