Date,CANADA HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1017.6611001410389
1999-01-05,1038.8706345462879
1999-01-06,1084.6278039275533
1999-01-07,1076.5109692884296
1999-01-08,1081.9906831999986
1999-01-11,1065.811363500465
1999-01-12,1042.4652816064593
1999-01-13,1024.7721945963506
1999-01-14,1020.2217760766687
1999-01-15,1049.5116627538046
1999-01-18,1057.2495864397256
1999-01-19,1039.9713964886053
1999-01-20,1034.7391751407677
1999-01-21,1032.6346841553145
1999-01-22,1022.3060235067508
1999-01-25,1035.8293724880978
1999-01-26,1044.5895289191906
1999-01-27,1047.1546759735372
1999-01-28,1042.449690326445
1999-01-29,1078.43957556532
1999-02-01,1082.5877219429194
1999-02-02,1055.2087094926237
1999-02-03,1062.9553084232136
1999-02-04,1066.217303472516
1999-02-05,1069.7379403702255
1999-02-08,1060.2633146806343
1999-02-09,1036.7965519727888
1999-02-10,1028.8330067952968
1999-02-11,1049.4411112759713
1999-02-12,1036.0404487414444
1999-02-15,1037.3376108802834
1999-02-16,1022.0975570433197
1999-02-17,1016.9565789499612
1999-02-18,1027.6317621786832
1999-02-19,1031.2658647055127
1999-02-22,1060.9399838946442
1999-02-23,1041.1463683733366
1999-02-24,1019.2351321166515
1999-02-25,1022.7221515255121
1999-02-26,1020.31619305784
1999-03-01,1016.1389512916948
1999-03-02,999.6805212048403
1999-03-03,986.69885591319
1999-03-04,1003.827002959743
1999-03-05,1038.5429827854011
1999-03-08,1050.0036954457216
1999-03-09,1043.7455583615974
1999-03-10,1055.5092324908321
1999-03-11,1054.6221779778832
1999-03-12,1056.1610866576336
1999-03-15,1062.7024189584206
1999-03-16,1061.8970346679737
1999-03-17,1062.0267112548256
1999-03-18,1056.967866070372
1999-03-19,1065.6545587830908
1999-03-22,1075.6785503926415
1999-03-23,1072.0126270381963
1999-03-24,1090.1938688663736
1999-03-25,1106.6868268661074
1999-03-26,1117.0707948689208
1999-03-29,1108.3617319938778
1999-03-30,1086.8734057719178
1999-03-31,1082.5292427858653
1999-04-01,1096.9460284358865
1999-04-02,1101.9264871348007
1999-04-05,1132.2334105412497
1999-04-06,1140.2322449704582
1999-04-07,1156.580410160643
1999-04-08,1199.485373997273
1999-04-09,1170.263321597055
1999-04-12,1183.1748411471365
1999-04-13,1181.0886385534977
1999-04-14,1180.2536931198194
1999-04-15,1172.7195098459206
1999-04-16,1160.8737611217198
1999-04-19,1130.096255468607
1999-04-20,1140.8127102677197
1999-04-21,1166.6690593226404
1999-04-22,1172.9175910072086
1999-04-23,1178.7539453571565
1999-04-26,1177.8734169764816
1999-04-27,1172.3641654074306
1999-04-28,1165.4667447402164
1999-04-29,1160.4783319487397
1999-04-30,1144.929346231335
1999-05-03,1151.1694232355412
1999-05-04,1153.7829669580253
1999-05-05,1142.354686076642
1999-05-06,1131.4983887987437
1999-05-07,1135.1998066555495
1999-05-10,1142.5751990641959
1999-05-11,1151.6990270436331
1999-05-12,1147.5831611639296
1999-05-13,1154.330009823674
1999-05-14,1113.144782543714
1999-05-17,1118.1729261285925
1999-05-18,1137.6045454080374
1999-05-19,1150.6405632100684
1999-05-20,1141.0873496736394
1999-05-21,1139.3571047587789
1999-05-24,1142.1747770656632
1999-05-25,1123.5600515718552
1999-05-26,1110.8545138144746
1999-05-27,1103.6208880335878
1999-05-28,1115.8660338148625
1999-05-31,1121.4056606434729
1999-06-01,1118.9310062662526
1999-06-02,1122.4252708046542
1999-06-03,1129.531673094271
1999-06-04,1144.6248495384007
1999-06-07,1155.6135250215154
1999-06-08,1140.4860367926842
1999-06-09,1144.1072238903962
1999-06-10,1136.6116647335275
1999-06-11,1137.4671252670933
1999-06-14,1139.8088015572555
1999-06-15,1137.712246843707
1999-06-16,1156.3328428254893
1999-06-17,1152.8732150634373
1999-06-18,1153.505541531635
1999-06-21,1145.4707450524375
1999-06-22,1138.9433171306355
1999-06-23,1128.0397480805734
1999-06-24,1130.0451738506165
1999-06-25,1144.6835228227162
1999-06-28,1137.0645384501884
1999-06-29,1127.792454185842
1999-06-30,1136.8400194839771
1999-07-01,1145.3521971535188
1999-07-02,1172.0103072991408
1999-07-05,1201.8611048144264
1999-07-06,1189.7485201743623
1999-07-07,1179.2628348920218
1999-07-08,1171.0262891582404
1999-07-09,1177.307683259008
1999-07-12,1167.7321468128887
1999-07-13,1159.6412711887992
1999-07-14,1185.2341937247413
1999-07-15,1195.1701876810532
1999-07-16,1184.5343304937705
1999-07-19,1178.0458331555906
1999-07-20,1163.9915395856299
1999-07-21,1147.7034514561788
1999-07-22,1138.5339520960156
1999-07-23,1133.150983475289
1999-07-26,1116.3240707891146
1999-07-27,1121.0816064590906
1999-07-28,1131.6071089990153
1999-07-29,1121.0428898037003
1999-07-30,1139.1524157687447
1999-08-02,1133.4124712220084
