Date,GERMANY HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0004090335046
1999-01-04,1072.4044343112284
1999-01-05,1084.431780516714
1999-01-06,1116.4723881551442
1999-01-07,1084.9595817562806
1999-01-08,1078.6530422750777
1999-01-11,1050.2175497715775
1999-01-12,1037.2600010022365
1999-01-13,995.129475002498
1999-01-14,991.3388421000824
1999-01-15,993.5662324197895
1999-01-18,1021.0539674925681
1999-01-19,1043.3935304157621
1999-01-20,1051.9204837581033
1999-01-21,1060.1143113004255
1999-01-22,1024.3201018391383
1999-01-25,1005.2239433838643
1999-01-26,1002.237153490345
1999-01-27,1017.4543065298093
1999-01-28,1037.839409323275
1999-01-29,1061.2760464185005
1999-02-01,1059.8105740282062
1999-02-02,1045.5611077734416
1999-02-03,1022.7651466533933
1999-02-04,1029.0536862799493
1999-02-05,1027.5735818155522
1999-02-08,1023.1237203463994
1999-02-09,983.5092698918693
1999-02-10,967.4532342920083
1999-02-11,990.4172707610704
1999-02-12,1007.8033429507472
1999-02-15,993.3822369390812
1999-02-16,997.2439996745367
1999-02-17,981.4182573296742
1999-02-18,1002.7424285411568
1999-02-19,988.3009114082445
1999-02-22,992.5860969584991
1999-02-23,1020.6381405647195
1999-02-24,1019.0626252232489
1999-02-25,1018.2903459570974
1999-02-26,1012.4212128168089
1999-03-01,995.205255736318
1999-03-02,1017.8540305088067
1999-03-03,979.3072529756805
1999-03-04,968.3206588488906
1999-03-05,990.6921263778858
1999-03-08,984.9202187104238
1999-03-09,980.4760402308316
1999-03-10,986.6166593578
1999-03-11,985.1824887930267
1999-03-12,1039.410891512008
1999-03-15,1043.9145030157017
1999-03-16,1053.5667250095516
1999-03-17,1051.042121299839
1999-03-18,1035.715250957587
1999-03-19,1049.517664420588
1999-03-22,1036.2082385661902
1999-03-23,1008.4156459843182
1999-03-24,995.1893049329545
1999-03-25,1010.449853046221
1999-03-26,977.3677147900654
1999-03-29,988.5862548133392
1999-03-30,981.0439587341568
1999-03-31,990.1022439112788
1999-04-01,1004.478982646997
1999-04-02,1002.2491814553466
1999-04-05,996.1636823698011
1999-04-06,1029.4446397584938
1999-04-07,1038.5441554844451
1999-04-08,1048.8886402443286
1999-04-09,1064.5640427079372
1999-04-12,1070.8844846307513
1999-04-13,1076.9221150788244
1999-04-14,1072.2525149943654
1999-04-15,1052.9076502852176
1999-04-16,1043.5013558164173
1999-04-19,1041.3730737339513
1999-04-20,1018.291722565889
1999-04-21,1015.0916214055342
1999-04-22,1015.9106920188387
1999-04-23,1014.7634301482888
1999-04-26,1024.0054462234477
1999-04-27,1062.9575566307751
1999-04-28,1053.9485474753083
1999-04-29,1053.0894765267594
1999-04-30,1051.8805082735914
1999-05-03,1056.4421807378792
1999-05-04,1058.3185920985331
1999-05-05,1042.7135208785962
1999-05-06,1061.1536062873183
1999-05-07,1061.706513706154
1999-05-10,1066.6909328860127
1999-05-11,1069.334076252976
1999-05-12,1050.5006804280656
1999-05-13,1045.9732965989851
1999-05-14,1048.3279139314557
1999-05-17,1023.965971547981
1999-05-18,1025.9715116656866
1999-05-19,1040.7019358227328
1999-05-20,1056.0944845336296
1999-05-21,1048.9132748864752
1999-05-24,1050.652271836929
1999-05-25,1029.6553234320716
