Date,UNITED KINGDOM HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,978.0308366431998
1999-01-05,977.3474010497428
1999-01-06,1015.6285761639591
1999-01-07,1007.030777858269
1999-01-08,1007.8670132829477
1999-01-11,997.9061164911777
1999-01-12,990.2571147991252
1999-01-13,969.8629670569161
1999-01-14,959.1511665030587
1999-01-15,972.1787876360077
1999-01-18,986.6910020133105
1999-01-19,973.0700949533692
1999-01-20,974.5382097130469
1999-01-21,972.093154544118
1999-01-22,951.9997376960205
1999-01-25,954.8019759154427
1999-01-26,956.913471332727
1999-01-27,966.6567118879136
1999-01-28,966.1209514971729
1999-01-29,975.3250427239071
1999-02-01,986.8702249672876
1999-02-02,1000.098025723173
1999-02-03,993.3773698978155
1999-02-04,990.5171542343777
1999-02-05,988.2044644000098
1999-02-08,986.8400394509358
1999-02-09,983.5894572887706
1999-02-10,981.5553152614629
1999-02-11,987.1148381583203
1999-02-12,1000.4964448572123
1999-02-15,1001.5853888171368
1999-02-16,1018.6399216940712
1999-02-17,1012.0859242102342
1999-02-18,1011.4846432018459
1999-02-19,1000.1287967030153
1999-02-22,996.927697198497
1999-02-23,1005.718630932504
1999-02-24,1025.1953742717858
1999-02-25,1025.4906130652935
1999-02-26,1035.6039505530987
1999-03-01,1030.698370557706
1999-03-02,1036.4564288081892
1999-03-03,1036.2659308060488
1999-03-04,1032.450439035961
1999-03-05,1054.3669270272842
1999-03-08,1053.5449821377024
1999-03-09,1064.0465494985797
1999-03-10,1078.2248446509213
1999-03-11,1083.7651695040595
1999-03-12,1098.681049598748
1999-03-15,1079.901403746367
1999-03-16,1088.5604560816723
1999-03-17,1080.0792054571464
1999-03-18,1079.3340071979612
1999-03-19,1088.8269639940333
1999-03-22,1082.0442862574173
1999-03-23,1076.0543003984617
1999-03-24,1081.2612791488068
1999-03-25,1087.4426955380325
1999-03-26,1081.9428653717803
1999-03-29,1086.0620629363864
1999-03-30,1082.6263279702862
1999-03-31,1092.4924479965866
1999-04-01,1089.1874477672309
1999-04-02,1088.440964158169
1999-04-05,1086.608686208654
1999-04-06,1092.156740409028
1999-04-07,1119.2076599827071
1999-04-08,1129.121777323994
1999-04-09,1141.631856018791
1999-04-12,1137.003667799686
1999-04-13,1150.9417765129742
1999-04-14,1159.7716587539444
1999-04-15,1175.0184497037687
1999-04-16,1191.0126510071443
1999-04-19,1206.5617283605723
1999-04-20,1187.110246941949
1999-04-21,1179.356477376545
1999-04-22,1189.9939739544357
1999-04-23,1197.720022892895
1999-04-26,1199.3371019652143
1999-04-27,1210.6391336255692
1999-04-28,1209.4481038798501
1999-04-29,1200.4575148749577
1999-04-30,1214.8649092869625
1999-05-03,1214.8649092869625
1999-05-04,1217.275012113747
1999-05-05,1213.3313130667912
1999-05-06,1216.3698487108993
1999-05-07,1200.3616828608087
1999-05-10,1183.7727939475153
1999-05-11,1181.6560235308239
1999-05-12,1180.7743568610338
1999-05-13,1185.7418394996303
1999-05-14,1157.0773396696388
1999-05-17,1139.1913130923344
1999-05-18,1144.161378402862
1999-05-19,1147.642286223356
1999-05-20,1147.8627491179757
1999-05-21,1133.7918155212851
1999-05-24,1133.3654791490658
1999-05-25,1119.7978711896217
1999-05-26,1127.7167072250643
1999-05-27,1122.1974026279186
1999-05-28,1129.7083937184536
1999-05-31,1130.3076524145724
1999-06-01,1144.9625749591055
1999-06-02,1157.1167485269282
1999-06-03,1165.4385483181172
1999-06-04,1173.0507162983456
1999-06-07,1184.9384984055691
1999-06-08,1182.6904209050922
1999-06-09,1182.4535737017306
1999-06-10,1181.1910796493025
1999-06-11,1209.1160178738862
1999-06-14,1201.7461208175787
1999-06-15,1187.9007649824746
1999-06-16,1201.4615093224
1999-06-17,1204.4826626332656
1999-06-18,1213.847432961002
1999-06-21,1227.144013775574
1999-06-22,1219.6754184765907
1999-06-23,1202.8668370712871
1999-06-24,1196.2913073178383
1999-06-25,1198.2892419888192
1999-06-28,1195.5496201236265
1999-06-29,1177.3774800985248
1999-06-30,1173.9611290163086
1999-07-01,1202.199128933142
1999-07-02,1217.4907714398314
1999-07-05,1237.5242903387993
1999-07-06,1243.3701657009856
1999-07-07,1240.4724014692806
1999-07-08,1233.363401423654
1999-07-09,1229.172691116642
1999-07-12,1226.3175615303544
1999-07-13,1198.0824553999907
1999-07-14,1198.1784923518308
1999-07-15,1214.4182474497725
1999-07-16,1204.788341085387
1999-07-19,1189.7651789768893
1999-07-20,1186.4598726528093
1999-07-21,1183.7173939220988
1999-07-22,1184.413468000855
1999-07-23,1158.8902937236112
1999-07-26,1172.4218042570303
1999-07-27,1176.0722818370466
1999-07-28,1174.8412871469047
1999-07-29,1176.0647888703745
1999-07-30,1201.5217913574033
1999-08-02,1214.9102315429338
1999-08-03,1215.4241290409996
