Date,AUSTRALIA HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0
1999-01-04,1007.3882190440464
1999-01-05,1008.8453566958872
1999-01-06,1039.2427131069996
1999-01-07,1067.7082161437272
1999-01-08,1049.1821947337476
1999-01-11,1065.552668235953
1999-01-12,1082.1655896762395
1999-01-13,1057.1021332315092
1999-01-14,1047.1788293314016
1999-01-15,1045.7279421445928
1999-01-18,1051.5212609724877
1999-01-19,1070.2349999054975
1999-01-20,1079.6195219840113
1999-01-21,1073.3140572980103
1999-01-22,1057.4195572646393
1999-01-25,1040.8118904982198
1999-01-26,1038.5053821536253
1999-01-27,1038.9615284654178
1999-01-28,1049.7622573883314
1999-01-29,1049.5014200518685
1999-02-01,1063.7589905419165
1999-02-02,1060.7209113529782
1999-02-03,1065.5134721462316
1999-02-04,1077.5405257531393
1999-02-05,1088.311421069748
1999-02-08,1077.9654890643728
1999-02-09,1075.3464827853013
1999-02-10,1055.2038467688
1999-02-11,1066.0735193760268
1999-02-12,1071.6247542939238
1999-02-15,1069.7594301771994
1999-02-16,1050.818665408415
1999-02-17,1046.7045286362045
1999-02-18,1048.9147611702333
1999-02-19,1071.8364516993718
1999-02-22,1073.93128116979
1999-02-23,1083.2845933758347
1999-02-24,1085.6247708202661
1999-02-25,1068.64779200876
1999-02-26,1044.407275579061
1999-03-01,1045.5438586362327
1999-03-02,1039.6455601003909
1999-03-03,1045.3910035813233
1999-03-04,1037.7393274629299
1999-03-05,1057.640884031812
1999-03-08,1075.3990975694308
1999-03-09,1083.5392629110613
1999-03-10,1091.5157775548275
1999-03-11,1100.439547703994
1999-03-12,1108.974416737714
1999-03-15,1114.0148210524594
1999-03-16,1100.2327288455117
1999-03-17,1100.2421501970512
1999-03-18,1109.1025511855826
1999-03-19,1119.305250286516
1999-03-22,1129.5125473833918
1999-03-23,1143.4361356541715
1999-03-24,1146.213912463051
1999-03-25,1154.70283790327
1999-03-26,1158.3975861586728
1999-03-29,1139.4114164472514
1999-03-30,1143.5853649629616
1999-03-31,1135.2118858046479
1999-04-01,1148.8683664438768
1999-04-02,1143.1010454420405
1999-04-05,1140.2173849411224
1999-04-06,1142.0820704084256
1999-04-07,1133.1402000856908
1999-04-08,1128.611732900637
1999-04-09,1145.1251681891615
1999-04-12,1153.165988837751
1999-04-13,1175.9401890190338
1999-04-14,1195.1612398605405
1999-04-15,1208.3164011954423
1999-04-16,1252.0405299067552
1999-04-19,1265.6838080778534
1999-04-20,1247.1051332680374
1999-04-21,1230.4566136861317
1999-04-22,1262.549087497196
1999-04-23,1259.6817890568122
1999-04-26,1252.7734834161286
1999-04-27,1267.0907015637827
1999-04-28,1264.1306619660443
1999-04-29,1283.7652035671815
1999-04-30,1294.3831497094827
1999-05-03,1282.3866455804723
1999-05-04,1290.9773019660556
1999-05-05,1262.5565109151917
1999-05-06,1278.8292966516997
1999-05-07,1242.835072558053
1999-05-10,1236.025633286912
1999-05-11,1232.0557389318997
1999-05-12,1229.5874131346268
1999-05-13,1242.9029102758336
1999-05-14,1245.544565334089
1999-05-17,1216.518166810451
1999-05-18,1234.4715534403074
1999-05-19,1210.5990283605997
1999-05-20,1201.0525660160217
1999-05-21,1204.4640800439977
1999-05-24,1197.7777881234363
1999-05-25,1166.8897149498612
1999-05-26,1150.7308442854671
1999-05-27,1144.1053203285583
1999-05-28,1146.3567176860847
1999-05-31,1146.3655956571636
1999-06-01,1145.4043788833576
1999-06-02,1153.080800372074
1999-06-03,1163.2032148853928
1999-06-04,1178.7643351711745
1999-06-07,1194.304525753947
1999-06-08,1199.3790530514264
1999-06-09,1209.6676992301443
1999-06-10,1213.046619495627
1999-06-11,1212.9439214089057
1999-06-14,1209.9359444489226
1999-06-15,1193.250912195409
1999-06-16,1186.4894024711207
1999-06-17,1204.8710567512767
1999-06-18,1201.6677703493926
1999-06-21,1192.8586860942971
1999-06-22,1193.3770301357497
1999-06-23,1191.8631389335517
1999-06-24,1182.5499351422525
1999-06-25,1189.6296190232745
1999-06-28,1202.3999616524884
1999-06-29,1205.0581138855034
1999-06-30,1198.9711138943403
1999-07-01,1223.7695618162402
1999-07-02,1238.7724659946996
1999-07-05,1250.6317917736378
1999-07-06,1247.521085765733
1999-07-07,1239.7271312355088
1999-07-08,1249.4620947902822
1999-07-09,1235.226764593206
1999-07-12,1222.7436377496365
1999-07-13,1220.561466761926
1999-07-14,1219.2531573276956
1999-07-15,1231.3465106052945
1999-07-16,1227.6915551085438
1999-07-19,1216.502921118313
1999-07-20,1224.4983144642497
1999-07-21,1218.3447162975085
1999-07-22,1205.6501358079643
1999-07-23,1197.3070558377642
1999-07-26,1185.4830749871924
1999-07-27,1183.9214241633324
1999-07-28,1185.995857914554
1999-07-29,1187.445568054107
1999-07-30,1177.1863523207212
1999-08-02,1172.6103579443918
