Date,FRANCE HIGH DIVIDEND YIELD
1998-12-31,1000.0
1999-01-01,1000.0038645825871
1999-01-04,1052.769722911846
1999-01-05,1067.0834248490974
1999-01-06,1093.5027482732048
1999-01-07,1086.6640667106178
1999-01-08,1084.3177370870262
1999-01-11,1073.5043161342835
1999-01-12,1058.8520394817845
1999-01-13,1025.8559119740166
1999-01-14,1016.4405325204916
1999-01-15,1012.0955994123564
1999-01-18,1034.7732744225978
1999-01-19,1027.6137788269068
1999-01-20,1030.643579795187
1999-01-21,1021.9785168828707
1999-01-22,994.7953254604813
1999-01-25,1003.0257858524816
1999-01-26,1001.7485130151765
1999-01-27,1003.1270200244404
1999-01-28,1030.9013893960905
1999-01-29,1017.9804798597216
1999-02-01,1037.2359378409217
1999-02-02,1036.2524609288218
1999-02-03,1025.8454056438452
1999-02-04,1023.2452873677707
1999-02-05,1038.5330046164593
1999-02-08,1057.8570008528347
1999-02-09,1041.5374203214258
1999-02-10,1018.260941923447
1999-02-11,1021.9528181254004
1999-02-12,1008.6545706902099
1999-02-15,1010.871476462683
1999-02-16,1010.5074180169025
1999-02-17,1006.3757078223881
1999-02-18,997.8385528415879
1999-02-19,993.8987494039206
1999-02-22,988.659987790643
1999-02-23,997.050103776844
1999-02-24,989.1086620375397
1999-02-25,996.3104576282248
1999-02-26,984.1604024475055
1999-03-01,977.5717210511798
1999-03-02,984.8156525840334
1999-03-03,979.7887496797568
1999-03-04,1002.8597105577293
1999-03-05,1035.3327826339314
1999-03-08,1035.6041077177952
1999-03-09,1037.7198289463724
1999-03-10,1050.407420755514
1999-03-11,1082.3161790708953
1999-03-12,1086.2006156274017
1999-03-15,1086.7067483403491
1999-03-16,1096.7093482616508
1999-03-17,1113.6116316256835
1999-03-18,1123.6197345501892
1999-03-19,1132.4843968328737
1999-03-22,1120.1779497639536
1999-03-23,1095.6729656078815
1999-03-24,1097.0530120459052
1999-03-25,1109.6812992781504
1999-03-26,1110.368922293112
1999-03-29,1127.9402795478493
1999-03-30,1136.9247310013525
1999-03-31,1127.8491179861521
1999-04-01,1115.472988322091
1999-04-02,1112.9967961452667
1999-04-05,1106.2388549960185
1999-04-06,1129.959808440071
1999-04-07,1128.6041558683182
1999-04-08,1120.0510607678636
1999-04-09,1116.9876471168352
1999-04-12,1136.433321691989
1999-04-13,1136.8694147402941
1999-04-14,1137.8491593070157
1999-04-15,1137.2715043886144
1999-04-16,1143.9156774207358
1999-04-19,1174.141203318043
1999-04-20,1150.6270676066192
1999-04-21,1148.3049031791288
1999-04-22,1139.9914482787315
1999-04-23,1138.6388952938985
1999-04-26,1147.5175916175626
1999-04-27,1179.7164791466375
1999-04-28,1179.6876608335276
1999-04-29,1194.064069015708
1999-04-30,1213.8878545514501
1999-05-03,1219.0821856272598
1999-05-04,1244.1232425416392
1999-05-05,1217.534107094843
1999-05-06,1225.193982697196
1999-05-07,1211.1552528826974
1999-05-10,1222.5763916255542
1999-05-11,1212.9065547371304
1999-05-12,1206.8418915677437
1999-05-13,1213.4239494637122
1999-05-14,1202.4257446140223
1999-05-17,1169.2912838001107
1999-05-18,1180.8222509973095
1999-05-19,1193.161378526363
1999-05-20,1205.7509482445598
1999-05-21,1202.6786915016824
1999-05-24,1204.6726166687783
1999-05-25,1202.320584374258
1999-05-26,1180.2392443003716
1999-05-27,1164.4643169569626
1999-05-28,1163.9758267484501
1999-05-31,1169.1413386628644
1999-06-01,1173.1171589496228
1999-06-02,1158.601723805933
1999-06-03,1170.220183882817
1999-06-04,1166.1698472449427
1999-06-07,1178.2844754682642
1999-06-08,1201.6531891153393
1999-06-09,1207.237140593572
1999-06-10,1212.3849911411023
