Date,USA ESG LEADERS SELECT SUSTAINABILITY
2019-11-26,1000.0
2019-11-27,1004.3641762985078
2019-11-28,1004.3641762985078
2019-11-29,1000.5327809344803
2019-12-02,990.6406340210829
2019-12-03,985.2856343859913
2019-12-04,991.5250163914986
2019-12-05,994.7038878564107
2019-12-06,1003.5936760904827
2019-12-09,1000.0885057501747
2019-12-10,999.5253099802885
2019-12-11,1002.3854648498833
2019-12-12,1010.2581198985425
2019-12-13,1012.949778239221
2019-12-16,1020.1082657802968
2019-12-17,1019.5481445927921
2019-12-18,1018.064999638797
2019-12-19,1022.5086308309197
2019-12-20,1027.7329081501368
2019-12-23,1028.8388770945874
2019-12-24,1029.049077319018
2019-12-25,1029.049077319018
2019-12-26,1034.2995270805789
2019-12-27,1034.7280868034409
2019-12-30,1029.336045128825
2019-12-31,1032.2971066945186
2020-01-01,1032.2971066945186
2020-01-02,1041.4128548029692
2020-01-03,1033.8765727894672
2020-01-06,1038.1266211814348
2020-01-07,1035.319907424818
2020-01-08,1043.812319632761
2020-01-09,1052.5279217265595
2020-01-10,1050.8674760182444
2020-01-13,1061.265446514717
2020-01-14,1058.3031958865536
2020-01-15,1060.5360730264852
2020-01-16,1070.9045954371368
2020-01-17,1077.1175331395536
2020-01-20,1077.1175331395536
2020-01-21,1074.3036682416237
2020-01-22,1076.0512856570183
2020-01-23,1077.614644283596
2020-01-24,1068.1271489065111
2020-01-27,1051.340265056588
2020-01-28,1064.4307003937688
2020-01-29,1066.2117971356272
2020-01-30,1071.334929238772
2020-01-31,1047.955574140996
2020-02-03,1059.8145299094833
2020-02-04,1078.762342745068
2020-02-05,1087.1393352258924
2020-02-06,1092.7279532421867
2020-02-07,1086.1614399050811
2020-02-10,1096.3536852434243
2020-02-11,1096.89270572546
2020-02-12,1104.754738656653
2020-02-13,1103.6623587532972
2020-02-14,1108.9810105747358
2020-02-17,1108.9810105747358
2020-02-18,1105.171070247694
2020-02-19,1111.7929020475237
2020-02-20,1107.7745828200366
2020-02-21,1094.1054810898465
2020-02-24,1056.7985965739433
2020-02-25,1025.6834921646325
2020-02-26,1025.2122818226803
2020-02-27,977.2166886555536
2020-02-28,971.5010412628347
2020-03-02,1020.7253222833191
2020-03-03,993.52940143431
2020-03-04,1034.9727340033269
2020-03-05,999.7464094643041
2020-03-06,983.1426278751278
2020-03-09,911.6808471697485
2020-03-10,957.6816071551862
2020-03-11,912.0958517754332
2020-03-12,828.0709669477113
2020-03-13,906.3854468545009
2020-03-16,796.3006793213387
2020-03-17,843.2201677300998
