Date,USA ESG SELECT
2010-08-31,100.0
2010-09-01,102.91254124776515
2010-09-02,103.93900193652482
2010-09-03,105.21262756876595
2010-09-06,105.21262756876595
2010-09-07,103.9810287905646
2010-09-08,104.50159350234185
2010-09-09,104.9730301003864
2010-09-10,105.40998944305898
2010-09-13,106.73136830753472
2010-09-14,106.75494151897963
2010-09-15,107.09972148713811
2010-09-16,107.1495758604445
2010-09-17,107.2885058746377
2010-09-20,108.91025557744248
2010-09-21,108.61556495071905
2010-09-22,108.02979705186314
2010-09-23,107.10481393078203
2010-09-24,109.43207288437684
2010-09-27,108.92951103320233
2010-09-28,109.57039590039363
2010-09-29,109.4107167524951
2010-09-30,109.04394698704445
2010-10-01,109.51838220065513
2010-10-04,108.64313641192521
2010-10-05,110.77104340428593
2010-10-06,110.68350266986444
2010-10-07,110.56100604783916
2010-10-08,111.31932668719999
2010-10-11,111.32640493228446
2010-10-12,111.90015137665347
2010-10-13,112.77287584158731
2010-10-14,112.5207220205183
2010-10-15,112.85454181918772
2010-10-18,113.56203915430395
2010-10-19,111.87670327395338
2010-10-20,113.12528220930614
2010-10-21,113.34840624969031
2010-10-22,113.89702897824921
2010-10-25,114.18555808466657
2010-10-26,114.04950683303957
2010-10-27,113.86694007663253
2010-10-28,114.04764233071401
2010-10-29,114.20187745503304
2010-11-01,114.37386920065202
2010-11-02,115.1526555348775
2010-11-03,115.58239650477898
2010-11-04,117.76779048307152
2010-11-05,118.37263165344099
2010-11-08,118.11613309277607
2010-11-09,117.20671016642497
2010-11-10,117.68084660333348
2010-11-11,117.04088884453509
2010-11-12,115.70841063989126
2010-11-15,115.73136668182784
2010-11-16,113.88745823421101
2010-11-17,114.07824196299242
2010-11-18,115.77298912465913
2010-11-19,116.20576110427938
2010-11-22,116.1849247664034
2010-11-23,114.59627884353337
2010-11-24,116.33072579344181
2010-11-25,116.33072579344181
2010-11-26,115.50336179360016
2010-11-29,115.1863842564032
2010-11-30,114.40684023293562
2010-12-01,116.7823341101651
2010-12-02,118.36272481911455
2010-12-03,118.61109412613803
2010-12-06,118.50965007466722
2010-12-07,118.57746911588688
2010-12-08,118.90822933463978
2010-12-09,119.22885347713859
2010-12-10,119.86537270127549
2010-12-13,119.68665154779931
2010-12-14,119.90895762209593
2010-12-15,119.31175525797963
2010-12-16,120.27129908588778
2010-12-17,120.63391090106518
2010-12-20,120.8997199708766
2010-12-21,121.62714365765545
2010-12-22,121.72386637170642
2010-12-23,121.46349975338293
2010-12-24,121.46349975338293
2010-12-27,121.39564719747851
2010-12-28,121.47112268488667
2010-12-29,121.5813650632288
2010-12-30,121.38206923334194
2010-12-31,121.32000912881709
2011-01-03,122.57679920889849
2011-01-04,122.20206548446613
2011-01-05,122.7521665526623
2011-01-06,122.4334427854422
2011-01-07,122.26514769614933
2011-01-10,122.29006694326425
2011-01-11,122.69494308187839
2011-01-12,123.85173533248687
2011-01-13,123.60246812629669
2011-01-14,124.34192037269955
2011-01-17,124.34192037269955
2011-01-18,124.70217277403754
2011-01-19,123.56646899803371
2011-01-20,123.36027440085526
2011-01-21,123.43507605330521
2011-01-24,124.14485972347732
2011-01-25,124.23496251624708
2011-01-26,124.38239856029995
2011-01-27,124.53081220909927
2011-01-28,122.19866291319966
2011-01-31,123.18924891440736
2011-02-01,124.98987527444562
2011-02-02,124.62340598216953
2011-02-03,125.19278488539227
2011-02-04,125.87720244606177
2011-02-07,126.4521658445614
2011-02-08,126.8432490718
2011-02-09,126.47761251961813
2011-02-10,126.61318391550132
2011-02-11,127.34468017520251
2011-02-14,127.50746936014272
2011-02-15,126.92906630179924
2011-02-16,128.08313948887158
2011-02-17,128.41063912524908
2011-02-18,128.80307055287474
2011-02-21,128.80307055287474
2011-02-22,126.14235348055533
2011-02-23,125.05157899734162
2011-02-24,125.06891993029012
2011-02-25,126.63498961992121
2011-02-28,127.45598151492987
2011-03-01,125.25590065412416
2011-03-02,125.5240073584537
2011-03-03,127.65232678848935
2011-03-04,126.85592896952866
2011-03-07,125.62094528434376
2011-03-08,126.70225296245545
2011-03-09,126.63477206132819
2011-03-10,124.74474842020211
2011-03-11,125.36826708155913
2011-03-14,124.50392643616124
2011-03-15,122.96860175015513
2011-03-16,120.80707516331667
2011-03-17,122.15183923654249
2011-03-18,122.6922515583542
2011-03-21,124.49958865638077
2011-03-22,124.0179692211173
2011-03-23,124.43819015923644
2011-03-24,125.77222543084625
2011-03-25,126.21675262258749
2011-03-28,125.61273534789372
2011-03-29,126.40108157396492
2011-03-30,127.10595910754262
2011-03-31,127.00765962679529
2011-04-01,127.72129757480545
2011-04-04,127.73750389040207
2011-04-05,127.65031243525905
2011-04-06,128.0991867600342
2011-04-07,127.8162429235811
2011-04-08,127.24188343042694
2011-04-11,126.99653548020046
2011-04-12,126.1533488293936
2011-04-13,126.47159168999033
2011-04-14,126.44879523152429
2011-04-15,127.00500255802858
2011-04-18,125.57030452043028
2011-04-19,126.22790262984863
2011-04-20,128.20547082301135
2011-04-21,128.72947248049863
2011-04-22,128.72947248049863
2011-04-25,128.46136664380666
2011-04-26,129.9378682906196
2011-04-27,130.77875348878078
2011-04-28,131.14605752529064
2011-04-29,131.1849039282417
2011-05-02,131.0408346470612
2011-05-03,130.45445145872176
2011-05-04,129.7457219957967
2011-05-05,128.9803756259253
2011-05-06,129.46000716340774
2011-05-09,130.14523721487473
2011-05-10,131.25861462105993
2011-05-11,130.04045415861108
2011-05-12,130.91530355275336
2011-05-13,129.92340097755724
2011-05-16,129.13796050527463
2011-05-17,128.80728032260174
