Date,HONG KONG ESG LEADERS
2010-08-31,1000.0
2010-09-01,1005.4892233998219
2010-09-02,1008.2292654298542
2010-09-03,1005.1487311505947
2010-09-06,1028.4830416276448
2010-09-07,1034.8383651192532
2010-09-08,1026.6485903595365
2010-09-09,1035.655375082045
2010-09-10,1046.927587025277
2010-09-13,1057.9724507243084
2010-09-14,1052.285903717969
2010-09-15,1057.9908300146174
2010-09-16,1059.0693014710885
2010-09-17,1068.738964236803
2010-09-20,1071.0997165226072
2010-09-21,1066.8390215651489
2010-09-22,1074.0893010479
2010-09-23,1073.9508723152364
2010-09-24,1081.2829654126492
2010-09-27,1091.5927126914662
2010-09-28,1084.3790438623662
2010-09-29,1089.9952948119817
2010-09-30,1089.1373511586846
2010-10-01,1089.811183300049
2010-10-04,1092.5409703621178
2010-10-05,1098.3263764490848
2010-10-06,1101.4327641417983
2010-10-07,1107.39254362482
2010-10-08,1109.1503536924604
2010-10-11,1122.5816013399285
2010-10-12,1121.5452054421198
2010-10-13,1136.122943711945
2010-10-14,1143.3872676499054
2010-10-15,1142.3713533458563
2010-10-18,1130.9906354132136
2010-10-19,1141.581230871902
2010-10-20,1137.2950144018284
2010-10-21,1138.5921347317171
2010-10-22,1130.5267514249713
2010-10-25,1148.1783834953344
2010-10-26,1135.785665679811
2010-10-27,1113.63293899733
2010-10-28,1114.7057515303845
2010-10-29,1108.6102889761978
2010-11-01,1135.29037685411
2010-11-02,1132.6028420388297
2010-11-03,1146.370368244734
2010-11-04,1158.8380196733103
2010-11-05,1170.3686224239834
2010-11-08,1182.959342704167
2010-11-09,1175.1367817923792
2010-11-10,1177.5025431902798
2010-11-11,1171.5896346781346
2010-11-12,1170.113929751154
2010-11-15,1165.2843839183727
2010-11-16,1157.0419833876147
2010-11-17,1141.5876617792671
2010-11-18,1161.664073624377
2010-11-19,1162.3704826698997
2010-11-22,1160.9012050099614
2010-11-23,1138.02041505
2010-11-24,1147.1875425768012
2010-11-25,1147.7895954649912
2010-11-26,1140.5155580399237
2010-11-29,1161.8415046394136
2010-11-30,1159.7639955502948
2010-12-01,1166.9818631514956
2010-12-02,1170.1356750007967
2010-12-03,1165.0100046878702
2010-12-06,1158.82092592682
2010-12-07,1164.3105517047286
2010-12-08,1154.4751364903157
2010-12-09,1156.8852823580312
2010-12-10,1157.4957255108245
2010-12-13,1162.3352969927482
2010-12-14,1166.8986485749404
2010-12-15,1146.80587073428
2010-12-16,1131.2403014204613
2010-12-17,1138.70114599931
2010-12-20,1135.0961753955019
2010-12-21,1147.5102214365268
2010-12-22,1143.06339395354
2010-12-23,1136.3990270106913
2010-12-24,1139.018971250509
2010-12-27,1138.7335578614136
2010-12-28,1130.6374254786606
2010-12-29,1144.1308187334985
2010-12-30,1144.724622449642
2010-12-31,1134.6736704111736
2011-01-03,1156.4067278696457
2011-01-04,1174.6139503088955
2011-01-05,1177.1052514620696
2011-01-06,1170.8621723892384
2011-01-07,1170.0582632796456
2011-01-10,1159.7378494023792
2011-01-11,1161.4414155775057
2011-01-12,1171.8189416129637
2011-01-13,1174.5365802668002
2011-01-14,1172.261507833935
2011-01-17,1166.6848246913507
2011-01-18,1169.2329827027538
2011-01-19,1179.4639187287396
2011-01-20,1168.03270916887
2011-01-21,1165.6345469681874
2011-01-24,1164.6908386127225
2011-01-25,1159.469186227888
2011-01-26,1158.9933121262784
2011-01-27,1156.4170256577538
2011-01-28,1157.1375529025238
2011-01-31,1148.684136378741
2011-02-01,1149.4453412762969
2011-02-02,1168.929984612728
2011-02-03,1169.1026522661657
2011-02-04,1168.9449971665517
2011-02-07,1157.9610259268552
2011-02-08,1152.5134589246275
2011-02-09,1139.284463995861
2011-02-10,1111.970823675435
