Date,JAPAN ESG LEADERS
2007-09-28,1000.0
2007-10-01,995.584978737705
2007-10-02,1010.9840266225912
2007-10-03,1016.6932835516675
2007-10-04,1014.5177818269988
2007-10-05,1011.1105445700287
2007-10-08,1003.542802454599
2007-10-09,1011.8643346314293
2007-10-10,1012.3361064066727
2007-10-11,1020.2305407059023
2007-10-12,1011.5302986596583
2007-10-15,1009.537598208163
2007-10-16,998.100905045346
2007-10-17,982.8068893002555
2007-10-18,1000.4752134686579
2007-10-19,989.7384763411604
2007-10-22,979.5227843144836
2007-10-23,977.3555518948193
2007-10-24,980.5419306941451
2007-10-25,968.5985425111584
2007-10-26,988.4395616429066
2007-10-29,1004.9926662141346
2007-10-30,1001.3102309123601
2007-10-31,1004.7204470847655
2007-11-01,1019.6515355723267
2007-11-02,999.4782640179322
2007-11-05,986.9017696616386
2007-11-06,987.025389273775
2007-11-07,985.7329256749936
2007-11-08,967.443937444807
2007-11-09,968.1053258856048
2007-11-12,955.9366682584499
2007-11-13,947.2236893985624
2007-11-14,964.5137877817193
2007-11-15,966.3618240524265
2007-11-16,951.2184573599859
2007-11-19,948.6737291331857
2007-11-20,959.4752471272907
2007-11-21,953.2348262833603
2007-11-22,952.5951590005445
2007-11-23,957.1580518773318
2007-11-26,974.6807457506527
2007-11-27,980.056672822969
2007-11-28,965.391833808965
2007-11-29,994.6909184714713
2007-11-30,993.5383161259573
2007-12-03,997.1664022561267
2007-12-04,996.2354917694838
2007-12-05,993.548928036759
2007-12-06,1007.6480008930832
2007-12-07,1009.411707088809
2007-12-10,1007.6738570154716
2007-12-11,1013.9163543062899
2007-12-12,999.879813142199
2007-12-13,976.3404470105866
2007-12-14,958.003160167448
2007-12-17,941.3461814911417
2007-12-18,938.5926313752324
2007-12-19,929.4725336903997
2007-12-20,934.411773850863
2007-12-21,937.1866343235755
2007-12-24,933.3354630175027
2007-12-25,951.701815665353
2007-12-26,960.997698937904
2007-12-27,955.2425705581551
2007-12-28,949.7422771969417
2007-12-31,961.6443421665134
2008-01-01,961.6443421665134
2008-01-02,978.8173448602072
2008-01-03,980.9624041011007
2008-01-04,949.4961868878579
2008-01-07,932.0012513352104
2008-01-08,930.5709864134185
2008-01-09,944.6827216497873
2008-01-10,930.0902167443746
2008-01-11,918.6606560762222
2008-01-14,927.2514367126464
2008-01-15,922.1558524870452
2008-01-16,887.6155626495167
2008-01-17,901.1257952968732
2008-01-18,907.7901088749957
2008-01-21,884.8230346891557
2008-01-22,827.5036112078924
