Date,AC FAR EAST ex JAPAN SMALL VALUE
1998-12-31,289.3824662107302
1999-01-01,289.38831376880313
1999-01-04,294.2321849907602
1999-01-05,297.4588317049523
1999-01-06,308.7417403896851
1999-01-07,315.4299067937293
1999-01-08,320.3429691772993
1999-01-11,326.17565340678266
1999-01-12,327.9181327203113
1999-01-13,318.5563485014563
1999-01-14,309.0439891800844
1999-01-15,316.5248333373902
1999-01-18,318.1524804336292
1999-01-19,314.5247692627257
1999-01-20,312.8915351137443
1999-01-21,302.32578085945715
1999-01-22,291.9370567008985
1999-01-25,280.91328163257816
1999-01-26,280.04992620587876
1999-01-27,289.9924309247346
1999-01-28,291.0785123400196
1999-01-29,292.894999546065
1999-02-01,294.9225628012646
1999-02-02,289.9270469217938
1999-02-03,285.4586593613197
1999-02-04,284.2170513108279
1999-02-05,281.4626641977904
1999-02-08,282.21248851886867
1999-02-09,274.5012703956968
1999-02-10,275.99536339852017
1999-02-11,280.45619075939624
1999-02-12,285.9614747478082
1999-02-15,288.00383596254846
1999-02-16,289.0662689152045
1999-02-17,287.2107479692798
1999-02-18,284.1989883241069
1999-02-19,282.9577489072296
1999-02-22,282.2050591789377
1999-02-23,281.45929496224295
1999-02-24,280.0519512512707
1999-02-25,277.5655245647387
1999-02-26,285.5741285778513
1999-03-01,288.4070108607404
1999-03-02,288.59082935635945
1999-03-03,288.0364121438473
1999-03-04,290.76019907928907
1999-03-05,292.34386754231195
1999-03-08,296.1785013209435
1999-03-09,295.8874204839115
1999-03-10,296.93312432601084
1999-03-11,302.80604720201
1999-03-12,302.4035421123772
1999-03-15,305.4637822657936
1999-03-16,306.7653881488896
1999-03-17,303.71101865357235
1999-03-18,302.5240189736662
1999-03-19,310.87875162182127
1999-03-22,313.4650440746953
1999-03-23,316.20193272449876
1999-03-24,315.2514022558219
1999-03-25,319.38268382713557
1999-03-26,323.0468908097699
1999-03-29,320.9825554017072
1999-03-30,322.54512067732026
1999-03-31,322.6792977381258
1999-04-01,326.45943526652127
1999-04-02,330.4262389018877
