Date,ACWI ex EMU SMALL VALUE
2007-05-31,1000.0
2007-06-01,1008.5186581552831
2007-06-04,1006.9310489296632
2007-06-05,998.7393026934402
2007-06-06,992.3670302134594
2007-06-07,980.2886440027444
2007-06-08,988.5407989135643
2007-06-11,990.4349507354001
2007-06-12,984.5366298579962
2007-06-13,990.1858139880635
2007-06-14,995.8903136251871
2007-06-15,1001.2650691757824
2007-06-18,999.178524700387
2007-06-19,998.6772120262924
2007-06-20,991.3847707248157
2007-06-21,992.7240608763683
2007-06-22,985.613728769196
2007-06-25,978.1434717380301
2007-06-26,975.3172512633105
2007-06-27,979.960876763455
2007-06-28,983.7372638211673
2007-06-29,980.3643458114773
2007-07-02,982.4605119356394
2007-07-03,988.0399916497754
2007-07-04,988.9327772227704
2007-07-05,991.3140605500549
2007-07-06,991.121843962656
2007-07-09,993.733629035344
2007-07-10,978.1443098337573
2007-07-11,974.6544665519514
2007-07-12,985.7280651310717
2007-07-13,990.123746316754
2007-07-16,986.9462804194286
2007-07-17,985.844535294756
2007-07-18,980.6486707376645
2007-07-19,985.5319581460003
2007-07-20,977.9201213907488
2007-07-23,977.3993284861459
2007-07-24,961.7128647185165
2007-07-25,967.0627202427905
2007-07-26,945.1341178315618
2007-07-27,932.1945287230557
2007-07-30,936.0413729599828
2007-07-31,935.6934825301265
2007-08-01,929.14192374071
2007-08-02,932.6201793831955
2007-08-03,909.3090529526162
2007-08-06,910.00935454666
2007-08-07,914.1641721473527
2007-08-08,924.2027402482076
2007-08-09,918.3833822881666
2007-08-10,913.4618873840991
2007-08-13,917.9188753420266
2007-08-14,905.0893766622206
2007-08-15,895.3113354379801
2007-08-16,894.3265312790803
2007-08-17,895.7913528679386
2007-08-20,906.8002575654601
2007-08-21,909.5445965101206
2007-08-22,919.4282026925474
2007-08-23,917.855887236733
2007-08-24,920.5936519780313
2007-08-27,917.7859020738233
2007-08-28,901.8359262296715
2007-08-29,911.3296664730254
2007-08-30,912.9455147430584
2007-08-31,926.8612808022482
2007-09-03,930.2762534587272
2007-09-04,936.8523261380228
2007-09-05,922.3354290585581
2007-09-06,921.0205273525684
2007-09-07,907.154801229773
2007-09-10,897.0374652870036
2007-09-11,903.2519000740654
2007-09-12,898.777044258089
2007-09-13,899.6157262114613
2007-09-14,901.7151918858503
2007-09-17,894.2702150956962
2007-09-18,908.8861261839605
2007-09-19,918.4410325674056
2007-09-20,906.901376625016
2007-09-21,907.0345864193839
2007-09-24,903.9646439709301
2007-09-25,898.2903718673602
2007-09-26,904.7935586114063
2007-09-27,911.4445221085041
2007-09-28,905.2425879440126
2007-10-01,914.6776619185125
2007-10-02,927.2505317287201
2007-10-03,926.2808830608395
2007-10-04,927.0212765090467
2007-10-05,937.9658049915944
2007-10-08,938.0129554566611
2007-10-09,940.7368199077857
2007-10-10,936.4021690043194
2007-10-11,931.3490696613818
2007-10-12,933.6540267967437
2007-10-15,923.6205383913317
2007-10-16,918.0862530195793
2007-10-17,915.8253253641728
2007-10-18,911.8284334317585
2007-10-19,897.0199478172441
2007-10-22,901.0187662111608
2007-10-23,905.02691946649
2007-10-24,901.6640793793485
2007-10-25,899.2693749433141
2007-10-26,905.672433791383
2007-10-29,907.7976510668434
2007-10-30,904.6110310117017
2007-10-31,913.9175810937978
2007-11-01,897.2022309295663
2007-11-02,888.1782463746913
2007-11-05,880.3867499013976
2007-11-06,884.6080002320996
2007-11-07,861.8322042325306
2007-11-08,859.7613782831467
2007-11-09,854.5740553076001
2007-11-12,850.0034491678766
2007-11-13,858.0678483897982
2007-11-14,854.6210596856193
2007-11-15,849.1692561047885
2007-11-16,842.0963026534981
2007-11-19,825.8300588458878
2007-11-20,817.9041345533071
2007-11-21,802.7024983239999
2007-11-22,801.1416158440059
2007-11-23,812.9849792024906
2007-11-26,801.9452367037925
2007-11-27,804.1114245202416
2007-11-28,825.9502131744581
2007-11-29,827.2731792439986
2007-11-30,838.0308790052732
2007-12-03,835.8794985398288
2007-12-04,822.9155719585075
2007-12-05,836.015049538963
2007-12-06,851.2390939368713
2007-12-07,852.2676699520711
2007-12-10,852.9137989648177
2007-12-11,839.940832260259
2007-12-12,840.5280641375812
2007-12-13,836.5303426522999
2007-12-14,832.7799495383499
2007-12-17,818.257951898829
2007-12-18,822.5987981553201
2007-12-19,823.0251284613288
2007-12-20,828.332739741031
2007-12-21,838.4683070245247
2007-12-24,844.2256829055473
2007-12-25,845.135793772706
2007-12-26,841.0328453645275
2007-12-27,828.8668239850059
2007-12-28,821.6514691769405
2007-12-31,826.4452766311408
2008-01-01,826.7605824370615
2008-01-02,815.6651231204812
2008-01-03,807.9279033723734
2008-01-04,786.985960119056
2008-01-07,787.0819886009477
2008-01-08,776.7974962747628
2008-01-09,779.1760682111295
2008-01-10,776.5473279023165
2008-01-11,764.3198524922349
2008-01-14,765.3592075016832
2008-01-15,752.1146072528886
2008-01-16,753.8887094386147
2008-01-17,745.9866206738722
2008-01-18,743.2789627536331
2008-01-21,735.6683524642393
2008-01-22,723.4005043305838
2008-01-23,744.5200861147811
2008-01-24,744.8391537235976
2008-01-25,750.0599489412592
2008-01-28,750.5640312203053
2008-01-29,760.7183979392879
2008-01-30,753.6017363937057
2008-01-31,766.9968450133204
2008-02-01,780.2641964064153
2008-02-04,780.7584237219819
2008-02-05,772.2533159694485
2008-02-06,762.1005446080923
2008-02-07,772.5725257389892
2008-02-08,770.0539645162711
2008-02-11,767.7860821805899
2008-02-12,769.5283474448604
2008-02-13,775.6184756646389
2008-02-14,771.5860218448461
2008-02-15,766.2167648676902
2008-02-18,769.3559620352262
2008-02-19,767.416595566372
2008-02-20,771.4803242225715
2008-02-21,762.3196564887429
2008-02-22,762.0506913095613
2008-02-25,773.7401742887773
2008-02-26,776.1821831272439
2008-02-27,768.9218532206835
2008-02-28,757.443383903767
2008-02-29,743.7242518567608
