Date,ACWI ex USA SMALL VALUE
1998-12-31,280.6050242557856
1999-01-01,280.5819743352279
1999-01-04,281.93614676454644
1999-01-05,282.9692876543644
1999-01-06,285.9622703373256
1999-01-07,287.8746026498336
1999-01-08,289.56784600938494
1999-01-11,292.21565489760945
1999-01-12,289.33572008449886
1999-01-13,281.33344645303254
1999-01-14,281.46518957323804
1999-01-15,282.7580399288097
1999-01-18,284.08626225561875
1999-01-19,284.56013827713093
1999-01-20,284.56100198459546
1999-01-21,283.26644790791073
1999-01-22,280.3667608350204
1999-01-25,279.7892624696643
1999-01-26,280.42341615640447
1999-01-27,281.7907338640368
1999-01-28,282.47286686923286
1999-01-29,284.38070255127553
1999-02-01,287.3159204823543
1999-02-02,288.41668266346204
1999-02-03,287.77651888371526
1999-02-04,289.42245326447323
1999-02-05,288.7022807675105
1999-02-08,288.86775160070744
1999-02-09,286.1569455713622
1999-02-10,284.95109409958883
1999-02-11,286.665433332103
1999-02-12,288.1604763720063
1999-02-15,288.6658134451953
1999-02-16,288.32770218683754
1999-02-17,286.263538299214
1999-02-18,285.3169429068881
1999-02-19,286.4793628850665
1999-02-22,288.5422385362334
1999-02-23,288.83562754635494
1999-02-24,288.49641296025175
1999-02-25,287.87486263473033
1999-02-26,290.3314540315307
1999-03-01,291.18199334530556
1999-03-02,290.8984279175484
1999-03-03,291.0319310091271
1999-03-04,291.13761662756013
1999-03-05,294.52432869488894
1999-03-08,295.3747625124929
1999-03-09,296.3646480712895
1999-03-10,297.77238164076977
1999-03-11,301.40761745543864
1999-03-12,301.62766331099726
1999-03-15,303.00047796912025
1999-03-16,305.4356822912667
1999-03-17,303.7905691219119
1999-03-18,303.82609833839655
1999-03-19,307.918232675686
1999-03-22,308.01025828036677
1999-03-23,308.18908022218227
1999-03-24,306.35520135497256
1999-03-25,308.81147335268713
1999-03-26,310.2996601958243
1999-03-29,311.5108615297392
1999-03-30,310.1865038578681
1999-03-31,312.0587594859768
1999-04-01,311.8955772785253
1999-04-02,313.02958501795484
1999-04-05,314.96976006308364
1999-04-06,315.80843492035143
1999-04-07,316.80930031346537
1999-04-08,318.73559416833234
1999-04-09,320.7922507915513
1999-04-12,319.87604380767414
1999-04-13,322.78917107774004
1999-04-14,324.7672376786925
1999-04-15,327.9406398359423
1999-04-16,331.950621741059
1999-04-19,336.0442754542839
1999-04-20,333.9618536696711
1999-04-21,333.27468697185583
1999-04-22,334.9413264826262
1999-04-23,336.08341853824555
1999-04-26,338.31969659842184
