Date,AC ASIA PACIFIC SMALL VALUE
1998-12-31,315.1262551497914
1999-01-01,315.1277294023047
1999-01-04,313.93865051289146
1999-01-05,315.68413810467206
1999-01-06,320.42060606467464
1999-01-07,327.0483167682845
1999-01-08,329.4190470292342
1999-01-11,336.3215834720926
1999-01-12,330.4466426562248
1999-01-13,319.65391095524734
1999-01-14,318.69101159173664
1999-01-15,321.7815627994073
1999-01-18,323.23876332363744
1999-01-19,324.5321945592045
1999-01-20,326.1765561128677
1999-01-21,324.8640060726559
1999-01-22,319.5415311968188
1999-01-25,318.0130972717294
1999-01-26,318.8892843666767
1999-01-27,321.3038117226366
1999-01-28,321.0954360968822
1999-01-29,323.9395907743322
1999-02-01,328.03378707394376
1999-02-02,330.1124198457107
1999-02-03,327.9159210628048
1999-02-04,328.6754262818514
1999-02-05,325.65382602322927
1999-02-08,325.1538354202649
1999-02-09,319.51809299230086
1999-02-10,318.97490252080655
1999-02-11,321.40442870096985
1999-02-12,323.2462059518996
1999-02-15,323.3098344592452
1999-02-16,321.16286575561327
1999-02-17,318.0135517860619
1999-02-18,316.2525327403525
1999-02-19,317.3644786126297
1999-02-22,321.3246141955331
1999-02-23,321.8374729943352
1999-02-24,320.4633083973469
1999-02-25,320.87320909476637
1999-02-26,326.89572136196057
1999-03-01,327.17161712217955
1999-03-02,325.5597926197054
1999-03-03,324.8338116524911
1999-03-04,324.26296910248595
1999-03-05,331.5931105393661
1999-03-08,332.5311423537607
1999-03-09,334.18598641621486
1999-03-10,337.35300945716494
1999-03-11,341.9336124539505
1999-03-12,341.7930466961814
1999-03-15,346.90653988255997
1999-03-16,353.01163579915413
1999-03-17,349.4740830190497
1999-03-18,348.4638768413196
1999-03-19,357.54949156293185
1999-03-22,357.87850131241476
1999-03-23,359.47956314009764
1999-03-24,357.53084652510773
1999-03-25,362.86067244291564
1999-03-26,364.5067251649488
1999-03-29,366.2047844300805
1999-03-30,363.44440408801705
1999-03-31,368.9907658039897
1999-04-01,369.9666852509848
1999-04-02,372.31704251779814
1999-04-05,377.140478198408
1999-04-06,380.1378549384647
1999-04-07,381.5692180495315
1999-04-08,385.1041363845493
1999-04-09,389.7152441728857
1999-04-12,387.6300282894589
1999-04-13,393.44057906851054
1999-04-14,396.83570799576813
1999-04-15,402.12687381281717
1999-04-16,408.79968537082306
1999-04-19,414.45242951160657
1999-04-20,412.0149693643458
1999-04-21,407.8315040085353
1999-04-22,409.9139140139916
1999-04-23,411.57397654323455
1999-04-26,417.3283413931991
1999-04-27,415.601304614438
1999-04-28,419.2141256571689
1999-04-29,421.26756866826094
1999-04-30,425.23450396879616
1999-05-03,426.5113762164745
