Date,AC FAR EAST SMALL VALUE
1998-12-31,340.5423093560022
1999-01-01,340.544199431205
1999-01-04,338.55415951189457
1999-01-05,340.276570600973
1999-01-06,345.07607503039765
1999-01-07,352.5103738371031
1999-01-08,354.5136681002541
1999-01-11,362.10713011275544
1999-01-12,354.885756715297
1999-01-13,343.19571334025096
1999-01-14,342.0624239251656
1999-01-15,345.74496952775473
1999-01-18,347.19934978448777
1999-01-19,348.65609490963385
1999-01-20,350.3252678675191
1999-01-21,348.63302341532267
1999-01-22,342.60040560339957
1999-01-25,340.9433907064879
1999-01-26,342.25799197601395
1999-01-27,344.6780328687893
1999-01-28,344.37532266429173
1999-01-29,347.5360909875275
1999-02-01,352.43658336850973
1999-02-02,355.4921358611582
1999-02-03,352.11483712790255
1999-02-04,352.5293917900135
1999-02-05,348.59123338147026
1999-02-08,347.7555992333717
1999-02-09,341.00922682902274
1999-02-10,341.0250410104288
1999-02-11,343.4900024464414
1999-02-12,345.74081891430353
1999-02-15,345.8365286441414
1999-02-16,343.36220600287794
1999-02-17,339.64852952406386
1999-02-18,337.00716440184647
1999-02-19,337.29881203656834
1999-02-22,341.78286425188804
1999-02-23,342.2159810516501
1999-02-24,341.0920441249682
1999-02-25,343.1855812672889
1999-02-26,351.1444284541862
1999-03-01,351.0214746545054
1999-03-02,348.64178987288966
1999-03-03,346.98373214978466
1999-03-04,346.17076658987907
1999-03-05,355.1440512036916
1999-03-08,355.66379808875655
1999-03-09,357.3483305331813
1999-03-10,361.7687139350541
1999-03-11,367.4197355821549
1999-03-12,367.6328262802001
1999-03-15,374.1494739092722
1999-03-16,382.4745846845481
1999-03-17,378.73580210382
1999-03-18,377.022347302288
1999-03-19,388.1195786411255
1999-03-22,387.5697075445344
1999-03-23,388.798296452335
1999-03-24,386.9199608518052
1999-03-25,393.6757894252249
1999-03-26,395.41874752037273
1999-03-29,397.3535384201176
1999-03-30,394.4202902186012
1999-03-31,401.5254182891665
1999-04-01,402.38276676882424
1999-04-02,405.5077570338072
1999-04-05,411.94139763287814
1999-04-06,416.12809960971606
1999-04-07,418.51927804857996
