Date,AC ASIA PACIFIC ex JAPAN SMALL VALUE
1998-12-31,257.5008095491044
1999-01-01,257.50390946461465
1999-01-04,260.83309830452174
1999-01-05,263.3891896507444
1999-01-06,271.446231786793
1999-01-07,276.7372196955078
1999-01-08,281.0343395587452
1999-01-11,286.1887192457501
1999-01-12,286.5824161325659
1999-01-13,278.09625522747956
1999-01-14,272.90530811477413
1999-01-15,277.32210481915524
1999-01-18,278.86252540653305
1999-01-19,277.2655208767529
1999-01-20,277.1173089962271
1999-01-21,271.5250179282899
1999-01-22,264.7175535557611
1999-01-25,258.36772664595503
1999-01-26,257.5936107768641
1999-01-27,263.9802651026073
1999-01-28,264.6158571257862
1999-01-29,266.3740362270574
1999-02-01,268.0179377188367
1999-02-02,264.7208832059697
1999-02-03,263.26732751002976
1999-02-04,263.52229101433187
1999-02-05,262.1672819993302
1999-02-08,262.8862472078735
1999-02-09,258.0031585880146
1999-02-10,257.63501834555353
1999-02-11,261.0700846479989
1999-02-12,264.1801974461489
1999-02-15,265.24766519919314
1999-02-16,265.3669208324871
1999-02-17,263.85623293547576
1999-02-18,262.8831664625916
1999-02-19,264.0757491457896
1999-02-22,264.6295672090283
1999-02-23,264.5981173619859
1999-02-24,262.8046750499878
1999-02-25,258.9010986392096
1999-02-26,262.761981543386
1999-03-01,265.04952806749736
1999-03-02,265.67005792693584
1999-03-03,266.5892839760615
1999-03-04,268.1659233160513
1999-03-05,269.6821428707969
1999-03-08,272.84132550311205
1999-03-09,273.40739805005524
1999-03-10,273.34974409796206
1999-03-11,276.80718820534486
1999-03-12,275.9412344629435
1999-03-15,277.6055533530879
1999-03-16,277.4081423957584
1999-03-17,274.4814239074224
1999-03-18,274.5601031372495
1999-03-19,279.846803681022
1999-03-22,282.8505783442525
1999-03-23,285.6742734394921
1999-03-24,284.14747336589824
1999-03-25,286.42355990693954
1999-03-26,288.9753196415714
1999-03-29,288.2647270616287
1999-03-30,288.11074258193304
1999-03-31,288.12885536826644
1999-04-01,290.7990119827977
1999-04-02,292.70715742568785
1999-04-05,294.44573527800014
1999-04-06,296.0225806571181
1999-04-07,296.1054750960478
1999-04-08,297.16999112519505
1999-04-09,301.26567894914365
1999-04-12,300.0768942804485
1999-04-13,304.8099717495473
1999-04-14,307.93640113535133
1999-04-15,314.74447484185885
1999-04-16,321.8305229434755
1999-04-19,330.9460040245835
1999-04-20,331.19673442481184
1999-04-21,333.29311223086154
1999-04-22,336.53844998402525
1999-04-23,336.545656952545
1999-04-26,340.44081893933514
1999-04-27,341.9871199594763
1999-04-28,343.6323238537595
1999-04-29,345.67873819883977
1999-04-30,352.9824578225976
1999-05-03,358.4768935272621
1999-05-04,368.8770209717751
1999-05-05,370.50317393838475
1999-05-06,373.2337964918541
1999-05-07,367.0728583423548
1999-05-10,369.0518561886063
1999-05-11,370.6216415720749
1999-05-12,368.8307959503332
1999-05-13,364.97225155389845
1999-05-14,362.41760517248696
1999-05-17,357.97426313429656
1999-05-18,362.7548960464774
1999-05-19,362.8720615838652
1999-05-20,360.37432925147726
1999-05-21,362.05642948460445
1999-05-24,362.4446077977669
1999-05-25,360.14882107161833
1999-05-26,364.69509414496383
1999-05-27,366.13639124859026
1999-05-28,365.2390787149815
1999-05-31,365.846196102405
1999-06-01,364.2062760788115
1999-06-02,368.40244839554407
1999-06-03,370.19186821786076
1999-06-04,373.7114153066644
1999-06-07,380.62703639039034
1999-06-08,383.3300685802423
1999-06-09,383.804007214381
1999-06-10,384.75866736232814
1999-06-11,388.284089139238
1999-06-14,391.2848987497607
1999-06-15,386.0328160739077
1999-06-16,392.9568551448759
1999-06-17,397.2828727856496
1999-06-18,394.25481480418523
1999-06-21,403.8591210941303
1999-06-22,409.23625522637974
1999-06-23,414.8474038226437
1999-06-24,413.22426283303065
1999-06-25,407.40879360721965
1999-06-28,412.3801171804965
1999-06-29,413.81911062453526
1999-06-30,413.96052752741326
1999-07-01,420.7085036479705
1999-07-02,426.0413384857864
1999-07-05,429.2400279404149
1999-07-06,427.8167735919866
1999-07-07,426.54738478725335
1999-07-08,432.327877696959
1999-07-09,434.9908232008985
1999-07-12,437.418032435799
1999-07-13,429.91376327173975
1999-07-14,424.18770487222224
1999-07-15,421.4367636502484
1999-07-16,417.921343412897
1999-07-19,418.8150870091628
1999-07-20,412.1815786902895
1999-07-21,404.07509878755576
1999-07-22,403.3869697417885
1999-07-23,396.537107447568
1999-07-26,380.54933090463885
1999-07-27,385.3688615536526
1999-07-28,391.8776263365452
1999-07-29,391.11253031213516
1999-07-30,389.12436470296
1999-08-02,388.0341859800987
1999-08-03,391.1194350395278
1999-08-04,388.5762569623363
1999-08-05,379.7370055757963
1999-08-06,378.6443579868812
1999-08-09,381.5795115617551
1999-08-10,374.4715512032326
1999-08-11,370.5285614187217
1999-08-12,374.8039006243637
1999-08-13,374.0400406140258
1999-08-16,378.9811746190931
1999-08-17,377.8144282993322
1999-08-18,383.0520208246798
1999-08-19,383.09398815951386
1999-08-20,384.95203170082544
1999-08-23,394.2697895333948
1999-08-24,395.58894831319344
1999-08-25,397.78266731636137
1999-08-26,397.4348869389899
1999-08-27,394.45216364793316
1999-08-30,392.74513359671334
1999-08-31,388.62045882721804
1999-09-01,384.4679263571314
1999-09-02,376.5620957790929
1999-09-03,377.61383963394724
1999-09-06,379.9934683730947
1999-09-07,379.62948060454005
1999-09-08,376.5973428350648
1999-09-09,381.07973563191564
1999-09-10,386.6517628277078
1999-09-13,393.30215118598716
1999-09-14,391.4024054607109
1999-09-15,387.44161199394813
1999-09-16,382.9415558938331
1999-09-17,383.8169548333208
1999-09-20,381.5751998966919
1999-09-21,378.05985995240513
1999-09-22,374.7093344888938
1999-09-23,376.74248663414375
1999-09-24,372.95022149938796
1999-09-27,369.1213691331925
1999-09-28,366.7089476886029
1999-09-29,362.4315488026417
1999-09-30,359.13607865641166
1999-10-01,358.9721493709573
1999-10-04,359.02532315109255
1999-10-05,360.08199185273884
1999-10-06,361.7018449446785
1999-10-07,365.5119872062022
1999-10-08,368.62295761452833
1999-10-11,369.61668804230897
1999-10-12,367.84477555984563
1999-10-13,364.4461536364982
1999-10-14,364.4150279338475
1999-10-15,355.46418159320325
1999-10-18,351.4106264252817
1999-10-19,352.55410558484783
1999-10-20,360.3177078115664
1999-10-21,360.0202433846636
1999-10-22,365.3889790019488
1999-10-25,363.48413474083367
1999-10-26,364.9653415185405
1999-10-27,362.22245844969206
1999-10-28,363.64647061916713
1999-10-29,362.646506622238
1999-11-01,365.54539438552166
1999-11-02,367.7832056104662
1999-11-03,368.51438573332626
1999-11-04,371.19077129309505
1999-11-05,373.7314031175964
1999-11-08,375.774766802514
1999-11-09,375.647849835306
1999-11-10,375.7277879247313
1999-11-11,379.74518990329716
1999-11-12,383.48650755916384
