Date,WORLD ex ISRAEL MINIMUM VOLATILITY (USD)
2010-05-26,1000.0
2010-05-27,1016.7338244480097
2010-05-28,1014.6024801062495
2010-05-31,1015.7186570586157
2010-06-01,1013.0088311642767
2010-06-02,1023.1878579268761
2010-06-03,1031.062847349407
2010-06-04,1011.8935972624897
2010-06-07,1003.2987197835502
2010-06-08,1010.4718357794808
2010-06-09,1014.2062043487444
2010-06-10,1030.9577155087293
2010-06-11,1031.807178958769
2010-06-14,1038.6585187435876
2010-06-15,1051.131332500834
2010-06-16,1052.6624293314833
2010-06-17,1056.332440419208
2010-06-18,1056.6179316215698
2010-06-21,1057.7904749921734
2010-06-22,1050.2445302038218
2010-06-23,1044.7255217517577
2010-06-24,1040.4578841077791
2010-06-25,1041.9411393047606
2010-06-28,1045.9442196831549
2010-06-29,1028.0936209025763
2010-06-30,1023.1796726148419
2010-07-01,1023.9357265544509
2010-07-02,1023.1934882333293
2010-07-05,1022.7031757391779
2010-07-06,1033.9438607240697
2010-07-07,1047.1994615257552
2010-07-08,1052.8015465247327
2010-07-09,1054.626612278611
2010-07-12,1052.426625272151
2010-07-13,1063.15894039944
2010-07-14,1065.1222194457464
2010-07-15,1066.619790635482
2010-07-16,1052.9934656298058
2010-07-19,1053.5468024085
2010-07-20,1056.8763747763826
2010-07-21,1050.5721260437583
2010-07-22,1064.8121549139055
2010-07-23,1069.0217494194726
2010-07-26,1076.5177855912477
2010-07-27,1074.9165035951034
2010-07-28,1072.84434770868
2010-07-29,1070.1809463779907
2010-07-30,1069.055284129493
2010-08-02,1083.6888224588074
2010-08-03,1084.4259987771359
2010-08-04,1085.7602053630858
2010-08-05,1085.331251011831
2010-08-06,1088.7954704399206
2010-08-09,1092.1666577078272
2010-08-10,1086.3496870731747
2010-08-11,1068.0691965867416
2010-08-12,1066.023521430286
2010-08-13,1065.543701400781
2010-08-16,1070.1831012979367
2010-08-17,1080.181144994469
2010-08-18,1081.7979479535802
2010-08-19,1074.3901434229697
2010-08-20,1068.2887848534594
2010-08-23,1069.572771037376
2010-08-24,1066.5043270614688
2010-08-25,1065.3271563643514
2010-08-26,1066.105367438388
2010-08-27,1075.6488785902773
2010-08-30,1072.132710320158
2010-08-31,1071.3920014866455
2010-09-01,1088.8851153085113
2010-09-02,1093.331115814869
2010-09-03,1098.2158299151117
2010-09-06,1102.478825912083
2010-09-07,1098.446665774454
2010-09-08,1100.3535545826733
2010-09-09,1103.536202367337
2010-09-10,1104.3109165420597
2010-09-13,1110.7694038026345
2010-09-14,1115.446475871589
2010-09-15,1115.908028445163
2010-09-16,1113.0080942918087
2010-09-17,1114.0008718945835
2010-09-20,1124.7182394203255
2010-09-21,1122.2241959323276
2010-09-22,1126.1114500434526
2010-09-23,1122.2273388475883
