Date,WORLD ex USA MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,1002.9056381666635
2001-06-04,1006.441674451412
2001-06-05,1008.0508371149143
2001-06-06,1004.4769537264885
2001-06-07,1009.126954233344
2001-06-08,1007.5348324766185
2001-06-11,997.1280820849707
2001-06-12,995.3893174291725
2001-06-13,1001.666845180449
2001-06-14,1004.780506831773
2001-06-15,1001.5824957759655
2001-06-18,995.359285988979
2001-06-19,992.4911808393223
2001-06-20,989.2884343686275
2001-06-21,989.5156090348693
2001-06-22,992.744709519289
2001-06-25,995.6466813570364
2001-06-26,994.0918489618324
2001-06-27,989.9640983177829
2001-06-28,982.4884018438406
2001-06-29,990.0980077250409
2001-07-02,991.3657902213696
2001-07-03,989.7700523816484
2001-07-04,988.2007943892737
2001-07-05,980.8108704126705
2001-07-06,973.8792478429274
2001-07-09,975.0523040005161
2001-07-10,978.0536746624624
2001-07-11,977.9694528774952
2001-07-12,976.97992201832
2001-07-13,976.9297822333081
2001-07-16,975.8738193769506
2001-07-17,970.3319367246207
2001-07-18,977.192286854189
2001-07-19,984.2700856525018
2001-07-20,984.5613354575132
2001-07-23,977.263498076349
2001-07-24,979.0418142301355
2001-07-25,979.0218445430854
2001-07-26,978.4861851944019
2001-07-27,983.5437918107178
2001-07-30,984.9241934147844
2001-07-31,994.497244820013
2001-08-01,1001.7254562707864
2001-08-02,1005.3910030176911
2001-08-03,1000.5616004456541
2001-08-06,998.9292321669874
2001-08-07,999.5949826560415
2001-08-08,995.8301209391117
2001-08-09,993.6012472389317
2001-08-10,996.8204711566252
2001-08-13,999.9515212379198
2001-08-14,1006.0700382605633
2001-08-15,1017.797787604675
2001-08-16,1015.6174488611739
2001-08-17,1011.8741945283537
2001-08-20,1006.3487466624919
2001-08-21,1012.2047312044726
2001-08-22,1020.7356268458115
2001-08-23,1016.0409825343907
2001-08-24,1021.9381419379179
2001-08-27,1019.7378682043988
2001-08-28,1012.7863134673627
2001-08-29,1009.1969458117463
2001-08-30,997.7454633892025
2001-08-31,997.6681523223854
2001-09-03,989.3207458172172
2001-09-04,989.193415752144
2001-09-05,979.4650941871128
2001-09-06,974.3993448510041
2001-09-07,970.8027424589927
2001-09-10,956.1932146363214
2001-09-11,938.9771636175617
2001-09-12,927.9300150504489
2001-09-13,939.4808324386148
2001-09-14,931.5219686910463
2001-09-17,923.2826613421322
2001-09-18,919.6626856053247
2001-09-19,918.9867223988776
2001-09-20,896.2059513938175
2001-09-21,868.3737404984115
2001-09-24,883.6956568385184
2001-09-25,893.1133784439401
2001-09-26,896.5317000040054
2001-09-27,904.8145218888649
2001-09-28,921.0688041574664
2001-10-01,919.9912711906667
2001-10-02,930.9347257837919
2001-10-03,932.2095573967555
2001-10-04,941.3778119734505
2001-10-05,944.1966871324466
2001-10-08,942.7320224327957
2001-10-09,937.0168067134285
2001-10-10,941.6965291922278
2001-10-11,944.0971865818141
2001-10-12,947.1301049636534
2001-10-15,940.834899985312
2001-10-16,945.2629122632786
2001-10-17,951.0355114848045
2001-10-18,937.1879880851646
2001-10-19,926.6260497907821
2001-10-22,927.5018449421797
2001-10-23,934.1489051978219
2001-10-24,934.7851189389556
2001-10-25,932.7770262571903
2001-10-26,937.0011882373198
2001-10-29,932.0406133751402
2001-10-30,926.5853898995584
2001-10-31,926.4581783800538
2001-11-01,933.5969222213979
2001-11-02,930.403494498977
2001-11-05,933.4427089255075
2001-11-06,935.5879140662792
2001-11-07,935.5511199919715
2001-11-08,940.0683240100979
2001-11-09,937.4801429367255
2001-11-12,929.6757706474621
2001-11-13,928.9547182699959
2001-11-14,927.4071305326031
2001-11-15,921.0902105376044
2001-11-16,923.5372500675903
2001-11-19,925.9975951468456
2001-11-20,927.3864864763271
2001-11-21,925.6014080925574
2001-11-22,929.372901602386
2001-11-23,925.882313359812
2001-11-26,927.5857176089991
2001-11-27,925.2597805735842
2001-11-28,923.1077626348688
2001-11-29,927.0094147661265
2001-11-30,937.1721906067372
2001-12-03,927.1969346164339
2001-12-04,931.392249788665
2001-12-05,937.9084560659609
2001-12-06,937.7018462400479
2001-12-07,928.5894269977772
2001-12-10,917.8226231588748
2001-12-11,915.9993745420563
2001-12-12,922.1338477107134
2001-12-13,913.7514500875282
2001-12-14,913.740763276803
2001-12-17,917.7926108645421
2001-12-18,919.3025552891899
2001-12-19,916.241501107344
2001-12-20,918.330668704649
2001-12-21,918.6256097351551
2001-12-24,915.0553880621433
2001-12-25,913.9811079827218
2001-12-26,912.7923256667632
2001-12-27,928.1696216254314
2001-12-28,933.6214389854634
2001-12-31,938.2766217589812
2002-01-01,938.2766217589812
