Date,EMU MINIMUM VOLATILITY (EUR)
2001-11-30,1000.0
2001-12-03,992.3421821774605
2001-12-04,1000.7666238850996
2001-12-05,1012.1349689576908
2001-12-06,1015.078203138846
2001-12-07,1007.3987380740988
2001-12-10,994.1850175626428
2001-12-11,994.1929300600929
2001-12-12,995.1146338249122
2001-12-13,986.5447026993327
2001-12-14,983.5426219802353
2001-12-17,1003.5936054798897
2001-12-18,998.6370491297266
2001-12-19,991.5788965337059
2001-12-20,987.9352495778128
2001-12-21,989.4013305099245
2001-12-24,980.4137475403878
2001-12-25,980.4137475403878
2001-12-26,981.2511354354514
2001-12-27,1005.8915616887388
2001-12-28,1007.4731489111333
2001-12-31,1017.4108774754283
2002-01-01,1017.4108774754283
2002-01-02,1024.955437615314
2002-01-03,1028.5615800588423
2002-01-04,1018.8405876749376
2002-01-07,1008.3774213076531
2002-01-08,1001.677424700334
2002-01-09,998.6620796844347
2002-01-10,999.0967258253809
2002-01-11,1001.7586832692316
2002-01-14,991.5999855855248
2002-01-15,998.4137610813392
2002-01-16,982.1921618994646
2002-01-17,992.0737576100946
2002-01-18,995.3105440601568
2002-01-21,991.1579998361792
2002-01-22,994.6097339304573
2002-01-23,1001.7308682476267
2002-01-24,1000.2312641014819
2002-01-25,982.5028756390037
2002-01-28,983.4384740101331
2002-01-29,977.7235515666911
2002-01-30,968.7894813781045
2002-01-31,978.3476186736424
2002-02-01,983.6287097782335
2002-02-04,981.2314259994795
2002-02-05,973.8372570451152
2002-02-06,966.6865804531059
2002-02-07,968.6302520604766
2002-02-08,970.788857107142
2002-02-11,980.8067576425767
2002-02-12,980.0845637733269
2002-02-13,982.6655896233486
2002-02-14,986.6857186551375
2002-02-15,985.7585623729238
2002-02-18,978.0230094549793
2002-02-19,967.8304590347252
2002-02-20,963.404590223257
2002-02-21,967.1644288816007
2002-02-22,968.9256364006843
2002-02-25,971.6468134497386
2002-02-26,973.7087458939334
2002-02-27,980.3674343570273
2002-02-28,982.848742647662
2002-03-01,987.4696036888116
2002-03-04,1004.5081789726551
2002-03-05,999.8499627912104
2002-03-06,1007.7967994015394
2002-03-07,1015.9546849808204
2002-03-08,1012.109987909504
2002-03-11,1012.8792985144781
2002-03-12,1006.0334737696634
2002-03-13,1007.0112184791693
2002-03-14,1015.7082893436638
2002-03-15,1023.7241817392783
2002-03-18,1026.327296800991
2002-03-19,1030.2352506393818
2002-03-20,1025.8201349549179
2002-03-21,1020.4911021797992
2002-03-22,1020.9611226435497
2002-03-25,1014.8116326526389
2002-03-26,1015.936549373451
2002-03-27,1011.4397995421091
2002-03-28,1020.0582879508191
