Date,WORLD EX UK MINIMUM VOLATILITY (GBP)
2001-05-31,1000.0
2001-06-01,1000.9397981633161
2001-06-04,1004.8050644279795
2001-06-05,1007.8812815305187
2001-06-06,1001.6486174266098
2001-06-07,1004.4986612414781
2001-06-08,1002.2298127749988
2001-06-11,995.6856151828906
2001-06-12,994.5689461399206
2001-06-13,993.9640572945027
2001-06-14,989.9335753024095
2001-06-15,986.6884539724776
2001-06-18,982.0902143363322
2001-06-19,981.4908352339812
2001-06-20,982.9660585095547
2001-06-21,981.8339365198689
2001-06-22,979.2768317219807
2001-06-25,976.6401725106555
2001-06-26,977.5649172074427
2001-06-27,971.1482457690765
2001-06-28,969.8965038850026
2001-06-29,974.1404713435774
2001-07-02,978.5551837484766
2001-07-03,975.8813429093198
2001-07-04,974.4868687243182
2001-07-05,968.2786710209452
2001-07-06,957.1693747718941
2001-07-09,959.6002797005103
2001-07-10,958.9783011646787
2001-07-11,958.2253536712254
2001-07-12,961.5766191949016
2001-07-13,963.5199509226129
2001-07-16,961.3325134468666
2001-07-17,960.8428508472488
2001-07-18,964.40332909059
2001-07-19,970.4513689529858
2001-07-20,968.3432001925759
2001-07-23,956.709656255833
2001-07-24,951.2830672283997
2001-07-25,958.3952601251685
2001-07-26,960.655881916303
2001-07-27,960.9249237961784
2001-07-30,962.0274643139995
2001-07-31,970.3172145376159
2001-08-01,975.4378880295275
2001-08-02,980.5671147999896
2001-08-03,976.9030493630279
2001-08-06,972.4950606340575
2001-08-07,974.3878390308356
2001-08-08,967.7225243577954
2001-08-09,966.2768909948431
2001-08-10,971.5533604740896
2001-08-13,973.0119227130992
2001-08-14,977.1640097434863
2001-08-15,982.7774930989225
2001-08-16,982.1969430960557
2001-08-17,975.9124889265133
2001-08-20,976.1818602653365
2001-08-21,978.3559558265608
2001-08-22,984.9009249939947
2001-08-23,981.4379342586876
2001-08-24,987.9969396477109
2001-08-27,986.7523986465715
2001-08-28,977.9200212366472
2001-08-29,973.1083163877634
2001-08-30,962.2973890257914
2001-08-31,962.1346842429563
2001-09-03,955.8733759505824
2001-09-04,962.3247682736775
2001-09-05,958.512066389324
2001-09-06,950.981976444484
2001-09-07,943.4908210328524
2001-09-10,937.4516748194736
2001-09-11,934.6609370711857
2001-09-12,925.4127017105791
2001-09-13,930.8645349604881
2001-09-14,928.7720126016865
2001-09-17,910.4566833693618
2001-09-18,911.1479583530913
2001-09-19,904.794696970432
2001-09-20,883.0697977664792
2001-09-21,859.848703255733
2001-09-24,872.9672358802665
2001-09-25,880.1179413693319
2001-09-26,882.9384042695656
2001-09-27,892.2586593389251
2001-09-28,907.3882184311447
2001-10-01,906.7291589086989
2001-10-02,916.8032486802315
2001-10-03,916.1591549562319
2001-10-04,922.148682748834
2001-10-05,925.3781324344409
2001-10-08,922.9753249734838
2001-10-09,916.5238983635245
2001-10-10,925.9591720518334
2001-10-11,929.0098954613874
2001-10-12,929.1581959550496
2001-10-15,925.0984397797345
2001-10-16,929.0858555397352
2001-10-17,928.2833217041002
2001-10-18,916.3352205370537
2001-10-19,913.7017570454125
2001-10-22,919.3213031617836
2001-10-23,920.0123951995623
2001-10-24,918.6675385688678
2001-10-25,921.7732886089298
2001-10-26,923.4425026210406
2001-10-29,915.6725211687863
2001-10-30,906.052822674599
2001-10-31,905.7607592677422
2001-11-01,916.8360126208047
2001-11-02,914.0016530765834
2001-11-05,920.4592653137111
2001-11-06,926.0723203120713
2001-11-07,924.2477825951127
2001-11-08,927.7868536124896
2001-11-09,926.0544717489585
2001-11-12,921.0849159826713
2001-11-13,924.6339874779752
2001-11-14,922.0894389881094
2001-11-15,920.4913020152624
2001-11-16,922.0346318478757
2001-11-19,925.0023894696466
2001-11-20,928.9744661024853
2001-11-21,925.4432244120649
2001-11-22,927.1092576302034
2001-11-23,929.3201904776466
2001-11-26,930.7824102850689
2001-11-27,926.3490871521044
2001-11-28,920.0396336817508
2001-11-29,924.2038962377349
2001-11-30,932.2550909340298
2001-12-03,927.4008271062648
2001-12-04,932.4730283431059
2001-12-05,941.3864562822853
2001-12-06,938.3129270927176
2001-12-07,934.109096833729
2001-12-10,923.2120435579137
2001-12-11,918.9360552797394
2001-12-12,922.1551724985325
2001-12-13,914.0455477162183
2001-12-14,914.8866246749449
2001-12-17,918.7976831342476
2001-12-18,924.4152188930245
2001-12-19,927.0454770151176
2001-12-20,928.4309020334996
2001-12-21,928.0673015697728
2001-12-24,927.2810556829819
2001-12-25,926.629247828531
2001-12-26,927.6307996934224
