Date,PACIFIC MINIMUM VOLATILITY (EUR)
2001-11-30,1000.0
2001-12-03,979.988316609675
2001-12-04,979.8660541129601
2001-12-05,985.5357994502192
2001-12-06,979.7511353267444
2001-12-07,966.290134596716
2001-12-10,951.3713019490781
2001-12-11,949.901661143161
2001-12-12,964.2858709914258
2001-12-13,947.9130728697551
2001-12-14,946.2934256293111
2001-12-17,933.3054546063685
2001-12-18,937.8042096809253
2001-12-19,941.0073637271738
2001-12-20,945.4472178478027
2001-12-21,940.1264161558345
2001-12-24,940.2875493553773
2001-12-25,937.2795697960112
2001-12-26,929.8252464295233
2001-12-27,939.627553286796
2001-12-28,950.3571330089044
2001-12-31,951.3849513557667
2002-01-01,951.3849513557667
2002-01-02,947.2570812159688
2002-01-03,949.4205484279818
2002-01-04,960.8386287409784
2002-01-07,957.8149059839457
2002-01-08,938.522638659736
2002-01-09,931.031235019602
2002-01-10,919.9217761324991
2002-01-11,918.1420431261695
2002-01-14,919.1153353011008
2002-01-15,915.3811480076264
2002-01-16,917.3675989342279
2002-01-17,914.4497857959642
2002-01-18,923.3645247643154
2002-01-21,923.868841438404
2002-01-22,904.7872189361319
2002-01-23,898.3590484774401
2002-01-24,898.2392239080175
2002-01-25,897.9819221923404
2002-01-28,908.1040000880967
2002-01-29,900.4888702500324
2002-01-30,893.2652011714065
2002-01-31,896.1775026052328
2002-02-01,886.0864894574682
2002-02-04,885.3831869178043
2002-02-05,869.1214909020864
2002-02-06,867.8869479815984
2002-02-07,875.2086220392199
2002-02-08,880.0694827793633
2002-02-11,887.8827695392273
2002-02-12,900.9962730080254
2002-02-13,903.0445197681807
2002-02-14,908.4904727109085
2002-02-15,905.6250580617254
2002-02-18,905.725219927165
2002-02-19,886.8905877879657
2002-02-20,885.9356269486897
2002-02-21,900.0065735789826
2002-02-22,902.0310304120359
2002-02-25,897.9962510245017
2002-02-26,894.2271876110924
2002-02-27,908.5614142500717
2002-02-28,911.723515713399
2002-03-01,925.5845922770897
2002-03-04,957.1389735913577
2002-03-05,952.8480544967714
2002-03-06,959.4035674466156
2002-03-07,991.287709181441
2002-03-08,991.1791199285665
2002-03-11,997.6564536775832
2002-03-12,980.9274658022275
2002-03-13,966.4424028913519
2002-03-14,977.1340792493294
2002-03-15,978.0828689165156
2002-03-18,963.1942058275503
2002-03-19,977.1900834684292
2002-03-20,971.444726528798
2002-03-21,966.8728503188555
2002-03-22,953.0612065993873
2002-03-25,953.362061605001
2002-03-26,949.4089299302707
2002-03-27,952.3989630883439
2002-03-28,958.2425054295619
2002-03-29,944.5034300733505
2002-04-01,938.5645170780297
2002-04-02,942.9333027964544
2002-04-03,953.3538855303401
2002-04-04,961.2208762540625
2002-04-05,964.7612609036828
2002-04-08,963.8248296278898
2002-04-09,955.4205551152157
2002-04-10,967.0442312898373
2002-04-11,958.3702515635657
2002-04-12,950.7988704348015
2002-04-15,958.2674544271415
2002-04-16,965.4974063246214
2002-04-17,975.2548436974715
2002-04-18,984.5816285309432
2002-04-19,981.7251743876902
2002-04-22,990.4557159254014
2002-04-23,990.7615332615775
2002-04-24,985.8251312254929
2002-04-25,993.3701944194692
2002-04-26,988.3572688852934
2002-04-29,983.8051906290644
2002-04-30,984.0644992152519
2002-05-01,992.2006018735892
