Date,PACIFIC ex JP MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,1004.4479315334387
2001-06-04,1011.0163259193056
2001-06-05,1017.4914862313543
2001-06-06,1023.6028586081195
2001-06-07,1034.9749235174068
2001-06-08,1040.7497588131912
2001-06-11,1032.996292477682
2001-06-12,1028.2562986229827
2001-06-13,1033.2411505970426
2001-06-14,1030.8823337598612
2001-06-15,1030.3569460880722
2001-06-18,1019.106876934084
2001-06-19,1019.7526114569785
2001-06-20,1016.069997762789
2001-06-21,1015.6890603522012
2001-06-22,1016.496612293902
2001-06-25,1012.4443017131268
2001-06-26,1017.0932455417309
2001-06-27,1011.7405042592073
2001-06-28,1004.9422555322509
2001-06-29,1015.2037950197088
2001-07-02,1007.2282433150941
2001-07-03,1016.4717695016528
2001-07-04,1017.4146562175653
2001-07-05,1002.8332833202661
2001-07-06,985.6668362096866
2001-07-09,979.3514796994759
2001-07-10,991.1765121018936
2001-07-11,989.1283048461705
2001-07-12,994.0259244503442
2001-07-13,994.9659322103131
2001-07-16,999.6220181981324
2001-07-17,989.3948755618616
2001-07-18,997.8928333863546
2001-07-19,998.5017398722619
2001-07-20,991.90297594702
2001-07-23,992.0682501139793
2001-07-24,986.4381099210719
2001-07-25,985.2055845427356
2001-07-26,978.8866094521497
2001-07-27,977.1902919686282
2001-07-30,984.0244694251955
2001-07-31,997.5820712254898
2001-08-01,1015.5698884500033
2001-08-02,1019.9469303673268
2001-08-03,1012.090741721478
2001-08-06,1010.0462433754788
2001-08-07,1005.9668278365635
2001-08-08,1004.0357261564957
2001-08-09,998.5771559575045
2001-08-10,1003.5131763812354
2001-08-13,1002.2893920058194
2001-08-14,1003.7614318077672
2001-08-15,1015.4818315340383
2001-08-16,1011.4958050416252
2001-08-17,1024.3033813525565
2001-08-20,1013.975104452823
2001-08-21,1018.0935894425188
2001-08-22,1022.2125408421913
2001-08-23,1020.188234568122
2001-08-24,1019.1660159673833
2001-08-27,1023.8527259682058
2001-08-28,1020.4409424379226
2001-08-29,1019.7822422544809
2001-08-30,1015.6757361665537
2001-08-31,1002.1381766160932
2001-09-03,1002.6726447190127
2001-09-04,998.9259823366644
2001-09-05,990.4980601549956
2001-09-06,980.4631666715119
2001-09-07,966.6753765278473
2001-09-10,958.7045261190215
2001-09-11,970.2794907423664
2001-09-12,919.5977957707179
2001-09-13,923.6668472752028
2001-09-14,917.981040574019
2001-09-17,868.0489741357923
2001-09-18,866.2991529347061
2001-09-19,872.9951085241391
2001-09-20,860.3328336294497
2001-09-21,830.5477672069105
2001-09-24,838.573147483898
2001-09-25,848.409201184548
2001-09-26,846.1436345098906
2001-09-27,855.7453248513717
2001-09-28,875.7137262160486
2001-10-01,880.6743670243488
2001-10-02,890.9054654548299
2001-10-03,892.8924702472245
2001-10-04,902.0321786353038
2001-10-05,918.0987499772311
2001-10-08,908.8158503743978
2001-10-09,915.1020074644644
2001-10-10,908.090801309035
2001-10-11,917.3047514926087
2001-10-12,922.2567683239218
2001-10-15,933.6295324608765
2001-10-16,935.3124469400786
2001-10-17,945.6131547768279
2001-10-18,924.9523203668765
2001-10-19,915.6497075801527
