Date,MSCI WORLD MINIMUM VOLATILITY EU PAB (EUR) Index
2013-11-26,1000.0
2013-11-27,1000.4633717099374
2013-11-28,1002.6820925797866
2013-11-29,1003.3000278360093
2013-12-02,995.9511626799433
2013-12-03,993.0915544589216
2013-12-04,988.1917992065936
2013-12-05,986.2290694695288
2013-12-06,993.3376893965911
2013-12-09,996.8799898908336
2013-12-10,995.1657332762528
2013-12-11,989.595367749308
2013-12-12,982.275531616463
2013-12-13,980.5362585542707
2013-12-16,984.2450134658817
2013-12-17,981.9889583137956
2013-12-18,992.6284812777817
2013-12-19,992.6160819060973
2013-12-20,995.5791956894399
2013-12-23,999.6457357020221
2013-12-24,1001.0974182805321
2013-12-25,1000.7952129947486
2013-12-26,1004.5067041752468
2013-12-27,1010.369360305706
2013-12-30,1013.0827390877774
2013-12-31,1014.370892688736
2014-01-01,1014.419869849377
2014-01-02,1006.082094197558
2014-01-03,1007.0409154974707
2014-01-06,1005.0683598815344
2014-01-07,1006.1836283293902
2014-01-08,1005.8601112315846
2014-01-09,1004.5112442729711
2014-01-10,1010.5332875086079
2014-01-13,1007.4000275038424
2014-01-14,1009.1267043681323
2014-01-15,1010.2865017419258
2014-01-16,1011.8688996037671
2014-01-17,1011.5104015142302
2014-01-20,1013.0713514663421
2014-01-21,1014.9483460521842
2014-01-22,1015.0647984361102
2014-01-23,1013.4110259379213
2014-01-24,1000.4671108882785
2014-01-27,992.6273574940583
2014-01-28,995.3584094279076
2014-01-29,994.1006869619587
2014-01-30,993.9312491706543
2014-01-31,990.0408196658306
2014-02-03,978.9809241958218
2014-02-04,973.4948589113721
2014-02-05,976.2701226557546
2014-02-06,983.4273119028685
2014-02-07,993.6552468888872
2014-02-10,999.4970637207903
2014-02-11,1008.9942867582521
2014-02-12,1008.532346104279
2014-02-13,1013.3855573807464
2014-02-14,1017.1305400662097
2014-02-17,1019.1003469324838
2014-02-18,1023.0014781843173
2014-02-19,1021.2970623912274
2014-02-20,1022.1470136728632
2014-02-21,1024.4230693512632
2014-02-24,1028.070231348937
2014-02-25,1030.4698761743662
2014-02-26,1027.6000010413288
2014-02-27,1028.4990399102205
2014-02-28,1034.4479136344296
2014-03-03,1024.6689712816344
2014-03-04,1035.0243820441538
2014-03-05,1034.7990934191985
2014-03-06,1039.273593093732
2014-03-07,1037.9743999249351
2014-03-10,1036.4096382071168
2014-03-11,1036.7674316828197
2014-03-12,1034.5889728528148
2014-03-13,1029.9691827415552
2014-03-14,1024.5931117030689
2014-03-17,1029.2631207232293
2014-03-18,1033.5676267235392
2014-03-19,1028.578216667252
2014-03-20,1024.6202768500518
2014-03-21,1025.693155713624
2014-03-24,1022.1308721246951
2014-03-25,1028.0092807490441
2014-03-26,1028.9409296526276
2014-03-27,1030.4318166273406
2014-03-28,1034.8578912386379
2014-03-31,1041.3506610355012
2014-04-01,1040.5843314996969
2014-04-02,1041.0936506553353
2014-04-03,1040.730175276607
2014-04-04,1038.524303361858
2014-04-07,1034.0134891454604
2014-04-08,1035.9288383362634
2014-04-09,1040.4084024179028
2014-04-10,1034.194259480075
2014-04-11,1024.6941764818062
2014-04-14,1027.008000390215
2014-04-15,1027.6217968119486
2014-04-16,1035.4949847539735
2014-04-17,1037.0754578665428
2014-04-18,1037.5266395972467
2014-04-21,1037.4111656589841
2014-04-22,1042.0497107469546
2014-04-23,1043.8548339855297
2014-04-24,1042.6846942081988
2014-04-25,1041.5362237297172
2014-04-28,1044.9984737067
2014-04-29,1049.4414638925396
2014-04-30,1054.4775957204474
2014-05-01,1056.1884126227276
2014-05-02,1055.992049956738
2014-05-05,1056.618916842345
2014-05-06,1054.9498650121382
2014-05-07,1056.3948427362234
2014-05-08,1057.6071118132077
2014-05-09,1058.9883587397817
2014-05-12,1062.779434254667
2014-05-13,1063.5721086313922
2014-05-14,1063.8051075446888
2014-05-15,1059.4496410893182
2014-05-16,1059.98455775973
2014-05-19,1059.7834601001382
2014-05-20,1056.3453760920308
2014-05-21,1058.8896887416095
2014-05-22,1061.336309152232
2014-05-23,1061.8864663238544
2014-05-26,1065.4255174793168
2014-05-27,1064.2301919415638
2014-05-28,1064.212699486758
2014-05-29,1068.3234522108323
2014-05-30,1072.3701096405812
2014-06-02,1072.2070921523607
2014-06-03,1071.0858212882263
2014-06-04,1074.3281283570207
2014-06-05,1076.8744947946295
2014-06-06,1078.4273851369794
2014-06-09,1077.558924875643
2014-06-10,1077.7367482455038
2014-06-11,1076.2364812354197
2014-06-12,1075.3111457024852
2014-06-13,1075.4083075148612
2014-06-16,1074.9302675409572
2014-06-17,1076.1216391363528
2014-06-18,1082.211066315134
2014-06-19,1090.627747313499
2014-06-20,1089.226223822367
2014-06-23,1087.0987581225636
