Date,EUROPE MINIMUM VOLATILITY (EUR)
1996-04-30,657.15565818
1996-05-31,678.0551207
1996-06-28,687.1888287
1996-07-31,681.67278219
1996-08-30,700.51983815
1996-09-30,704.13714633
1996-10-31,719.23035389
1996-11-29,751.52627807
1996-12-31,761.86785934
1997-01-01,761.86785934
1997-01-02,750.91678622
1997-01-03,751.80699623
1997-01-06,752.24724519
1997-01-07,752.43612933
1997-01-08,752.37766562
1997-01-09,752.16848847
1997-01-10,746.89244072
1997-01-13,752.60881544
1997-01-14,757.41544469
1997-01-15,762.25339255
1997-01-16,764.97881635
1997-01-17,759.47812329
1997-01-20,754.10907655
1997-01-21,750.70170376
1997-01-22,752.67472775
1997-01-23,755.05957835
1997-01-24,751.06178357
1997-01-27,746.06847078
1997-01-28,743.65364301
1997-01-29,743.45771659
1997-01-30,749.145129
1997-01-31,755.1972785
1997-02-03,754.09725781
1997-02-04,755.45094343
1997-02-05,759.84032134
1997-02-06,760.31973173
1997-02-07,758.69195394
1997-02-10,766.00305521
1997-02-11,763.61507476
1997-02-12,762.90047274
1997-02-13,763.59423401
1997-02-14,766.11385622
1997-02-17,762.95386448
1997-02-18,764.34583964
1997-02-19,764.72187225
1997-02-20,764.00607775
1997-02-21,765.59774196
1997-02-24,771.31426088
1997-02-25,777.51846643
1997-02-26,772.33549889
1997-02-27,772.24541701
1997-02-28,768.45590544
1997-03-03,765.03995614
1997-03-04,768.89199014
1997-03-05,769.02083202
1997-03-06,774.48148816
1997-03-07,773.52838172
1997-03-10,783.15210068
1997-03-11,786.57263284
1997-03-12,779.71968013
1997-03-13,774.64253766
1997-03-14,779.07247844
1997-03-17,771.84301137
1997-03-18,768.2316823
1997-03-19,767.64328377
1997-03-20,753.69897072
1997-03-21,760.89957947
1997-03-24,756.06100586
1997-03-25,764.28668641
1997-03-26,770.42435173
1997-03-27,779.73819108
1997-03-28,780.67006463
1997-03-31,784.14631619
1997-04-01,766.32196135
1997-04-02,763.93859491
1997-04-03,757.97388014
1997-04-04,759.64466449
1997-04-07,757.86113631
1997-04-08,757.13479268
1997-04-09,760.68626986
1997-04-10,761.52300124
1997-04-11,755.36153462
1997-04-14,750.79056777
1997-04-15,754.78522511
1997-04-16,754.92673514
1997-04-17,758.65517699
1997-04-18,761.1965404
1997-04-21,765.93576868
1997-04-22,766.39202682
1997-04-23,768.52314718
1997-04-24,767.97800548
1997-04-25,761.05977801
1997-04-28,761.97471979
1997-04-29,770.34065308
1997-04-30,768.9244797
1997-05-01,774.69945005
1997-05-02,773.52710255
1997-05-05,778.2338489
1997-05-06,787.72160891
1997-05-07,789.57529895
1997-05-08,793.09677816
1997-05-09,798.57593944
1997-05-12,804.88292297
1997-05-13,812.17487847
1997-05-14,817.05671502
1997-05-15,818.86291193
1997-05-16,823.30687691
1997-05-19,817.08269458
1997-05-20,817.74666551
1997-05-21,826.21848426
1997-05-22,822.75443607
1997-05-23,826.10291023
1997-05-26,829.28193254
1997-05-27,824.37526193
1997-05-28,823.85895989
1997-05-29,823.94435215
1997-05-30,812.61539426
1997-06-02,813.25335906
1997-06-03,815.34867371
1997-06-04,815.43431587
1997-06-05,817.6749159
1997-06-06,823.54602577
1997-06-09,835.72385506
1997-06-10,836.83375619
1997-06-11,838.13105536
1997-06-12,841.19845453
1997-06-13,844.11755351
1997-06-16,844.61297157
1997-06-17,835.83867795
1997-06-18,836.60730917
1997-06-19,842.85397377
1997-06-20,841.97695074
1997-06-23,845.95371085
1997-06-24,846.85070103
1997-06-25,854.1271119
1997-06-26,852.48755631
1997-06-27,847.94730756
1997-06-30,839.33226488
1997-07-01,851.78887289
1997-07-02,849.94115197
1997-07-03,867.56203487
