Date,EAFE MINIMUM VOLATILITY (USD)
1988-05-31,194.7657909
1988-06-30,189.0363609
1988-07-29,194.0909267
1988-08-31,181.7815204
1988-09-30,185.001948
1988-10-31,195.2396309
1988-11-30,205.4325168
1988-12-30,207.2140441
1989-01-31,213.5292257
1989-02-28,212.0370988
1989-03-31,211.879842
1989-04-28,215.7293977
1989-05-31,207.7404714
1989-06-30,208.7846656
1989-07-31,228.7026365
1989-08-31,224.0906519
1989-09-29,236.1533814
1989-10-31,228.7127299
1989-11-30,236.9883547
1989-12-29,249.2999124
1990-01-31,247.6391365
1990-02-28,236.7869894
1990-03-30,217.7146926
1990-04-30,210.2224526
1990-05-31,231.6088141
1990-06-29,235.0808132
1990-07-31,244.9164782
1990-08-31,219.4658216
1990-09-28,189.5168056
1990-10-31,217.3861804
1990-11-30,201.0278653
1990-12-31,199.3353022
1991-01-31,206.8548996
1991-02-28,231.4449894
1991-03-29,219.8550981
1991-04-30,224.9109662
1991-05-31,225.8755167
1991-06-28,214.776425
1991-07-31,223.7866405
1991-08-30,215.5034491
1991-09-30,226.182367
1991-10-31,226.9539854
1991-11-29,218.1484498
1991-12-31,229.238074
1992-01-31,224.7771353
1992-02-28,220.8482365
1992-03-31,207.1096804
1992-04-30,209.9812627
1992-05-29,223.1940753
1992-06-30,217.601219
1992-07-31,211.8511346
1992-08-31,218.133965
1992-09-30,214.9153204
1992-10-30,206.9686939
1992-11-30,207.8579051
1992-12-31,209.9721897
1993-01-29,210.7014729
1993-02-26,217.4196356
1993-03-31,234.750332
1993-04-30,255.3635779
1993-05-31,257.1699156
1993-06-30,253.8009521
1993-07-30,265.2614661
1993-08-31,277.7305895
1993-09-30,277.4141011
1993-10-29,288.4213992
1993-11-30,266.8351077
1993-12-31,286.9293519
1994-01-31,303.9659336
1994-02-28,302.0329808
1994-03-31,286.8921109
1994-04-29,293.7966593
1994-05-31,295.1878467
1994-06-30,301.6212775
1994-07-29,304.3044944
1994-08-31,309.8419613
1994-09-30,302.8402713
1994-10-31,311.1252726
1994-11-30,299.1150982
1994-12-30,302.1559112
1995-01-31,289.3461334
1995-02-28,291.0785161
1995-03-31,311.7920841
1995-04-28,321.5745378
1995-05-31,322.4283912
1995-06-30,320.5176436
1995-07-31,332.3542181
1995-08-31,321.4695369
1995-09-29,327.5304156
1995-10-31,322.9610871
1995-11-30,326.9467698
1995-12-29,341.0592389
1996-01-31,343.7771344
1996-02-29,346.457162
1996-03-29,351.9357047
1996-04-30,363.6911121
1996-05-31,362.7537522
1996-06-28,364.3871708
1996-07-31,359.695128
1996-08-30,361.4311013
1996-09-30,366.3767477
1996-10-31,367.0286681
1996-11-29,385.2539989
1996-12-31,385.1868963
1997-01-01,385.1868963
1997-01-02,382.5184899
1997-01-03,382.2301704
1997-01-06,384.1273384
1997-01-07,382.382258
1997-01-08,380.1497097
1997-01-09,378.0659749
1997-01-10,373.7718602
1997-01-13,376.507341
1997-01-14,378.0730071
1997-01-15,379.8392877
1997-01-16,381.5468544
1997-01-17,379.1874302
1997-01-20,376.1947399
1997-01-21,374.2639424
1997-01-22,375.3790449
1997-01-23,375.711188
1997-01-24,374.3886207
1997-01-27,371.1632268
1997-01-28,369.5548249
1997-01-29,369.5166654
1997-01-30,368.8754771
1997-01-31,372.6971253
1997-02-03,372.4879215
1997-02-04,372.5334908
1997-02-05,371.860534
1997-02-06,371.3560771
1997-02-07,369.5961609
1997-02-10,374.360505
1997-02-11,373.6861757
1997-02-12,374.5628639
1997-02-13,375.4857226
1997-02-14,377.067685
1997-02-17,376.2366528
1997-02-18,375.9991527
1997-02-19,376.6512738
1997-02-20,378.990278
1997-02-21,378.9488465
1997-02-24,380.9674038
1997-02-25,382.7885048
1997-02-26,380.5009255
1997-02-27,380.9389055
1997-02-28,378.8835
1997-03-03,377.4424145
1997-03-04,378.3713422
1997-03-05,377.6527839
1997-03-06,377.6274528
1997-03-07,377.2056217
1997-03-10,379.8052171
1997-03-11,382.8760603
1997-03-12,380.2024511
1997-03-13,378.1235554
1997-03-14,378.9008162
1997-03-17,376.9137871
1997-03-18,377.3912697
1997-03-19,377.0240661
1997-03-20,372.4894667
1997-03-21,374.7093441
1997-03-24,371.9443696
1997-03-25,374.6674575
1997-03-26,375.9353789
1997-03-27,378.2516537
1997-03-28,378.6288934
1997-03-31,380.1578994
1997-04-01,374.1900278
1997-04-02,375.3853264
1997-04-03,372.9066994
1997-04-04,372.3484117
1997-04-07,370.1497971
1997-04-08,372.0673429
1997-04-09,371.4554269
1997-04-10,370.0041188
1997-04-11,369.6747844
1997-04-14,366.4326819
1997-04-15,368.0327567
1997-04-16,369.3085726
1997-04-17,370.7226646
1997-04-18,372.843576
1997-04-21,376.1777042
1997-04-22,376.1036126
1997-04-23,378.6698745
1997-04-24,378.4118502
1997-04-25,376.553407
1997-04-28,376.2161522
1997-04-29,378.2554852
1997-04-30,380.7790388
1997-05-01,383.8211294
1997-05-02,384.2150082
1997-05-05,385.0328895
1997-05-06,392.1499799
1997-05-07,392.0827913
1997-05-08,393.7397055
1997-05-09,396.8336534
1997-05-12,402.2601652
1997-05-13,403.5369986
1997-05-14,406.2780847
1997-05-15,407.9358306
1997-05-16,410.0450462
1997-05-19,407.8201723
1997-05-20,410.9779501
1997-05-21,410.2125635
1997-05-22,407.712123
1997-05-23,410.5555723
1997-05-26,412.2476463
1997-05-27,409.2531736
1997-05-28,412.424114
1997-05-29,412.3539077
1997-05-30,407.4034157
1997-06-02,410.1813566
1997-06-03,410.8211262
1997-06-04,411.1467767
1997-06-05,411.566128
1997-06-06,413.2387797
1997-06-09,418.8810877
1997-06-10,420.1047587
1997-06-11,422.1458354
1997-06-12,419.8726773
1997-06-13,419.2728807
1997-06-16,421.8375852
1997-06-17,419.4336953
1997-06-18,419.838566
1997-06-19,421.6477253
1997-06-20,421.3771847
1997-06-23,421.4173761
1997-06-24,422.1728153
1997-06-25,426.5953888
1997-06-26,425.5860862
1997-06-27,421.8167866
1997-06-30,422.1892225
1997-07-01,424.5091768
1997-07-02,425.9675531
1997-07-03,432.0268983
1997-07-04,431.0356071
1997-07-07,433.2369641
1997-07-08,431.5286512
1997-07-09,432.1303167
1997-07-10,431.9781519
1997-07-11,431.8368057
1997-07-14,431.424597
1997-07-15,429.1349071
1997-07-16,432.2797441
1997-07-17,433.5535122
1997-07-18,430.8317931
1997-07-21,428.39178
1997-07-22,430.4210573
1997-07-23,433.3084456
1997-07-24,431.3280156
1997-07-25,429.4601002
1997-07-28,429.3902894
1997-07-29,429.200899
1997-07-30,428.1153636
1997-07-31,429.4672751
1997-08-01,425.0493392
1997-08-04,420.8511705
1997-08-05,417.1709568
1997-08-06,420.3407894
1997-08-07,423.3197766
1997-08-08,424.3472623
1997-08-11,419.5935657
1997-08-12,420.1190527
1997-08-13,418.5078475
1997-08-14,416.49431
1997-08-15,417.54995
1997-08-18,413.1377199
1997-08-19,414.9521709
1997-08-20,417.3494117
1997-08-21,417.8303181
1997-08-22,412.8199776
1997-08-25,410.7793584
1997-08-26,410.5141161
1997-08-27,408.1623122
1997-08-28,405.1271188
1997-08-29,400.8873499
1997-09-01,398.3910712
1997-09-02,400.8504399
1997-09-03,404.9438258
1997-09-04,403.3788843
1997-09-05,407.6516375
1997-09-08,408.7349915
1997-09-09,411.9647547
1997-09-10,408.7999918
1997-09-11,403.202098
1997-09-12,403.7431861
1997-09-15,406.3186677
1997-09-16,407.542529
1997-09-17,409.503341
1997-09-18,410.6603285
1997-09-19,412.4891814
1997-09-22,413.4453766
1997-09-23,414.7562435
1997-09-24,420.9816487
1997-09-25,421.5216115
1997-09-26,421.7877711
1997-09-29,421.9348644
1997-09-30,424.079937
1997-10-01,425.3312961
1997-10-02,425.8595104
1997-10-03,427.3073042
1997-10-06,427.546463
1997-10-07,426.6538747
1997-10-08,428.1412618
1997-10-09,424.0957578
1997-10-10,423.226164
1997-10-13,425.0813021
1997-10-14,424.4553265
1997-10-15,424.5317291
1997-10-16,426.2629779
1997-10-17,421.2536414
1997-10-20,417.2981578
1997-10-21,418.6833842
1997-10-22,417.8541639
1997-10-23,407.2334555
1997-10-24,406.9470699
1997-10-27,401.0314685
1997-10-28,389.7671425
1997-10-29,403.181483
1997-10-30,399.487463
1997-10-31,403.4515815
1997-11-03,408.7563824
1997-11-04,407.8013356
