Date,PACIFIC ex JP MINIMUM VOLATILITY (JPY)
1988-05-31,319.10829263
1988-06-30,321.58008239
1988-07-29,334.04705366
1988-08-31,321.00652818
1988-09-30,318.25544683
1988-10-31,338.65368311
1988-11-30,339.04429701
1988-12-30,343.76519579
1989-01-31,371.02475324
1989-02-28,345.78217318
1989-03-31,353.42869207
1989-04-28,365.83125299
1989-05-31,352.62869864
1989-06-30,341.9911249
1989-07-31,369.60558899
1989-08-31,388.24814766
1989-09-29,396.32542315
1989-10-31,385.60170177
1989-11-30,390.77764457
1989-12-29,406.68939017
1990-01-31,407.95919617
1990-02-28,404.87255046
1990-03-30,395.8324594
1990-04-30,382.51296501
1990-05-31,419.70036214
1990-06-29,430.75138813
1990-07-31,449.70083059
1990-08-31,418.78586924
1990-09-28,382.47513499
1990-10-31,381.39287482
1990-11-30,376.90156013
1990-12-31,376.64218792
1991-01-31,402.95465994
1991-02-28,440.5658726
1991-03-29,443.40354975
1991-04-30,460.7448069
1991-05-31,468.20805228
1991-06-28,463.52308371
1991-07-31,485.51380047
1991-08-30,482.04752911
1991-09-30,482.73875833
1991-10-31,501.70655183
1991-11-29,503.35674422
1991-12-31,517.76564164
1992-01-31,521.82198838
1992-02-28,529.51664477
1992-03-31,529.62764723
1992-04-30,561.88352094
1992-05-29,597.99220416
1992-06-30,596.99063769
1992-07-31,587.61906653
1992-08-31,550.3447661
1992-09-30,542.13772983
1992-10-30,553.41478082
1992-11-30,551.25245235
1992-12-31,556.65915346
1993-01-29,562.59503006
1993-02-26,597.89729722
1993-03-31,610.23451802
1993-04-30,635.92871098
1993-05-31,652.87441779
1993-06-30,643.25918892
1993-07-30,671.03100851
1993-08-31,711.30834007
1993-09-30,708.68648645
1993-10-29,810.88850764
1993-11-30,781.17182769
1993-12-31,936.31405332
1994-01-31,917.86502265
1994-02-28,866.67367728
1994-03-31,791.53263567
1994-04-29,828.90122722
1994-05-31,861.91873401
1994-06-30,829.87498847
1994-07-29,856.15194748
1994-08-31,896.93216764
1994-09-30,868.8253334
1994-10-31,890.13622693
1994-11-30,841.08811707
1994-12-30,838.55478987
1995-01-31,779.96114948
1995-02-28,828.99605802
1995-03-31,845.41199605
1995-04-28,870.51837887
1995-05-31,922.25183411
1995-06-30,899.45744133
1995-07-31,927.06282847
1995-08-31,909.53813306
1995-09-29,924.01543377
1995-10-31,924.2314195
1995-11-30,932.84644371
1995-12-29,951.91878735
1996-01-31,1010.06537918
1996-02-29,1025.11430481
1996-03-29,1031.85778576
1996-04-30,1047.52496189
1996-05-31,1046.62245949
1996-06-28,1044.55296578
1996-07-31,1006.30607127
1996-08-30,1059.31375159
1996-09-30,1070.3462826
1996-10-31,1106.39365449
1996-11-29,1152.47436435
1996-12-31,1163.69335524
1997-01-01,1163.69335524
1997-01-02,1154.93206722
1997-01-03,1155.86152223
1997-01-06,1162.96022957
1997-01-07,1162.14734621
1997-01-08,1157.74876181
1997-01-09,1156.96345644
1997-01-10,1153.75688137
1997-01-13,1153.41988394
1997-01-14,1149.90604914
1997-01-15,1158.11321658
1997-01-16,1155.86896794
1997-01-17,1161.034261
1997-01-20,1165.96291562
1997-01-21,1157.67960079
1997-01-22,1160.04766718
1997-01-23,1160.24385715
1997-01-24,1152.25336093
1997-01-27,1144.6957606
1997-01-28,1137.49450125
1997-01-29,1137.38312028
1997-01-30,1137.04634442
1997-01-31,1138.94884054
1997-02-03,1144.3644061
1997-02-04,1141.20347609
1997-02-05,1147.99053811
1997-02-06,1149.57206354
1997-02-07,1149.7074797
1997-02-10,1148.15748471
1997-02-11,1147.60746472
1997-02-12,1150.59762536
1997-02-13,1155.12475559
1997-02-14,1146.50170803
1997-02-17,1151.90484347
1997-02-18,1149.12150452
1997-02-19,1152.06083914
1997-02-20,1161.8307163
1997-02-21,1160.10945269
1997-02-24,1161.70587707
1997-02-25,1164.29250232
1997-02-26,1156.75204477
1997-02-27,1156.11761938
1997-02-28,1153.94542132
1997-03-03,1154.7728462
1997-03-04,1155.91828442
1997-03-05,1152.72005677
1997-03-06,1151.10232481
1997-03-07,1150.92622424
1997-03-10,1148.92123825
1997-03-11,1157.58207454
1997-03-12,1154.96624554
1997-03-13,1147.02937064
1997-03-14,1139.71633878
1997-03-17,1140.12366215
1997-03-18,1126.60434266
1997-03-19,1125.71523013
1997-03-20,1119.93950814
1997-03-21,1113.49922099
1997-03-24,1119.56352708
