Date,NORTH AMERICA MINIMUM VOL (EUR)
2001-11-30,1000.0
2001-12-03,999.6092449657266
2001-12-04,1006.7801638491519
2001-12-05,1017.1861019652416
2001-12-06,1010.7968051399546
2001-12-07,1010.2721946514841
2001-12-10,1002.1529084618038
2001-12-11,996.4272577060107
2001-12-12,996.9781009291479
2001-12-13,988.7362086843433
2001-12-14,993.2851746512016
2001-12-17,999.915547371883
2001-12-18,1006.4555597757858
2001-12-19,1011.5914474881095
2001-12-20,1009.4179418839446
2001-12-21,1011.1653191458721
2001-12-24,1011.985553534073
2001-12-25,1011.985553534073
2001-12-26,1015.9112324920421
2001-12-27,1019.8497406953169
2001-12-28,1021.1036988718373
2001-12-31,1014.9657722261009
2002-01-01,1014.9657722261009
2002-01-02,1017.1520812727351
2002-01-03,1022.2150495872579
2002-01-04,1024.012321918582
2002-01-07,1020.4953401192075
2002-01-08,1016.5273431004605
2002-01-09,1013.0489628715245
2002-01-10,1013.8228477606622
2002-01-11,1010.7748720280413
2002-01-14,1010.9553758757587
2002-01-15,1018.5770474951097
2002-01-16,1010.1901512557664
2002-01-17,1013.0339524284026
2002-01-18,1006.2598119206511
2002-01-21,1005.8526698098304
2002-01-22,1005.9690403513979
2002-01-23,1009.7762506509097
2002-01-24,1008.8372663293216
2002-01-25,1010.001998299685
2002-01-28,1008.7258485129897
2002-01-29,992.4499792343668
2002-01-30,998.9589148841229
2002-01-31,1013.4990171472215
2002-02-01,1011.8472357928199
2002-02-04,999.2357827777926
2002-02-05,999.807403953985
2002-02-06,989.1933506477249
2002-02-07,988.3313513418318
2002-02-08,996.6914623958713
2002-02-11,1003.9913418227078
2002-02-12,1003.8792676313665
2002-02-13,1010.1785670910617
2002-02-14,1009.7282954675277
2002-02-15,1004.9127718322293
2002-02-18,1004.6530796721361
2002-02-19,992.0106098131156
2002-02-20,1000.0349116184411
2002-02-21,991.8070647632002
2002-02-22,999.3947060903085
2002-02-25,1008.5216348191863
2002-02-26,1010.2615601183544
2002-02-27,1012.3490706396867
2002-02-28,1010.7535753024565
2002-03-01,1026.911241340423
2002-03-04,1035.6596946908671
2002-03-05,1031.885626506396
2002-03-06,1044.1440262938347
2002-03-07,1040.01389330285
2002-03-08,1038.7065248970896
2002-03-11,1043.1495154002562
2002-03-12,1043.9168026298948
2002-03-13,1039.65017813203
2002-03-14,1038.9065486859304
2002-03-15,1049.7170581844402
2002-03-18,1053.1787159544872
2002-03-19,1055.8774990908903
2002-03-20,1046.109468510424
2002-03-21,1049.5345211805336
2002-03-22,1047.416619682245
2002-03-25,1039.7546869282844
2002-03-26,1041.5385885279436
2002-03-27,1049.0263352932973
2002-03-28,1049.4205582568695
2002-03-29,1049.4205582568695
