Date,NORTH AMERICA MINIMUM VOLATILITY (CAD)
2006-05-31,1000.0
2006-06-01,1011.3767107946079
2006-06-02,1015.3095463597522
2006-06-05,1003.6939252052766
2006-06-06,1001.4255984752223
2006-06-07,998.580903226488
2006-06-08,996.7806758302281
2006-06-09,997.3933334376998
2006-06-12,989.5428903838139
2006-06-13,978.0565352177424
2006-06-14,978.4682165840974
2006-06-15,992.9585647324055
2006-06-16,991.3113789749458
2006-06-19,983.9574726852904
2006-06-20,984.4252225966743
2006-06-21,992.3209772457791
2006-06-22,985.6925573052545
2006-06-23,985.868187230167
2006-06-26,989.8370240175957
2006-06-27,983.4245959435142
2006-06-28,987.0728511999253
2006-06-29,1004.1803170794069
2006-06-30,1006.1042078122517
2006-07-03,1012.6784014685924
2006-07-04,1014.2242620120464
2006-07-05,1007.8687616738597
2006-07-06,1009.6325214693601
2006-07-07,1006.6541751581394
2006-07-10,1008.8503208282945
2006-07-11,1012.5099620362877
2006-07-12,1006.2620020377304
2006-07-13,996.6352254162208
2006-07-14,994.4237549841024
2006-07-17,994.2769576117994
2006-07-18,997.788473848081
2006-07-19,1011.8728617770471
2006-07-20,1005.7765650735462
2006-07-21,1000.6552227749191
2006-07-24,1012.0747638389162
2006-07-25,1017.9875409751126
2006-07-26,1021.0128405114295
2006-07-27,1018.2927418278896
2006-07-28,1029.4439544559943
2006-07-31,1026.3678392681325
2006-08-01,1024.6498000334632
2006-08-02,1031.1283310460217
2006-08-03,1030.0135456209846
2006-08-04,1032.232087196041
2006-08-07,1027.830878090457
2006-08-08,1026.6495840651207
2006-08-09,1023.8348902298868
2006-08-10,1027.046507923556
2006-08-11,1024.582551604648
2006-08-14,1025.6028039990376
2006-08-15,1035.586708125845
2006-08-16,1039.3662241103789
2006-08-17,1040.3979691317456
2006-08-18,1041.831293975246
2006-08-21,1043.6595266497898
2006-08-22,1046.4820902850154
2006-08-23,1043.6466718844556
2006-08-24,1045.938359387723
2006-08-25,1045.0878369774575
2006-08-28,1050.6923841192433
2006-08-29,1051.9081020471983
2006-08-30,1053.2702092178852
2006-08-31,1054.6073977377093
2006-09-01,1059.3022492651112
2006-09-04,1059.2318600588615
2006-09-05,1059.441544589074
2006-09-06,1053.0851446192169
2006-09-07,1046.6266508824306
2006-09-08,1048.9793448219293
2006-09-11,1049.1274434330269
2006-09-12,1056.258845881019
2006-09-13,1058.217549496596
2006-09-14,1055.342741153703
2006-09-15,1057.9992768386242
2006-09-18,1055.475238310363
2006-09-19,1055.3609649806278
2006-09-20,1058.9471946508136
2006-09-21,1055.0271532555178
2006-09-22,1054.545065882268
2006-09-25,1062.0021046588527
2006-09-26,1066.677358262237
2006-09-27,1069.0740249708836
2006-09-28,1069.3549207325293
2006-09-29,1066.333163895082
2006-10-02,1064.9968320444489
2006-10-03,1065.1950873829362
2006-10-04,1073.9563660319338
2006-10-05,1076.1486707869014
2006-10-06,1072.3930309267976
2006-10-09,1075.3861111249835
2006-10-10,1075.9662370531125
2006-10-11,1073.2442077388873
2006-10-12,1080.5135210876276
2006-10-13,1083.8061067886708
