Date,WORLD MINIMUM VOLATILITY (GBP)
2001-05-31,1000.0
2001-06-01,1001.3952295491608
2001-06-04,1005.4887012768521
2001-06-05,1008.5425229464132
2001-06-06,1001.654155735952
2001-06-07,1004.5718887293002
2001-06-08,1002.1530120385358
2001-06-11,995.0461509504532
2001-06-12,994.3395342287156
2001-06-13,994.3712401435396
2001-06-14,991.8846057987996
2001-06-15,988.7582169494227
2001-06-18,984.3804035978234
2001-06-19,983.6321692802366
2001-06-20,984.9379846825916
2001-06-21,984.2937983707197
2001-06-22,982.084199177981
2001-06-25,980.1437521054539
2001-06-26,980.0263432934973
2001-06-27,974.7539412119153
2001-06-28,972.4669833196997
2001-06-29,976.3047515910467
2001-07-02,981.0771708267074
2001-07-03,977.3501614191134
2001-07-04,975.9588972507061
2001-07-05,970.0536441449208
2001-07-06,960.1873104527149
2001-07-09,962.4159283911466
2001-07-10,961.6075884563267
2001-07-11,961.0165570789601
2001-07-12,963.9381815879041
2001-07-13,965.6556895978806
2001-07-16,963.4073621014622
2001-07-17,962.2239993219848
2001-07-18,966.3150618628656
2001-07-19,972.8929123667061
2001-07-20,971.7161450760805
2001-07-23,959.7427228066879
2001-07-24,954.0809102011339
2001-07-25,960.7084799868959
2001-07-26,963.1596891501667
2001-07-27,964.1039166650148
2001-07-30,965.2154583034203
2001-07-31,973.7173081778806
2001-08-01,979.176902780676
2001-08-02,983.6867687330279
2001-08-03,979.7541173785444
2001-08-06,974.889293187606
2001-08-07,977.3935792777694
2001-08-08,970.5682976020134
2001-08-09,969.013024981397
2001-08-10,974.622214172875
2001-08-13,975.4925891270601
2001-08-14,979.8726141439704
2001-08-15,986.1662442627421
2001-08-16,985.1273175070054
2001-08-17,979.0357633708484
2001-08-20,979.4199019964395
2001-08-21,982.7410499282652
2001-08-22,988.8007905165815
2001-08-23,985.1679665910694
2001-08-24,991.7459100867937
2001-08-27,990.3587617500376
2001-08-28,982.5643218838131
2001-08-29,977.5534150188826
2001-08-30,966.5980024330815
2001-08-31,966.9786805961963
2001-09-03,961.2633483137313
2001-09-04,967.0456077791413
2001-09-05,963.5187165390128
2001-09-06,955.643488234122
2001-09-07,948.1817313894531
2001-09-10,941.5209964278007
2001-09-11,935.4003158017116
2001-09-12,928.8443931898864
2001-09-13,935.3437247768954
2001-09-14,931.4415388721318
2001-09-17,916.6795112455239
2001-09-18,915.9995852892708
2001-09-19,909.8893679165684
2001-09-20,888.5223082063501
2001-09-21,864.1290004412405
2001-09-24,878.3667199211134
2001-09-25,885.6177987437035
2001-09-26,888.8685453042474
2001-09-27,899.0531947840935
2001-09-28,914.6908320410345
2001-10-01,912.3302641978879
2001-10-02,921.7225668349095
2001-10-03,922.2286090964317
2001-10-04,928.8482315809175
2001-10-05,932.483908483206
2001-10-08,929.5688229511553
2001-10-09,922.1280251436151
2001-10-10,931.2120946828734
2001-10-11,933.7280165389632
2001-10-12,934.922526489562
2001-10-15,929.7158491212133
2001-10-16,933.1955936608526
2001-10-17,934.3256224986447
2001-10-18,921.906046577672
2001-10-19,917.6947962764426
2001-10-22,922.474675163524
2001-10-23,923.2451983469746
2001-10-24,922.0036578623842
2001-10-25,923.939443065711
2001-10-26,926.9751155701698
2001-10-29,919.108939305858
2001-10-30,910.6807971105773
2001-10-31,910.7657690980996
2001-11-01,922.1766330967195
2001-11-02,920.1069286544948
2001-11-05,926.5446281382859
2001-11-06,931.4320007591882
2001-11-07,929.9132032722687
2001-11-08,933.148073008619
2001-11-09,931.7752589997659
2001-11-12,925.7203545299086
2001-11-13,929.1023265418793
2001-11-14,925.4227925657322
2001-11-15,922.3009523275257
2001-11-16,924.3015520542126
2001-11-19,926.0943264664716
2001-11-20,929.4368423061587
2001-11-21,926.8467191340677
2001-11-22,928.5894002940059
2001-11-23,929.4548188021536
2001-11-26,930.6449338637938
2001-11-27,926.0234568038417
2001-11-28,920.7538298454741
2001-11-29,924.6484957430556
2001-11-30,932.1768118180422
2001-12-03,926.6846802188652
2001-12-04,931.7112436308166
2001-12-05,940.06524467858
2001-12-06,938.2522757799217
2001-12-07,932.6055973199171
