Date,KOKUSAI MINIMUM VOLATILITY (USD)
2001-11-30,1000.0
2001-12-03,997.8693583153279
2001-12-04,1004.392619256451
2001-12-05,1012.5565224052419
2001-12-06,1009.1149593732649
2001-12-07,1006.1141391663091
2001-12-10,999.102901094646
2001-12-11,994.0234189936538
2001-12-12,994.6186797731725
2001-12-13,989.098161880674
2001-12-14,990.9222208905885
2001-12-17,998.7758457282296
2001-12-18,1002.7449822543153
2001-12-19,1005.4629747001844
2001-12-20,1005.6493864227019
2001-12-21,1008.7031011383809
2001-12-24,1008.1281447653287
2001-12-25,1008.1281447653287
2001-12-26,1011.4349317542326
2001-12-27,1020.2714177349633
2001-12-28,1021.9161464465651
2001-12-31,1020.5372719013893
2002-01-01,1020.5372719013893
2002-01-02,1021.9974796754485
2002-01-03,1025.5512315036542
2002-01-04,1025.8075475185685
2002-01-07,1021.6402204800119
2002-01-08,1017.2021110997481
2002-01-09,1014.9130271005149
2002-01-10,1015.9630253251293
2002-01-11,1014.8850732043727
2002-01-14,1013.113664087821
2002-01-15,1019.3983631517506
2002-01-16,1010.9347372886355
2002-01-17,1013.5471412797974
2002-01-18,1009.6947351522246
2002-01-21,1009.9004281814994
2002-01-22,1011.2373590988211
2002-01-23,1015.7283575127354
2002-01-24,1013.287665855541
2002-01-25,1009.0438780808397
2002-01-28,1008.9084176739594
2002-01-29,997.8821500301873
2002-01-30,998.3879685164559
2002-01-31,1011.2117520043151
2002-02-01,1011.953817915038
2002-02-04,1005.8588371649619
2002-02-05,1004.3460038790614
2002-02-06,998.2014042371745
2002-02-07,996.472719664396
2002-02-08,1002.4396166171822
2002-02-11,1010.327708768985
2002-02-12,1011.1600553727361
2002-02-13,1016.590690592385
2002-02-14,1019.3478522230852
2002-02-15,1017.8234052167087
2002-02-18,1015.6950117387353
2002-02-19,1006.2532808448186
2002-02-20,1009.5033889623797
2002-02-21,1004.9545751168928
2002-02-22,1011.5330128764828
2002-02-25,1016.7709878639599
2002-02-26,1018.431604892063
2002-02-27,1022.138984385809
2002-02-28,1022.1847125165114
2002-03-01,1034.164643663601
2002-03-04,1042.8547936754399
2002-03-05,1038.807829755415
2002-03-06,1047.5871669290584
2002-03-07,1048.572694356271
2002-03-08,1046.3737470025949
2002-03-11,1048.7726035308376
2002-03-12,1048.0445509317847
2002-03-13,1047.128569285347
2002-03-14,1049.6735061607665
2002-03-15,1056.6068014267819
2002-03-18,1058.8649518197494
2002-03-19,1061.86784347427
2002-03-20,1056.104147684216
2002-03-21,1056.143303519442
2002-03-22,1056.3202993354778
2002-03-25,1049.8078447396922
2002-03-26,1049.6619425046645
2002-03-27,1054.1678706285934
2002-03-28,1058.4796348004731
2002-03-29,1058.4796348004731
2002-04-01,1061.9258691538698
2002-04-02,1059.774570263148
2002-04-03,1053.6619696462442
2002-04-04,1049.790397759907
2002-04-05,1047.3669666063408
2002-04-08,1043.66557325849
2002-04-09,1041.1292875854426
2002-04-10,1051.4545518770549
2002-04-11,1040.746996353075
2002-04-12,1043.3847831651233
2002-04-15,1042.291439965276
2002-04-16,1052.5601587016074
2002-04-17,1053.6700302855936
2002-04-18,1054.938397138844
2002-04-19,1058.66100665938
2002-04-22,1052.5676901942807
2002-04-23,1050.7202943959328
2002-04-24,1049.2244362045478
2002-04-25,1048.9351298389936
2002-04-26,1045.407853159361
2002-04-29,1039.7069079454916
2002-04-30,1045.1805155480401
2002-05-01,1055.3953663670964
2002-05-02,1055.738632516097
2002-05-03,1056.0572552605609
2002-05-06,1047.7492147584599
2002-05-07,1040.0817879961294
2002-05-08,1054.6649243705251
2002-05-09,1048.5636093147298
2002-05-10,1044.51199361713
2002-05-13,1053.3648736541452
2002-05-14,1058.625993907912
2002-05-15,1057.3592133597408
2002-05-16,1060.9831050447299
2002-05-17,1067.1681959171763
2002-05-20,1062.782820229569
2002-05-21,1059.8683856837536
2002-05-22,1065.7089267208373
2002-05-23,1069.2563333246278
2002-05-24,1062.6290803311342
2002-05-27,1061.2787703864717
2002-05-28,1061.836231763284
2002-05-29,1059.3146965764738
2002-05-30,1056.001750524569
2002-05-31,1057.9662645552046
2002-06-03,1048.8811022078685
2002-06-04,1045.6550823994155
2002-06-05,1044.5713923662408
2002-06-06,1037.2155830809227
2002-06-07,1034.8716202087955
2002-06-10,1037.0355626571654
2002-06-11,1030.3380422683888
2002-06-12,1027.5327000522566
2002-06-13,1020.4412808713702
2002-06-14,1013.3642809567235
2002-06-17,1031.3154996070587
2002-06-18,1033.59661407211
2002-06-19,1027.098874291655
2002-06-20,1024.6893565130304
2002-06-21,1017.1792750495242
2002-06-24,1013.6503993625914
2002-06-25,1009.0647527193014
2002-06-26,1008.7024902964095
2002-06-27,1017.7341642225218
2002-06-28,1025.1688718547705
2002-07-01,1015.877431671299
2002-07-02,1001.8814466835543
2002-07-03,994.6368297447623
2002-07-04,998.4029998361106
2002-07-05,1016.5879916169214
2002-07-08,1017.8691346000797
2002-07-09,1004.2697286554647
2002-07-10,980.6122941324134
2002-07-11,969.4241700823142
2002-07-12,964.4674726120692
2002-07-15,953.9530401717127
2002-07-16,942.4561500474226
2002-07-17,946.4234992552997
2002-07-18,934.2366615441457
2002-07-19,905.0512622855272
2002-07-22,879.5726068303768
2002-07-23,861.2570429725247
2002-07-24,882.8980265390444
2002-07-25,899.3576033613465
2002-07-26,904.5189474769368
2002-07-29,933.5255370518336
2002-07-30,941.622336788689
2002-07-31,954.4317419303468
2002-08-01,934.0760214840536
2002-08-02,931.213357640677
2002-08-05,911.5612769326721
2002-08-06,919.7163462976382
2002-08-07,931.2777906957974
2002-08-08,951.7334653730438
2002-08-09,957.5496207899652
2002-08-12,954.7962218375831
2002-08-13,948.4914698106994
2002-08-14,964.7491621819947
2002-08-15,971.852924760854
2002-08-16,972.3310136500089
2002-08-19,978.6907349257922
2002-08-20,966.6064533991488
2002-08-21,975.4011547592354
2002-08-22,982.8499425680284
2002-08-23,971.3604000143138
2002-08-26,977.3216685560785
2002-08-27,977.5117908785625
2002-08-28,964.5190411087906
2002-08-29,960.7289159361748
2002-08-30,963.3273016597154
2002-09-02,961.4814413021581
2002-09-03,939.7378538617226
2002-09-04,946.4010076015408
2002-09-05,942.9447812429357
2002-09-06,951.7045652363491
