Date,WORLD ex EMU MINIMUM VOLATILITY (EUR)
2001-05-31,1000.0
2001-06-01,1002.0345071358332
2001-06-04,1005.9892758327139
2001-06-05,1008.7702816512076
2001-06-06,1001.7355693847366
2001-06-07,1003.8647708437528
2001-06-08,1001.1693678100288
2001-06-11,994.4679895944563
2001-06-12,993.6421217153346
2001-06-13,992.1063024683502
2001-06-14,987.432007432166
2001-06-15,984.0577291663263
2001-06-18,980.5659535923726
2001-06-19,980.7081398612358
2001-06-20,982.1812000090969
2001-06-21,982.7834035280742
2001-06-22,979.122940473201
2001-06-25,975.9177228288056
2001-06-26,976.2572518208967
2001-06-27,970.0023079648116
2001-06-28,970.4413846985797
2001-06-29,972.6508181126286
2001-07-02,978.1062911217864
2001-07-03,976.2069878752696
2001-07-04,975.2636984472006
2001-07-05,968.3508794837763
2001-07-06,956.9865900636707
2001-07-09,958.7348974210008
2001-07-10,958.0038309868788
2001-07-11,958.0952188444721
2001-07-12,963.7749327360403
2001-07-13,964.8877992062047
2001-07-16,962.6018460346644
2001-07-17,962.4430707741948
2001-07-18,966.7725739811473
2001-07-19,972.5605055028323
2001-07-20,969.8578055664326
2001-07-23,955.8049395458557
2001-07-24,948.3906565701218
2001-07-25,957.1542164911153
2001-07-26,958.9834023422678
2001-07-27,958.4881887509696
2001-07-30,958.5098206257419
2001-07-31,966.6033633375729
2001-08-01,972.4553018780186
2001-08-02,979.4894475940996
2001-08-03,975.7020614467185
2001-08-06,969.944475814535
2001-08-07,973.5487077660613
2001-08-08,967.0816305417735
2001-08-09,964.7584238201877
2001-08-10,970.3227536238417
2001-08-13,969.9413024245582
2001-08-14,973.9884346936477
2001-08-15,978.5903920010895
2001-08-16,976.908899245274
2001-08-17,970.7180208219934
2001-08-20,971.543734690776
2001-08-21,973.6875040963095
2001-08-22,977.6803749540865
2001-08-23,973.2374886330883
2001-08-24,979.64229348184
2001-08-27,978.6777684274833
2001-08-28,970.699884714576
2001-08-29,963.8475729040315
2001-08-30,954.5363107268836
2001-08-31,954.4739664384122
2001-09-03,948.3944367947133
2001-09-04,956.7117864171394
2001-09-05,955.3543428249035
2001-09-06,946.6959435016043
2001-09-07,937.425522496002
2001-09-10,933.3097089919127
2001-09-11,930.3709455153139
2001-09-12,925.5226029142839
2001-09-13,931.0090685835097
2001-09-14,931.1620384225165
2001-09-17,913.0969269427417
2001-09-18,912.7239331230388
2001-09-19,908.4855487093861
2001-09-20,889.1099829597766
2001-09-21,867.3718102264683
2001-09-24,878.1929833767896
2001-09-25,885.4954918456252
2001-09-26,886.1039036498056
2001-09-27,893.8508341253375
2001-09-28,910.1558814619445
2001-10-01,907.7567614903126
2001-10-02,915.9400129193768
2001-10-03,916.2154400788522
2001-10-04,920.8421332919721
2001-10-05,925.600832869718
2001-10-08,922.3479630471332
2001-10-09,914.9238665610151
2001-10-10,922.6276293106129
2001-10-11,926.7399115050723
2001-10-12,926.7280853733033
2001-10-15,923.4707938333244
2001-10-16,926.3967789765259
2001-10-17,926.2362096071236
2001-10-18,915.07936102731
2001-10-19,913.7542149603854
2001-10-22,918.9927222752711
2001-10-23,917.5428975694274
2001-10-24,915.5628832724116
2001-10-25,920.1094186456336
2001-10-26,922.6370722749012
2001-10-29,913.5195067950352
2001-10-30,905.4688138159657
2001-10-31,904.6118471006562
2001-11-01,915.3175673326256
2001-11-02,914.7286314122063
2001-11-05,920.4330097225352
2001-11-06,927.5111516359062
2001-11-07,924.6647710672561
2001-11-08,927.970648692651
2001-11-09,927.2720632713539
2001-11-12,923.3682659955714
2001-11-13,926.1773135154496
2001-11-14,924.7487647152994
2001-11-15,926.0218810474885
2001-11-16,926.7561473328644
2001-11-19,928.3597470684638
2001-11-20,931.1299594769872
2001-11-21,928.6845088681407
2001-11-22,929.8664284646487
2001-11-23,931.2950783599684
2001-11-26,933.9973078811116
2001-11-27,930.1394961090148
2001-11-28,923.43042020309
2001-11-29,927.3133319440918
2001-11-30,933.0982312001364
2001-12-03,927.791069599625
2001-12-04,932.7604241270911
2001-12-05,941.4737506659293
2001-12-06,939.2046686893777
2001-12-07,934.5610539525721
2001-12-10,924.3818362632078
2001-12-11,919.7356712402607
2001-12-12,922.9769183350758
2001-12-13,915.3352157243366
2001-12-14,916.4474657696991
2001-12-17,918.6627499016738
2001-12-18,925.7239127929753
2001-12-19,928.7365029665475
2001-12-20,930.2058557300804
2001-12-21,930.2858786569102
2001-12-24,929.8146592192354
2001-12-25,929.1526866506108
2001-12-26,930.4795826265045
2001-12-27,937.4513650501233
2001-12-28,940.4199615481798
2001-12-31,938.3083053526142
2002-01-01,938.3083053526142
2002-01-02,939.4335908805531
2002-01-03,942.4896792862886
2002-01-04,946.7034325648748
2002-01-07,943.4821529649001
2002-01-08,934.9774787173869
2002-01-09,932.5291710292147
2002-01-10,931.2436123149573
2002-01-11,929.4285617655571
2002-01-14,929.0169082300121
2002-01-15,931.3487714711878
2002-01-16,924.3229431182787
