Date,FAR EAST MINIMUM VOLATILITY (USD)
2001-05-31,1000.0
2001-06-01,997.9863134206863
2001-06-04,999.8504919165389
2001-06-05,993.9512111335324
2001-06-06,991.9786019705562
2001-06-07,999.4115982822742
2001-06-08,995.0666246213726
2001-06-11,981.2832474578347
2001-06-12,964.101525634324
2001-06-13,966.4413544003721
2001-06-14,966.6817092625548
2001-06-15,959.5973518906534
2001-06-18,955.5662648179666
2001-06-19,953.4665799745495
2001-06-20,952.1597367260451
2001-06-21,959.7518585103865
2001-06-22,966.5350266494175
2001-06-25,963.8671151433678
2001-06-26,969.3555461959575
2001-06-27,962.660534031037
2001-06-28,952.5387391441874
2001-06-29,966.857407767296
2001-07-02,962.8990302132764
2001-07-03,967.0421240334474
2001-07-04,962.0322371045309
2001-07-05,956.4850286531561
2001-07-06,942.6954446150384
2001-07-09,940.2029724199597
2001-07-10,945.6872030943346
2001-07-11,940.9790774110636
2001-07-12,952.9817542327274
2001-07-13,943.0445039505532
2001-07-16,940.7361597952163
2001-07-17,933.1601648491695
2001-07-18,924.9666126509547
2001-07-19,927.6814129710622
2001-07-20,931.0549535106978
2001-07-23,909.0346516497309
2001-07-24,917.6058503377828
2001-07-25,923.1645168992025
2001-07-26,922.4563296574237
2001-07-27,924.9197954746224
2001-07-30,913.9099542936893
2001-07-31,929.845682593673
2001-08-01,934.436508831942
2001-08-02,951.2934952318163
2001-08-03,941.5247378138799
2001-08-06,941.8011606156427
2001-08-07,948.0706222978306
2001-08-08,946.372849671877
2001-08-09,928.9673481752292
2001-08-10,936.9290509252108
2001-08-13,928.5546319044633
2001-08-14,950.085399835557
2001-08-15,961.5947140282219
2001-08-16,953.0131430287203
2001-08-17,952.0587344093013
2001-08-20,942.8277356346001
2001-08-21,950.749976633965
2001-08-22,959.2504935042141
2001-08-23,951.0338504888985
2001-08-24,947.8637804808106
2001-08-27,950.6939331504252
2001-08-28,943.9688588332236
2001-08-29,935.9177366138549
2001-08-30,924.1770256186694
2001-08-31,924.7256970332795
2001-09-03,909.8920060333571
2001-09-04,922.4529276454124
2001-09-05,904.4266385720532
2001-09-06,899.1347258479432
2001-09-07,898.4820553245086
2001-09-10,878.1838663431656
2001-09-11,893.2762713104362
2001-09-12,836.9606576143282
2001-09-13,852.1157489638445
2001-09-14,876.3676763442096
2001-09-17,840.6284968037223
2001-09-18,847.0881079273302
2001-09-19,862.975400500834
2001-09-20,856.3650396298298
2001-09-21,833.1915375868011
2001-09-24,830.5039415880996
2001-09-25,836.351918759466
