Date,WORLD ex EUROPE MINIMUM VOLATILITY (EUR)
2001-05-31,1000.0
2001-06-01,1001.1481961519842
2001-06-04,1005.3255008624529
2001-06-05,1007.3988765436646
2001-06-06,1000.198302208687
2001-06-07,1003.147312577807
2001-06-08,1000.8537031495327
2001-06-11,995.2531153034533
2001-06-12,992.903138442776
2001-06-13,988.3577344491431
2001-06-14,981.6481241766796
2001-06-15,977.3992206760138
2001-06-18,974.2538222284417
2001-06-19,975.3796959285646
2001-06-20,978.8338570626454
2001-06-21,979.7825460543297
2001-06-22,976.0692815056727
2001-06-25,970.6417400409977
2001-06-26,973.5899186189124
2001-06-27,967.1762457285887
2001-06-28,967.807906866324
2001-06-29,970.0068833788857
2001-07-02,974.5819211439057
2001-07-03,974.2758035256351
2001-07-04,973.5683424006771
2001-07-05,966.5460017888167
2001-07-06,952.0952227045772
2001-07-09,954.4708574902065
2001-07-10,953.7907218952641
2001-07-11,953.1777905225931
2001-07-12,961.3449110180252
2001-07-13,962.641834204338
2001-07-16,959.1069067833739
2001-07-17,961.5001438907502
2001-07-18,962.8545293487487
2001-07-19,966.6105676366777
2001-07-20,963.651773922262
2001-07-23,948.9928609253942
2001-07-24,941.3812363421117
2001-07-25,952.9306549714795
2001-07-26,954.542813446256
2001-07-27,951.9913268588435
2001-07-30,950.7354052614057
2001-07-31,959.2934310668494
2001-08-01,963.9366578542301
2001-08-02,971.9765778090377
2001-08-03,967.9717668962138
2001-08-06,962.5882494908033
2001-08-07,966.9889267312047
2001-08-08,959.9984545100816
2001-08-09,957.6835165868465
2001-08-10,964.2748650372534
2001-08-13,961.9129549795719
2001-08-14,965.9741218708668
2001-08-15,969.4638482535958
2001-08-16,968.9244913119302
2001-08-17,962.6700860174891
2001-08-20,964.7536002696237
2001-08-21,964.8850255480115
2001-08-22,969.8651883908232
2001-08-23,966.2926798219431
2001-08-24,972.0141548768078
2001-08-27,971.4896687789502
2001-08-28,963.4644158384491
2001-08-29,957.2439789451024
2001-08-30,948.2084285343058
2001-08-31,945.6689197623102
2001-09-03,940.5612211850523
2001-09-04,951.4142621065694
2001-09-05,949.7326850645492
2001-09-06,939.9159513707002
2001-09-07,929.7410378259583
2001-09-10,928.5855121047663
2001-09-11,934.083695977001
2001-09-12,921.1735136523635
2001-09-13,924.7079701010092
2001-09-14,930.2571701967505
2001-09-17,901.6009004583882
2001-09-18,903.8874361903033
2001-09-19,898.9725736606008
2001-09-20,882.6633849617848
2001-09-21,863.999080986581
2001-09-24,872.2605158848518
2001-09-25,877.8731706957636
2001-09-26,877.4134673808529
2001-09-27,884.1769693119296
2001-09-28,899.9633062186492
2001-10-01,901.1545292250244
2001-10-02,909.8391819451342
2001-10-03,909.0577524305388
2001-10-04,911.9399750160536
2001-10-05,917.3561146585411
2001-10-08,913.4129408495098
2001-10-09,905.8547039489254
2001-10-10,914.0606627623854
2001-10-11,918.7000297822168
2001-10-12,918.859069583028
2001-10-15,917.375739144449
2001-10-16,921.4571012584071
2001-10-17,918.2019985129879
2001-10-18,906.2579326597921
2001-10-19,908.022715458573
2001-10-22,914.2188686278155
2001-10-23,912.2129769119425
2001-10-24,909.820524561208
2001-10-25,917.3072159194006
2001-10-26,917.0898027575627
2001-10-29,907.4734140015133
2001-10-30,898.9401371344007
2001-10-31,896.7095556814727
2001-11-01,908.1507333424577
2001-11-02,907.4705762535984
2001-11-05,913.091796750557
2001-11-06,922.983688305371
2001-11-07,917.8063219806771
2001-11-08,920.8100747427223
2001-11-09,920.6717331242957
2001-11-12,919.0366851925825
2001-11-13,922.4962915350402
2001-11-14,921.0737814494443
2001-11-15,923.7827954989497
2001-11-16,922.275666300246
2001-11-19,925.245791472913
2001-11-20,928.8810768337667
2001-11-21,926.1159310283073
2001-11-22,925.2399255333526
2001-11-23,930.2488787761441
2001-11-26,934.878033130359
2001-11-27,931.1499460265504
2001-11-28,922.6350220376455
2001-11-29,927.1293343962947
2001-11-30,932.7005150232158
2001-12-03,928.1800367795453
2001-12-04,932.4275567120233
2001-12-05,942.3302174163626
2001-12-06,938.9232162384792
2001-12-07,935.4704519392138
2001-12-10,924.6192041089306
2001-12-11,919.6756473270146
2001-12-12,922.6206097825578
2001-12-13,913.5705646362787
2001-12-14,915.629450444291
2001-12-17,916.7830852832265
2001-12-18,924.3573137889829
2001-12-19,929.4521431400229
2001-12-20,929.1852238873064
2001-12-21,927.5427618472352
2001-12-24,928.9962958551173
2001-12-25,928.2760956459945
2001-12-26,929.3798627903204
2001-12-27,934.6698859522674
2001-12-28,937.5323787612951
2001-12-31,933.4332592073939
2002-01-01,933.4332592073939
2002-01-02,934.5108275508416
2002-01-03,937.430325955246
2002-01-04,943.4566920076511
2002-01-07,940.4328228072702
2002-01-08,932.5186141019802
2002-01-09,928.6063420155617
2002-01-10,926.6788918193143
2002-01-11,924.5704711678898
2002-01-14,925.0451808107226
2002-01-15,927.9331103488544
2002-01-16,921.0091057675866
2002-01-17,921.8180737329789
2002-01-18,919.5311234383062
2002-01-21,919.8301758453105
2002-01-22,915.6737579948457
2002-01-23,916.2673190751306
2002-01-24,915.5912507594479
2002-01-25,917.8954246276371
2002-01-28,919.2919712271257
2002-01-29,904.061492684147
2002-01-30,906.4005971815689
2002-01-31,917.5383207540494
2002-02-01,913.4903034567044
2002-02-04,904.5809236060385
2002-02-05,900.9690921206482
2002-02-06,893.9450156975854
2002-02-07,896.0788063902146
2002-02-08,903.7195071515242
2002-02-11,911.1235075317667
2002-02-12,914.988134999634
2002-02-13,920.4711098248727
2002-02-14,923.3647710633687
2002-02-15,920.3029531236688
2002-02-18,920.1360322754524
2002-02-19,906.8962701552198
2002-02-20,913.9867088453188
2002-02-21,911.6651640564568
2002-02-22,919.5759276762212
2002-02-25,924.3761268121034
2002-02-26,924.141377970827
2002-02-27,927.770932177469
2002-02-28,927.261151113914
2002-03-01,942.5254094837518
2002-03-04,956.7612674720856
2002-03-05,951.8718245461076
2002-03-06,962.2244021398876
2002-03-07,966.5053262773181
2002-03-08,965.3180508412328
2002-03-11,970.0063722348922
2002-03-12,966.9180315240673
2002-03-13,959.6858283739098
2002-03-14,963.2416474443146
2002-03-15,971.4841249552247
2002-03-18,969.5467449084636
2002-03-19,977.0335202729616
2002-03-20,968.2109992682002
2002-03-21,968.3461626985458
2002-03-22,963.7173259077623
2002-03-25,958.1420598075023
2002-03-26,958.8340506110326
2002-03-27,964.9564183226793
2002-03-28,966.5927519346092
2002-03-29,963.5766881320994
2002-04-01,961.6090255847589
2002-04-02,961.9662838733905
2002-04-03,957.8749082024973
2002-04-04,959.1536076480878
2002-04-05,957.6851248726741
2002-04-08,957.7052377396802
