Date,WORLD MINIMUM VOLATILITY (AUD)
2001-05-31,1000.0
2001-06-01,1001.6970206837317
2001-06-04,1005.4101196070729
2001-06-05,1009.6912044750785
2001-06-06,1003.1526020744693
2001-06-07,1006.0543099217062
2001-06-08,1003.8084034287367
2001-06-11,996.2832328391924
2001-06-12,993.4732261242525
2001-06-13,992.5977587262612
2001-06-14,987.1661242124276
2001-06-15,983.1877752782278
2001-06-18,978.4869921723259
2001-06-19,977.762117386688
2001-06-20,976.4933080667919
2001-06-21,977.3971969998248
2001-06-22,976.2542487768252
2001-06-25,974.0738995589587
2001-06-26,973.81466347575
2001-06-27,968.8330687803708
2001-06-28,968.1028628405868
2001-06-29,973.0702219391758
2001-07-02,978.494847938618
2001-07-03,976.8508800567861
2001-07-04,975.7688609845311
2001-07-05,968.4566016292946
2001-07-06,956.3098166146603
2001-07-09,958.2828048359597
2001-07-10,957.6557820832129
2001-07-11,956.8102353905274
2001-07-12,962.9764442822868
2001-07-13,964.7997439802579
2001-07-16,961.0942981600024
2001-07-17,959.8708761617315
2001-07-18,962.4385098296841
2001-07-19,968.909598121111
2001-07-20,966.9284121030328
2001-07-23,954.7443319979848
2001-07-24,948.3871920618034
2001-07-25,954.8990233727094
2001-07-26,958.7854572507546
2001-07-27,961.6179331061347
2001-07-30,962.0772455517904
2001-07-31,969.5703731195396
2001-08-01,975.5003161887289
2001-08-02,980.5186577499449
2001-08-03,976.1533428792078
2001-08-06,970.9418859735517
2001-08-07,972.8237468632602
2001-08-08,964.7688087603173
2001-08-09,962.9366767613154
2001-08-10,968.0403597496131
2001-08-13,968.6927979659614
2001-08-14,972.427127366636
2001-08-15,977.8928223732075
2001-08-16,977.1686427683181
2001-08-17,971.0949779837549
2001-08-20,970.4819634837918
2001-08-21,972.7828542649265
2001-08-22,978.4188489936348
2001-08-23,975.4675606074247
2001-08-24,983.5098921444119
2001-08-27,982.2063857758682
2001-08-28,973.7132631972534
2001-08-29,967.0696487027591
2001-08-30,955.7696150229086
2001-08-31,956.4567667487603
2001-09-03,951.1224225975873
2001-09-04,955.6845966167057
2001-09-05,951.1291330023865
2001-09-06,941.7271128854618
2001-09-07,933.3356476867087
2001-09-10,926.4529537028154
2001-09-11,922.3522457904339
2001-09-12,914.1427871860551
2001-09-13,919.058373193962
2001-09-14,916.0002747799668
2001-09-17,895.1342562290923
2001-09-18,894.213192963182
2001-09-19,889.0234346313588
2001-09-20,868.6431219849673
2001-09-21,845.6208582556224
2001-09-24,861.4258983383621
2001-09-25,867.611896716804
2001-09-26,867.9016072808848
2001-09-27,876.1494299950192
2001-09-28,891.7387688248866
2001-10-01,889.1602161850026
2001-10-02,897.9997079869562
2001-10-03,899.4225892576602
2001-10-04,906.4398007678706
2001-10-05,910.7302111407923
2001-10-08,907.6801214000606
2001-10-09,901.0596122191779
2001-10-10,908.9554437026927
2001-10-11,913.9748908146197
2001-10-12,914.5741409654577
2001-10-15,909.3529560611339
2001-10-16,913.396878598451
2001-10-17,912.6612907409699
2001-10-18,899.5421143538707
2001-10-19,896.1669412200152
2001-10-22,900.8485821078552
2001-10-23,902.8334864640857
2001-10-24,902.0310177848593
2001-10-25,905.491545441191
2001-10-26,909.3068757117761
2001-10-29,900.0170968994537
2001-10-30,891.0187117762181
2001-10-31,891.6238646698899
2001-11-01,902.4689944442736
2001-11-02,901.4487947468069
2001-11-05,908.0314087628208
2001-11-06,913.9904065606693
2001-11-07,912.0827737484768
2001-11-08,915.4590477954227
2001-11-09,914.7817799589399
2001-11-12,909.726486118601
2001-11-13,914.9949132063757
2001-11-14,914.3729650874656
2001-11-15,913.7336611852596
2001-11-16,914.563752607632
2001-11-19,916.883109408201
2001-11-20,918.2130977940626
2001-11-21,914.4336360861693
2001-11-22,916.3453286214229
2001-11-23,918.0087806546584
2001-11-26,920.4725436409564
2001-11-27,916.7674115513191
2001-11-28,909.8407156465101
2001-11-29,914.1077123942732
2001-11-30,921.3566428709935
2001-12-03,915.3295948828746
2001-12-04,920.9461183433452
2001-12-05,931.5724614036042
2001-12-06,930.5217187841894
2001-12-07,924.854883501281
2001-12-10,913.6850014167999
2001-12-11,909.2791277238971
2001-12-12,913.1166334229057
2001-12-13,903.6914366863843
2001-12-14,904.207429143446
2001-12-17,908.1555703832452
2001-12-18,913.8974731433191
2001-12-19,914.9365100202567
2001-12-20,914.9960219559489
2001-12-21,915.320809933311
2001-12-24,915.182614646378
2001-12-25,914.5328414662355
2001-12-26,915.9811042537824
2001-12-27,924.8602577182132
2001-12-28,928.2192638279467
2001-12-31,927.2809672426775
2002-01-01,927.2809672426775
2002-01-02,928.7550448374718
2002-01-03,933.3784646558703
2002-01-04,937.637700321139
2002-01-07,934.7867025680986
2002-01-08,926.6822126519809
2002-01-09,924.3206417563129
2002-01-10,922.0558288027062
2002-01-11,920.2587405389858
2002-01-14,918.4096970372239
2002-01-15,920.8009937599809
2002-01-16,912.3663520940781
2002-01-17,914.248414612507
2002-01-18,913.5974784077479
2002-01-21,913.7726088979388
2002-01-22,910.1422628749725
2002-01-23,912.2863115353404
2002-01-24,913.0085839662083
2002-01-25,912.2463152750738
2002-01-28,914.8694459551928
2002-01-29,902.8591987902734
2002-01-30,902.0556236000265
2002-01-31,912.846074379011
2002-02-01,911.0875742046929
2002-02-04,905.3647730047262
2002-02-05,900.4265608058782
2002-02-06,895.9086050592941
2002-02-07,897.433729962476
2002-02-08,904.3696176762593
2002-02-11,912.5705479187335
2002-02-12,916.0913554599364
2002-02-13,921.5225053303245
2002-02-14,925.0959284453264
2002-02-15,923.0197443891386
2002-02-18,921.3010284184335
