Date,KENYA SMALL CAP
2010-11-30,1000.0
2010-12-01,1000.4109248475573
2010-12-02,1009.4451933317218
2010-12-03,988.2118730074662
2010-12-06,987.4268321982024
2010-12-07,981.1803146344917
2010-12-08,991.8775573806328
2010-12-09,995.1496876155207
2010-12-10,984.1951999859615
2010-12-13,973.1621863489145
2010-12-14,973.5108336689134
2010-12-15,968.3112741935649
2010-12-16,980.7467848417729
2010-12-17,983.6834402906217
2010-12-20,984.6598722125411
2010-12-21,975.8825008545069
2010-12-22,976.3955796912825
2010-12-23,984.5144500922107
2010-12-24,992.8106479714935
2010-12-27,989.4034220542558
2010-12-28,987.7405322252579
2010-12-29,994.7207808500183
2010-12-30,984.8484525059104
2010-12-31,993.8338875991096
2011-01-03,1022.03687690766
2011-01-04,1011.5642728242443
2011-01-05,1028.4646975743908
2011-01-06,1057.6493220484508
2011-01-07,1067.0329195431887
2011-01-10,1068.2243118816637
2011-01-11,1065.2820335295828
2011-01-12,1031.0232803658528
2011-01-13,1016.1298047177601
2011-01-14,1013.5698487404746
2011-01-17,1015.0549425197011
2011-01-18,1008.5752684515942
2011-01-19,995.9217884101383
2011-01-20,999.3748535217682
2011-01-21,989.171378136263
2011-01-24,970.113142467968
2011-01-25,975.4182150890329
2011-01-26,977.3828829874889
2011-01-27,979.8972747531286
2011-01-28,990.6761608161783
2011-01-31,971.2261500762849
2011-02-01,955.2059735605196
2011-02-02,947.3701852622764
2011-02-03,952.2987701277021
2011-02-04,960.6057902170066
2011-02-07,960.0230310221135
2011-02-08,946.5381932951049
2011-02-09,935.5227578829399
2011-02-10,939.1764126821943
2011-02-11,939.9418103967475
2011-02-14,949.1395023045058
2011-02-15,928.026821619748
2011-02-16,921.9251528449148
2011-02-17,910.4736883895621
2011-02-18,895.8864921345216
2011-02-21,895.8694554574005
2011-02-22,899.729652813803
2011-02-23,896.4452721578368
2011-02-24,895.1251745181966
2011-02-25,892.8257018031896
2011-02-28,882.2891437719574
2011-03-01,870.7404594149933
2011-03-02,868.3007807793676
2011-03-03,862.5125444793404
2011-03-04,852.9777826700641
2011-03-07,845.6736679626924
2011-03-08,841.427913872067
2011-03-09,815.5065905767309
2011-03-10,795.3464398089251
2011-03-11,784.9691105004819
2011-03-14,789.8769598081323
2011-03-15,807.2218612824083
2011-03-16,816.4640850549854
2011-03-17,795.2822034982055
2011-03-18,794.5834286382856
2011-03-21,777.2951056915804
2011-03-22,767.5789877823964
2011-03-23,768.4378898163883
2011-03-24,760.3389087061752
2011-03-25,775.3715716089296
2011-03-28,779.3756847372756
2011-03-29,786.1294341700552
2011-03-30,793.1869418286338
2011-03-31,786.9582533210317
2011-04-01,790.8951316683498
2011-04-04,786.3102891402364
2011-04-05,796.6088241728211
2011-04-06,784.2183283160151
2011-04-07,782.7026321865347
2011-04-08,779.6579218377792
2011-04-11,774.7028563476703
2011-04-12,772.3421940924952
2011-04-13,771.8675445666983
2011-04-14,782.8403469779668
2011-04-15,798.284362392095
2011-04-18,812.8057078406435
2011-04-19,806.6356179613874
2011-04-20,792.0260635353535
2011-04-21,791.060540754451
2011-04-22,791.060540754451
2011-04-25,793.5214792363589
2011-04-26,792.1315689626758
2011-04-27,790.790256973734
2011-04-28,783.2365260401651
2011-04-29,782.9416261737481
2011-05-02,780.9606006844173
2011-05-03,787.7782777916283
2011-05-04,785.9684216916407
2011-05-05,811.4468521471337
2011-05-06,823.3493289087528
2011-05-09,827.9781970889821
2011-05-10,813.1857601485956
2011-05-11,807.6623754861774
2011-05-12,810.6922255792599
2011-05-13,817.5083944300604
2011-05-16,806.0775456117977
2011-05-17,807.0320466164341
2011-05-18,790.7604998291833
2011-05-19,802.2219800062152
2011-05-20,808.013442406548
2011-05-23,808.9842285337238
2011-05-24,812.0503819644806
2011-05-25,822.1613603385016
2011-05-26,817.2253859673515
2011-05-27,806.512424582231
