Date,UKRAINE SMALL CAP
2010-11-30,1000.0
2010-12-01,1017.368987376979
2010-12-02,1047.2786298909766
2010-12-03,1116.465255134346
2010-12-06,1093.252679863275
2010-12-07,1117.987572946522
2010-12-08,1137.0582092000031
2010-12-09,1160.7455721794238
2010-12-10,1184.2333368979478
2010-12-13,1167.5642086601254
2010-12-14,1157.9736769417714
2010-12-15,1163.223801356489
2010-12-16,1150.0268919614762
2010-12-17,1174.4229226615676
2010-12-20,1175.5770699453374
2010-12-21,1173.129281546876
2010-12-22,1180.3131470013566
2010-12-23,1173.5963190535037
2010-12-24,1183.1201078928332
2010-12-27,1193.180422856212
2010-12-28,1214.930449140261
2010-12-29,1226.572529127917
2010-12-30,1210.7914222755983
2010-12-31,1202.367811886318
2011-01-03,1207.1819623081046
2011-01-04,1211.2157221971763
2011-01-05,1254.0629285077027
2011-01-06,1289.5088256632002
2011-01-07,1294.7731405301477
2011-01-10,1325.1014822879952
2011-01-11,1352.0477352791227
2011-01-12,1355.325547117626
2011-01-13,1350.3041437055954
2011-01-14,1317.966826522636
2011-01-17,1336.1448138391215
2011-01-18,1330.2823423713953
2011-01-19,1324.3306875391477
2011-01-20,1318.2563358103025
2011-01-21,1305.5645362597868
2011-01-24,1386.6999594487993
2011-01-25,1463.22299872471
2011-01-26,1439.8599555546232
2011-01-27,1417.0973049228896
2011-01-28,1440.6905799409872
2011-01-31,1425.6367953605072
2011-02-01,1441.4770655828145
2011-02-02,1443.7390625658197
2011-02-03,1466.8906606096925
2011-02-04,1476.1776667180086
2011-02-07,1472.703742071026
2011-02-08,1455.0773735145815
2011-02-09,1437.4699431571087
2011-02-10,1383.418893896225
2011-02-11,1385.5060967009965
2011-02-14,1383.5694961803836
2011-02-15,1355.728869437161
2011-02-16,1366.9303112891964
2011-02-17,1374.3262506880621
2011-02-18,1356.49125658093
2011-02-21,1354.131186441711
2011-02-22,1276.028621053355
2011-02-23,1277.5517153461706
2011-02-24,1191.597662272271
2011-02-25,1228.363519255721
2011-02-28,1228.287201533922
2011-03-01,1229.8659488933183
2011-03-02,1219.3482343909927
2011-03-03,1219.4658811154911
2011-03-04,1211.1143260773372
2011-03-07,1209.0402042116416
2011-03-08,1219.0437745033416
2011-03-09,1215.8865258780636
2011-03-10,1221.216556971419
2011-03-11,1218.1528559955393
2011-03-14,1210.4590942124603
2011-03-15,1197.4972861747292
2011-03-16,1205.8697938025148
2011-03-17,1194.811781336883
2011-03-18,1187.7601839019433
2011-03-21,1192.8707092305117
2011-03-22,1189.7399020977102
2011-03-23,1194.6465281937367
2011-03-24,1188.2105803481859
2011-03-25,1192.5408448459439
2011-03-28,1195.3784557847632
2011-03-29,1191.1344767274168
2011-03-30,1191.7690580478106
2011-03-31,1183.3144720878324
