Date,VIETNAM SMALL CAP
2010-11-30,1000.0
2010-12-01,994.0062077898716
2010-12-02,1028.1410901042823
2010-12-03,1050.185626400042
2010-12-06,1067.2365405928424
2010-12-07,1031.0558579494227
2010-12-08,1003.1147050885428
2010-12-09,1036.4782359418678
2010-12-10,1072.0375154145854
2010-12-13,1104.967880615081
2010-12-14,1084.8948231631225
2010-12-15,1090.9779930332977
2010-12-16,1066.494937548056
2010-12-17,1114.382100060573
2010-12-20,1101.9379752768234
2010-12-21,1093.6859708101738
2010-12-22,1083.9008643653037
2010-12-23,1070.3592741042928
2010-12-24,1057.1778776213341
2010-12-27,1052.9914117798312
2010-12-28,1079.1966994822842
2010-12-29,1067.2402817912625
2010-12-30,1060.024928275852
2010-12-31,1058.3737598806113
2011-01-03,1062.6113737223725
2011-01-04,1060.5672253342586
2011-01-05,1054.3892529385053
2011-01-06,1057.134919780609
2011-01-07,1054.6926121251581
2011-01-10,1041.9675683496519
2011-01-11,1021.0805117451971
2011-01-12,1017.4368904813659
2011-01-13,1010.1909497985849
2011-01-14,1023.4159188125012
2011-01-17,1035.1764147734675
2011-01-18,1010.8050001959408
2011-01-19,1011.9368801683272
2011-01-20,1009.9910733248898
2011-01-21,1007.5502312885795
2011-01-24,991.2927467737059
2011-01-25,983.016378842811
2011-01-26,991.1697431026281
2011-01-27,1001.4526286752819
2011-01-28,1015.0016150481446
2011-01-31,1008.7087531021863
2011-02-01,1002.8400855118101
2011-02-02,1001.6055079570486
2011-02-03,1014.6849430987371
2011-02-04,1020.449347748184
2011-02-07,1021.2781849943797
2011-02-08,1023.6579392808511
2011-02-09,1017.5006109314652
2011-02-10,1026.6267565079932
2011-02-11,964.9196352383849
2011-02-14,959.827905076081
2011-02-15,947.1384905068531
2011-02-16,934.9512518283674
2011-02-17,915.9621656838646
2011-02-18,894.9060571401847
2011-02-21,850.5390908351177
2011-02-22,830.8442982305806
2011-02-23,837.3127655897438
2011-02-24,826.4179452515743
2011-02-25,842.311693308796
2011-02-28,825.8566733061755
2011-03-01,820.759920572343
2011-03-02,782.2082805204631
2011-03-03,764.6135653446278
2011-03-04,763.3091737412472
2011-03-07,762.1070634541392
2011-03-08,766.5484495551602
2011-03-09,746.4682193662413
2011-03-10,785.894939834857
2011-03-11,806.8893262897323
2011-03-14,769.980520150928
2011-03-15,762.9395047946538
2011-03-16,774.7011873302963
2011-03-17,770.237385629557
2011-03-18,784.1955555150147
2011-03-21,781.7701496973626
2011-03-22,767.5941129615371
2011-03-23,781.2795986107378
2011-03-24,767.306238148351
2011-03-25,769.5042794115769
2011-03-28,772.9785191068855
2011-03-29,766.8564976852936
2011-03-30,761.5288566472888
2011-03-31,754.0306283830927
2011-04-01,750.0671022971076
2011-04-04,739.5382530981218
2011-04-05,742.5625021521843
2011-04-06,750.0681575726643
2011-04-07,744.5532594362355
2011-04-08,737.9119707223497
2011-04-11,737.0184602924834
2011-04-12,734.857488608287
2011-04-13,726.2974128539798
2011-04-14,725.50670114037
2011-04-15,718.6553780823084
2011-04-18,713.4982755969144
2011-04-19,704.8474374284456
2011-04-20,697.4642492074737
2011-04-21,684.3833078442478
2011-04-22,675.1742315774691
2011-04-25,691.4028226976358
2011-04-26,674.9327148963955
2011-04-27,677.2337776540692
2011-04-28,667.5741402972604
2011-04-29,668.3327719676417
2011-05-02,665.8419235746521
2011-05-03,668.7554695576158
2011-05-04,664.1385589319493
2011-05-05,669.2861638627294
2011-05-06,676.4333269899057
2011-05-09,689.0863382527779
2011-05-10,678.6133636002724
2011-05-11,679.3410720937343
2011-05-12,685.2073971035991
2011-05-13,678.728694371057
2011-05-16,668.0009762366446
2011-05-17,655.0103611612761
2011-05-18,639.2653353748677
2011-05-19,631.2125004732873
2011-05-20,627.464016619665
2011-05-23,610.5396744060835
2011-05-24,581.735811014528
2011-05-25,558.5174636842862
2011-05-26,572.8084587483702
2011-05-27,581.1361059561241
2011-05-30,565.6833280167103
2011-05-31,564.4284833381612
2011-06-01,582.8299032808492
2011-06-02,606.9449859842678
2011-06-03,598.3827251334666
2011-06-06,591.9815599125393
2011-06-07,611.1481324169614
2011-06-08,607.7719542699274
2011-06-09,618.2715553548342
2011-06-10,638.2917002694529
2011-06-13,642.8754646817893
2011-06-14,629.3191079770247
2011-06-15,619.6317893554135
2011-06-16,636.5760597076871
2011-06-17,607.0166840148011
2011-06-20,598.2227226052014
2011-06-21,613.1623854182501
2011-06-22,610.2550441776538
2011-06-23,610.5404358637146
2011-06-24,612.7551732393812
