Date,LATVIA SMALL CAP
2023-09-01,1003.4560080793617
2023-09-04,1003.4560080793618
2023-09-05,1005.6780893753606
2023-09-06,1000.742382241909
2023-09-07,1000.742382241909
2023-09-08,989.8828134623698
2023-09-11,997.0406018918203
2023-09-12,991.1167402457326
2023-09-13,994.8185205958213
2023-09-14,993.5845938124581
2023-09-15,992.3506670290952
2023-09-18,986.4268053830074
2023-09-19,978.2808624409209
2023-09-20,981.4910982495558
2023-09-21,977.7893178994669
2023-09-22,967.9179036325633
2023-09-25,960.7601152031126
2023-09-26,965.6958223365644
2023-09-27,969.917776798962
2023-09-28,975.145969575832
2023-09-29,977.8840599735391
2023-10-02,982.6162767133205
2023-10-03,981.123237505195
2023-10-04,976.6390087839577
2023-10-05,969.4166896650138
2023-10-06,973.151843233758
2023-10-09,966.6734881704465
2023-10-10,964.431373809828
2023-10-11,961.4452953935764
2023-10-12,951.9808619140139
2023-10-13,951.9808619140135
2023-10-16,949.7387475533948
2023-10-17,947.4966331927765
2023-10-18,947.4966331927762
2023-10-19,946.251582003195
2023-10-20,937.2831245607205
2023-10-23,937.035136542176
2023-10-24,931.5538446499021
2023-10-25,936.0380733711394
2023-10-26,931.3058566313579
2023-10-27,930.3087934603207
2023-10-30,922.3373991888838
2023-10-31,918.8502336386836
2023-11-01,919.8472968097204
2023-11-02,924.5795135495019
2023-11-03,920.8443599807576
2023-11-06,931.5538446499017
2023-11-07,932.3029198023945
2023-11-08,961.4504064904357
2023-11-09,953.7270002375428
2023-11-10,965.1855600591798
2023-11-13,969.9177767989615
2023-11-14,968.6727256093804
2023-11-15,966.4306112487617
2023-11-16,963.191433717106
2023-11-17,963.1914337171061
2023-11-20,963.1914337171061
2023-11-21,971.9067920441761
2023-11-22,974.396894423339
2023-11-23,970.9097288731389
2023-11-24,968.4196264939759
2023-11-27,966.1775121333574
2023-11-28,963.9353977727388
2023-11-29,959.4511690515017
2023-11-30,971.6536929287715
2023-12-01,971.6536929287716
2023-12-04,969.2828555783526
2023-12-05,969.2828555783525
2023-12-06,962.6682181363393
2023-12-07,956.7227354469153
2023-12-08,966.8413722595241
2023-12-11,960.1261006425744
2023-12-12,967.9653588791324
2023-12-13,968.6921050644333
2023-12-14,968.9978867243724
2023-12-15,970.0434691053105
2023-12-18,971.4693582497275
2023-12-19,968.6345136317219
2023-12-20,968.634513631722
2023-12-21,967.9653588791325
2023-12-22,966.7401474086952
2023-12-25,966.7401474086952
2023-12-26,966.7401474086952
2023-12-27,960.8207150235276
2023-12-28,964.3513131212951
2023-12-29,969.1289816960953
2024-01-01,969.128981696095
2024-01-02,971.2228667786856
2024-01-03,966.8454540753597
2024-01-04,967.4143816897941
2024-01-05,965.3916788464968
2024-01-08,968.4547474149963
2024-01-09,971.9853455127641
2024-01-10,968.3665029620172
2024-01-11,967.414381689794
2024-01-12,967.4143816897941
2024-01-15,966.7401474086952
2024-01-16,964.3513131212949
2024-01-17,961.9624788338949
2024-01-18,960.2478788275939
2024-01-19,959.2655417094986
2024-01-22,955.2201360229045
2024-01-23,949.7682331670053
2024-01-24,950.0763360040014
2024-01-25,947.6875017166012
2024-01-26,948.4801962965516
2024-01-29,946.0913620091515
2024-01-30,948.5684407495306
2024-01-31,949.2124591847573
2024-02-01,948.1720934595553
2024-02-02,952.8615175813763
2024-02-05,949.9169093117287
2024-02-06,950.9874908828031
2024-02-07,949.6692381664775
2024-02-08,950.9294622756967
2024-02-09,949.9471251576016
2024-02-12,941.2727270409306
2024-02-13,939.0603816594888
2024-02-14,928.4685873661857
2024-02-15,931.7212984728296
2024-02-16,935.8378863987173
2024-02-19,930.8705752857725
2024-02-20,929.1257594335993
2024-02-21,925.6965594209969
2024-02-22,920.9359530598826
2024-02-23,923.395969586576
2024-02-26,931.9991854639534
2024-02-27,930.2845854576523
2024-02-28,928.6280140584581
2024-02-29,938.4441759854966
2024-03-01,940.3654975324898
2024-03-04,943.172604977057
2024-03-05,935.118582986122
2024-03-06,937.8320191929104
2024-03-07,934.6673519070105
2024-03-08,935.3338175591501
2024-03-11,940.4316715758895
