Date,PAKISTAN SMALL GROWTH
2017-06-01,963.1181251691629
2017-06-02,950.0048152812047
2017-06-05,995.160301903904
2017-06-06,996.8703329561688
2017-06-07,997.6785601384861
2017-06-08,997.871858478076
2017-06-09,994.0716075743031
2017-06-12,953.0395109228202
2017-06-13,949.0040029988545
2017-06-14,932.5951170138119
2017-06-15,945.0895094438606
2017-06-16,932.6431383697044
2017-06-19,914.8541167682836
2017-06-20,877.7999102377889
2017-06-21,895.9464066520312
2017-06-22,908.4841756292915
2017-06-23,905.0368026414125
2017-06-26,904.8752177810949
2017-06-27,898.1005794164556
2017-06-28,892.0542277201292
2017-06-29,882.3147536648711
2017-06-30,882.3114329731085
2017-07-03,846.7342501019996
2017-07-04,869.014750398999
2017-07-05,826.5234913409178
2017-07-06,821.5473273545888
2017-07-07,830.0203143056298
2017-07-10,859.7494148481202
2017-07-11,815.8016055326989
2017-07-12,797.5361919358561
2017-07-13,793.9078346138679
2017-07-14,801.6516426498479
2017-07-17,805.050776763833
2017-07-18,822.0791464077749
2017-07-19,820.5682607715556
2017-07-20,799.3671467765363
2017-07-21,802.7017183683078
2017-07-24,808.0983159142925
2017-07-25,821.3807310032272
2017-07-26,819.0686925324472
2017-07-27,815.2864358017653
2017-07-28,808.1740568480031
2017-07-31,814.9921048050682
2017-08-01,830.0211079269329
2017-08-02,835.9022882380419
2017-08-03,832.4062113186845
2017-08-04,837.8320050597144
2017-08-07,824.0979238969678
2017-08-08,809.8286040347961
2017-08-09,810.474956637193
2017-08-10,797.0006240062812
2017-08-11,787.0262673608197
2017-08-14,787.5605916395899
2017-08-15,758.5492229475469
2017-08-16,763.1543541866579
2017-08-17,736.3700270206383
2017-08-18,727.3516775675572
2017-08-21,695.3201844047271
2017-08-22,686.1388561939423
2017-08-23,708.8949895425623
2017-08-24,692.3097225041577
2017-08-25,701.6899621140138
2017-08-28,685.1647701692929
2017-08-29,671.5132012927648
2017-08-30,684.2474582067249
2017-08-31,691.2147825744577
2017-09-01,691.6323008910507
2017-09-04,689.7162611051705
2017-09-05,710.2768674613403
2017-09-06,698.6357265166985
2017-09-07,680.8298783887108
2017-09-08,686.1996811332127
2017-09-11,675.6671932386595
2017-09-12,674.4466823147778
2017-09-13,692.7687976399587
2017-09-14,690.1232518729411
2017-09-15,685.0074826231732
2017-09-18,681.7744804564167
2017-09-19,687.0488728956467
2017-09-20,689.4134323473615
2017-09-21,684.8927287140743
2017-09-22,681.112865058744
2017-09-25,686.5860366347971
2017-09-26,689.1058019371038
2017-09-27,683.8138748554704
2017-09-28,680.952067518008
2017-09-29,681.1680283389261
2017-10-02,682.3780930654741
2017-10-03,661.5895136989365
2017-10-04,641.5536421339858
2017-10-05,644.1227505263657
2017-10-06,659.3739565807027
2017-10-09,652.1935267336803
2017-10-10,637.3013404867173
2017-10-11,635.3609994402597
2017-10-12,625.5981339324335
2017-10-13,610.8915465703813
2017-10-16,635.5828632387397
2017-10-17,642.9872345316835
2017-10-18,644.1038757536343
2017-10-19,661.0664096421527
2017-10-20,676.9093840792115
2017-10-23,663.8931338483619
2017-10-24,653.3380838800982
2017-10-25,658.2885101780115
2017-10-26,661.1918854246392
2017-10-27,667.3855872449316
2017-10-30,649.5270587209585
2017-10-31,634.3705985915623
2017-11-01,647.823308446405
2017-11-02,638.954604827165
2017-11-03,653.1768940314029
2017-11-06,651.101778776008
2017-11-07,649.6130018692139
2017-11-08,659.3550365321543
2017-11-09,669.498803706706
2017-11-10,663.3444874865482
2017-11-13,658.9485899014917
2017-11-14,653.5258764687934
2017-11-15,647.4720000419818
2017-11-16,647.2666113602864
2017-11-17,645.0549356421925
2017-11-20,636.2218996636177
2017-11-21,641.7963198092116
2017-11-22,638.5640895119212
2017-11-23,630.157149510327
2017-11-24,623.5418677757987
2017-11-27,620.4271092101055
2017-11-28,617.7337770736009
2017-11-29,616.4211585686476
2017-11-30,619.4477423080871
2017-12-01,622.4232212876982
2017-12-04,621.2622059605442
2017-12-05,623.8426717712969
2017-12-06,624.7598098082201
2017-12-07,604.2622847885099
2017-12-08,606.346862373327
2017-12-11,580.0437612203982
2017-12-12,572.5607703471311
2017-12-13,578.3788006403776
2017-12-14,567.2213930221521
2017-12-15,579.6438639656751
2017-12-18,573.7399316306922
2017-12-19,557.605923884603
2017-12-20,555.5440444842243
2017-12-21,566.4878521755381
2017-12-22,577.738236951629
2017-12-25,577.738236951629
2017-12-26,576.2899108306557
2017-12-27,584.6127405381186
2017-12-28,581.2394664305829
2017-12-29,576.8866528079398
2018-01-01,579.6965473425668
2018-01-02,586.5945801386464
2018-01-03,588.4781122399085
2018-01-04,592.5319878914964
2018-01-05,604.7415915603801
2018-01-08,616.4881124243047
2018-01-09,614.9323322729532
2018-01-10,628.1714034846215
2018-01-11,621.6676051359922
2018-01-12,608.228768439887
2018-01-15,595.7625271290708
2018-01-16,603.43233794348
2018-01-17,609.9597978391147
2018-01-18,615.5100429751521
2018-01-19,633.0656111248018
2018-01-22,646.8408380884492
2018-01-23,641.6678800764233
2018-01-24,635.6355094591835
2018-01-25,624.8797874255034
2018-01-26,624.8456560524145
2018-01-29,623.7198826593439
