Date,SLOVENIA SMALL CAP
2010-11-30,1000.0
2010-12-01,969.6893027343725
2010-12-02,952.853387863228
2010-12-03,952.853387863228
2010-12-06,943.2011583281521
2010-12-07,937.91906902959
2010-12-08,933.5799515135388
2010-12-09,945.0987698158225
2010-12-10,951.9131284944275
2010-12-13,944.5112060908122
2010-12-14,941.2935243477924
2010-12-15,920.1036682589051
2010-12-16,929.8516756975171
2010-12-17,941.0092830195628
2010-12-20,946.2682099166881
2010-12-21,952.1390624677174
2010-12-22,962.8651872776544
2010-12-23,974.3922985739741
2010-12-24,974.3922985739741
2010-12-27,970.1546848405713
2010-12-28,990.8262519380961
2010-12-29,999.6208289648694
2010-12-30,1020.1061724251396
2010-12-31,1020.1061724251394
2011-01-03,1031.1147268652385
2011-01-04,1013.0339848161575
2011-01-05,988.4781135345172
2011-01-06,982.269248206067
2011-01-07,980.1611103990317
2011-01-10,978.3242330753284
2011-01-11,969.2936193094563
2011-01-12,959.9173720854724
2011-01-13,887.4487771719837
2011-01-14,892.6391700342887
2011-01-17,904.7586033037798
2011-01-18,904.8075591517403
2011-01-19,890.6404461152854
2011-01-20,881.5963469620318
2011-01-21,885.9464114128217
2011-01-24,884.7449125017553
2011-01-25,884.0027017896883
2011-01-26,884.2720438549928
2011-01-27,869.6805715601151
2011-01-28,859.1018318783291
2011-01-31,843.8404166639324
2011-02-01,837.3927469350873
2011-02-02,829.4599571807518
2011-02-03,820.9256083306764
2011-02-04,806.0052770233114
2011-02-07,804.8184506637764
2011-02-08,804.8184506637763
2011-02-09,792.5275208385721
2011-02-10,793.5995163678353
2011-02-11,791.6202169353295
2011-02-14,781.8082206814627
2011-02-15,799.6455454214995
2011-02-16,798.7515900695142
2011-02-17,813.0400671981706
2011-02-18,819.5210553585383
2011-02-21,840.4042964924927
2011-02-22,847.1046502356171
2011-02-23,839.041840612342
2011-02-24,823.4697986424252
2011-02-25,822.3829732049742
2011-02-28,826.6685358801607
2011-03-01,804.2848762954129
2011-03-02,794.2527737843965
2011-03-03,796.3159290654144
2011-03-04,778.1617468729604
