Date,NIGERIA SMALL CAP
2010-11-30,1000.0
2010-12-01,991.1315894971101
2010-12-02,981.1309939562391
2010-12-03,962.0412847682251
2010-12-06,961.8444039117758
2010-12-07,954.7414818103557
2010-12-08,961.6088484536477
2010-12-09,955.5059960228406
2010-12-10,946.5526154615961
2010-12-13,928.3911780463554
2010-12-14,928.301867790529
2010-12-15,923.8119909372499
2010-12-16,938.1756285694631
2010-12-17,937.3069173532883
2010-12-20,943.0241560536994
2010-12-21,945.1502797422243
2010-12-22,966.9410813961736
2010-12-23,974.3419623024264
2010-12-24,961.2713061075832
2010-12-27,959.1300017197802
2010-12-28,960.4811976558002
2010-12-29,963.8042247439703
2010-12-30,959.8176841663877
2010-12-31,955.7030553373223
2011-01-03,959.5295868042094
2011-01-04,985.9658410119492
2011-01-05,1040.0526004565816
2011-01-06,1074.5661552475865
2011-01-07,1057.0208405181265
2011-01-10,1052.8828504136736
2011-01-11,1053.6232753035404
2011-01-12,1050.5077873082726
2011-01-13,1037.465004949296
2011-01-14,1058.9279539667325
2011-01-17,1050.5521784985092
2011-01-18,1028.4145166144338
2011-01-19,1037.0091205529584
2011-01-20,1056.6480259264877
2011-01-21,1048.020775750922
2011-01-24,1042.0813539622125
2011-01-25,1047.2315977144997
2011-01-26,1055.6947359474177
2011-01-27,1042.4860517160682
2011-01-28,1043.3770689869596
2011-01-31,1009.0911650657221
2011-02-01,1007.9768633525356
2011-02-02,1019.4940757081844
2011-02-03,1033.6700576377252
2011-02-04,1040.9750790302194
2011-02-07,1032.750443818813
2011-02-08,1020.3344721629562
2011-02-09,1019.5480600436828
2011-02-10,1019.1016612847917
2011-02-11,1028.5898780294126
2011-02-14,1029.472282739191
2011-02-15,1025.4727789212457
2011-02-16,1022.661567944877
2011-02-17,1020.368613133336
2011-02-18,1008.4304578669258
2011-02-21,1005.3733232452585
2011-02-22,997.4975729482151
2011-02-23,997.2930015975312
2011-02-24,987.9419699498391
2011-02-25,980.7627509191303
2011-02-28,963.9730359588141
2011-03-01,965.4053225339111
2011-03-02,942.713953422801
2011-03-03,930.3133447897209
2011-03-04,917.0901025489803
2011-03-07,918.2366976048272
2011-03-08,926.7119055669662
2011-03-09,931.9798765557481
2011-03-10,953.9957900641333
2011-03-11,957.9104455432843
2011-03-14,934.5108895341666
2011-03-15,899.4842218883082
2011-03-16,878.3886516559227
2011-03-17,857.8934875594949
2011-03-18,840.7999139787075
2011-03-21,840.0175807385468
2011-03-22,865.3216298361694
2011-03-23,871.1791693442692
2011-03-24,861.2507230875125
2011-03-25,869.1685948420262
2011-03-28,855.604087151263
2011-03-29,853.9637016175583
2011-03-30,848.7682807782257
2011-03-31,847.8926158780835
2011-04-01,866.1268062933043
2011-04-04,855.1111517116956
2011-04-05,866.4991633058833
2011-04-06,856.97914739246
2011-04-07,855.1721399877115
2011-04-08,844.6465368027551
2011-04-11,842.6896237999579
2011-04-12,834.079795647729
2011-04-13,834.8366761293751
2011-04-14,849.9593961883596
2011-04-15,863.0606312797465
2011-04-18,891.5273173732295
2011-04-19,897.5683525942234
2011-04-20,878.591233408312
2011-04-21,881.0262070031287
2011-04-22,881.0262070031287
2011-04-25,881.6615624408713
2011-04-26,877.6830540912817
2011-04-27,880.1725061165391
2011-04-28,879.2400131929203
2011-04-29,874.2237783531583
2011-05-02,870.9655827584498
2011-05-03,872.325795728228
2011-05-04,876.2779591389557
2011-05-05,899.5669705204142
2011-05-06,914.1731349519024
2011-05-09,924.0253519455456
2011-05-10,933.6432046338173
2011-05-11,943.0457752658258
2011-05-12,942.1281824837064
2011-05-13,952.2833932181615
2011-05-16,949.6555610227886
2011-05-17,946.9978103830507
2011-05-18,925.7585608266108
2011-05-19,925.5674170090165
2011-05-20,928.2610687234422
2011-05-23,935.7928141376616
2011-05-24,914.918363930592
2011-05-25,912.115688429776
2011-05-26,927.0631617754323
2011-05-27,915.165059438473
2011-05-30,914.4916959877107
2011-05-31,911.1857920315172
2011-06-01,909.1085022113192
2011-06-02,912.0660479738616
2011-06-03,912.2733199808482
2011-06-06,906.4364881676636
2011-06-07,890.4345280593243
2011-06-08,892.5806129231113
2011-06-09,895.5375557285842
2011-06-10,899.4477375697828
2011-06-13,892.4986771104884
2011-06-14,881.6383265719147
2011-06-15,899.2054877536382
2011-06-16,900.1095953650183
2011-06-17,900.7942870877505
2011-06-20,885.712537652684
2011-06-21,877.7840882952137
2011-06-22,874.1319075059931
2011-06-23,893.5195928377198
2011-06-24,902.5525413210597
2011-06-27,897.1161524878785
2011-06-28,887.8902372258367
2011-06-29,884.2834225752252
2011-06-30,877.604666531698
2011-07-01,877.4084198771333
2011-07-04,876.4087741791786
2011-07-05,860.74860685095
2011-07-06,855.7549686420778
2011-07-07,856.2915566934686
2011-07-08,855.7790115748412
2011-07-11,863.4078198531487
2011-07-12,851.1161104062074
2011-07-13,831.0545320164434
2011-07-14,815.5545722974492
2011-07-15,816.9985939547054
2011-07-18,821.9962182484826
2011-07-19,805.6813048436345
2011-07-20,808.1448716387107
2011-07-21,801.472348386146
2011-07-22,816.1707467770977
2011-07-25,829.9569143329061
2011-07-26,824.9066281557226
2011-07-27,826.5320703645262
2011-07-28,818.7265109541796
2011-07-29,803.7836659609945
2011-08-01,822.0101188713975
2011-08-02,816.5889553172537
2011-08-03,814.8749719079045
2011-08-04,823.1969856203651
2011-08-05,802.4717542955883
2011-08-08,774.5258498149208
2011-08-09,746.1735096848237
2011-08-10,746.8681996759221
2011-08-11,744.2475750211285
2011-08-12,760.5951710321953
