Date,TUNISIA SMALL CAP
2010-11-30,1000.0
2010-12-01,992.0504309615802
2010-12-02,993.4346761684654
2010-12-03,982.8092873504156
2010-12-06,984.6920902376148
2010-12-07,985.2300986360153
2010-12-08,985.83150335906
2010-12-09,985.4131954545115
2010-12-10,978.8003153167853
2010-12-13,968.0585691879305
2010-12-14,958.1361448280363
2010-12-15,964.5950871276981
2010-12-16,967.9567746576918
2010-12-17,965.2999401864403
2010-12-20,960.4994343897055
2010-12-21,965.947241419342
2010-12-22,971.5287925289374
2010-12-23,973.7799409104546
2010-12-24,975.9517166533616
2010-12-27,963.896247370708
2010-12-28,947.295303735451
2010-12-29,938.0916247142799
2010-12-30,945.669870087816
2010-12-31,949.0653898360222
2011-01-03,952.4510444290128
2011-01-04,960.5942835678236
2011-01-05,978.0040513247909
2011-01-06,980.8941744534932
2011-01-07,973.9547609596484
2011-01-10,954.0342154012674
2011-01-11,931.0060498390034
2011-01-12,891.069870025484
2011-01-13,843.6993014818614
2011-01-14,830.8469230963966
2011-01-17,838.4449984263018
2011-01-18,834.7315829775918
2011-01-19,832.3227812799132
2011-01-20,829.0744740608545
2011-01-21,828.8722118429754
2011-01-24,829.4660490191796
2011-01-25,827.384699789696
2011-01-26,823.8449699260129
2011-01-27,822.8693501851347
2011-01-28,827.3996551482546
2011-01-31,822.39581559365
2011-02-01,804.9052053197785
2011-02-02,774.9015176678688
2011-02-03,776.192954340678
2011-02-04,791.0127886965306
2011-02-07,814.4954155605911
2011-02-08,795.4202318519967
2011-02-09,804.7985177510154
2011-02-10,795.9075688432662
2011-02-11,782.7626260924947
2011-02-14,772.1266768909189
2011-02-15,771.5508509089038
2011-02-16,764.7627363663518
2011-02-17,768.0193149608436
2011-02-18,765.2545128425915
2011-02-21,745.2362678634433
2011-02-22,733.5771315969521
2011-02-23,717.936420004299
2011-02-24,696.3318673037652
2011-02-25,663.7116803834753
2011-02-28,661.9015874292411
2011-03-01,662.4513669316441
2011-03-02,662.9641091811043
2011-03-03,660.9132998226563
2011-03-04,661.579502222489
2011-03-07,690.1413318738319
2011-03-08,713.7857412001936
2011-03-09,707.9489726397013
2011-03-10,709.4411022954743
2011-03-11,720.9336992533233
2011-03-14,714.1118479421789
2011-03-15,703.4985774840175
2011-03-16,705.4536308961361
2011-03-17,704.0408838923511
2011-03-18,714.2934415897449
2011-03-21,711.3855592739945
2011-03-22,712.9905459161314
2011-03-23,725.2669733428521
2011-03-24,726.5142720252973
2011-03-25,722.7867129343659
2011-03-28,726.4085875465105
2011-03-29,715.3886219860718
2011-03-30,716.3101213767541
