Date,COLOMBIA MOMENTUM
1996-05-31,1000.0
1996-06-28,998.7701033815571
1996-07-31,996.5679006217679
1996-08-30,1005.9114813303812
1996-09-30,1075.6876471151231
1996-10-31,1109.2073505856274
1996-11-29,1079.640340062348
1996-12-31,1077.5859879671066
1997-01-01,1077.5859879671066
1997-01-02,1074.308838111708
1997-01-03,1063.3102918400455
1997-01-06,1063.3102918400455
1997-01-07,1092.4022204700157
1997-01-08,1126.7207775085699
1997-01-09,1155.9238162587312
1997-01-10,1198.614718996122
1997-01-13,1263.0701267563531
1997-01-14,1333.2686941290847
1997-01-15,1349.8919436520537
1997-01-16,1340.5077229065942
1997-01-17,1318.1029700956128
1997-01-20,1303.4268930723076
1997-01-21,1273.305218150191
1997-01-22,1221.6974406241711
1997-01-23,1198.159360420215
1997-01-24,1197.15124535117
1997-01-27,1181.7180430614344
1997-01-28,1178.5318580809599
1997-01-29,1169.8614574899843
1997-01-30,1183.292052307874
1997-01-31,1213.5414112676476
1997-02-03,1216.1824093129799
1997-02-04,1272.459464786155
1997-02-05,1314.211407401671
1997-02-06,1313.9783486289402
1997-02-07,1284.4298197651485
1997-02-10,1269.293583899488
1997-02-11,1277.83703695522
1997-02-12,1284.9926962230172
1997-02-13,1293.3364541860071
1997-02-14,1297.020916658015
1997-02-17,1300.7995379511108
1997-02-18,1309.8899735583107
1997-02-19,1306.3670511911455
1997-02-20,1323.2075044357248
1997-02-21,1339.133604187673
1997-02-24,1341.3301993754972
1997-02-25,1342.6744390033684
1997-02-26,1330.9075519523149
1997-02-27,1344.817276486371
1997-02-28,1351.7235463328973
1997-03-03,1349.2707793215302
1997-03-04,1351.2833280022637
1997-03-05,1365.9560375460842
1997-03-06,1371.7324847561954
1997-03-07,1375.0998756668703
1997-03-10,1372.7936810332747
1997-03-11,1364.7967275909764
1997-03-12,1364.8674221507833
1997-03-13,1380.3832564228421
1997-03-14,1380.5645321531513
1997-03-17,1379.2194454479497
1997-03-18,1363.4393300955533
1997-03-19,1357.8165739580686
1997-03-20,1354.8407844420121
1997-03-21,1357.2069322062412
1997-03-24,1357.5912286476398
1997-03-25,1358.3994152309099
1997-03-26,1359.5262566409122
1997-03-27,1361.5017552456418
1997-03-28,1361.5017552456418
1997-03-31,1363.2454542142877
1997-04-01,1362.201188928442
1997-04-02,1374.6165962418677
1997-04-03,1377.051759255924
1997-04-04,1397.6556120725616
1997-04-07,1420.553515150385
1997-04-08,1433.4768723670616
1997-04-09,1451.445993987425
1997-04-10,1453.9806650591042
1997-04-11,1439.2406331957236
1997-04-14,1448.6281502245997
1997-04-15,1453.1091141466218
1997-04-16,1457.1473086080973
1997-04-17,1461.761180345154
1997-04-18,1454.1625462324255
1997-04-21,1449.9475240200507
1997-04-22,1455.2550331034563
1997-04-23,1443.0424276641445
1997-04-24,1460.9093391346473
1997-04-25,1468.186972395188
1997-04-28,1465.8006518682762
1997-04-29,1468.2904236051854
1997-04-30,1473.0208386652382
1997-05-01,1473.1697542595791
1997-05-02,1460.1488483151059
1997-05-05,1466.4050991394543
1997-05-06,1478.217224858361
1997-05-07,1496.8328966054655
1997-05-08,1493.2168871519466
1997-05-09,1496.6790567995363
1997-05-12,1496.6790567995363
1997-05-13,1488.1597891326116
1997-05-14,1485.4118278014682
1997-05-15,1485.768859247114
1997-05-16,1488.3826903988515
1997-05-19,1494.1978135814238
1997-05-20,1496.167778932185
1997-05-21,1504.991309103199
1997-05-22,1520.362033343024
1997-05-23,1553.7901003361212
1997-05-26,1573.6572221331396
1997-05-27,1594.4612369979982
1997-05-28,1589.7333665764506
1997-05-29,1577.9734875205663
1997-05-30,1537.0402007805671
1997-06-02,1544.975902689201
1997-06-03,1546.8879109342502
1997-06-04,1528.9295802692095
1997-06-05,1525.1593166046223
1997-06-06,1495.4865624133902
1997-06-09,1496.5262981462386
1997-06-10,1492.5751739846708
1997-06-11,1497.645134136542
1997-06-12,1504.9075147288993
1997-06-13,1512.9644470269047
1997-06-16,1526.057560357924
1997-06-17,1529.6252356130308
1997-06-18,1526.800889107677
