Date,CHINA A INTERNATIONAL MOMENTUM
2009-05-08,1229.9575362739722
2009-05-11,1202.8677395416755
2009-05-12,1219.0585432198309
2009-05-13,1231.2826387475031
2009-05-14,1223.760953875492
2009-05-15,1224.145118954654
2009-05-18,1224.755095329171
2009-05-19,1228.7464310570238
2009-05-20,1217.046559413163
2009-05-21,1203.707621145542
2009-05-22,1198.365810679095
2009-05-25,1198.1695855282856
2009-05-26,1191.0644649520689
2009-05-27,1203.0104387379577
2009-05-28,1203.0104387379577
2009-05-29,1203.0104387379577
2009-06-01,1259.9473545278513
2009-06-02,1263.1942375829756
2009-06-03,1300.7541109720523
2009-06-04,1293.0672436348218
2009-06-05,1290.9168461254903
2009-06-08,1276.460853431761
2009-06-09,1274.7409164141254
2009-06-10,1280.6627882991177
2009-06-11,1261.6634482109898
2009-06-12,1240.3931009854325
2009-06-15,1254.4193619069715
2009-06-16,1261.3667445565627
2009-06-17,1292.7036270982326
2009-06-18,1314.9455696854002
2009-06-19,1314.0447592932626
2009-06-22,1309.0963824693335
2009-06-23,1299.6580529130695
2009-06-24,1342.3112585076806
2009-06-25,1339.4148597176759
2009-06-26,1351.629741303737
2009-06-29,1377.5208781752078
2009-06-30,1386.4355086461642
2009-07-01,1420.000615650588
2009-07-02,1441.3912546092781
2009-07-03,1473.4641605645122
2009-07-06,1477.6733535803398
2009-07-07,1450.20676005715
2009-07-08,1477.7857103734452
2009-07-09,1499.7860694067112
2009-07-10,1504.8033370957287
2009-07-13,1482.3555914430278
2009-07-14,1520.7755066370296
2009-07-15,1543.3146083944666
2009-07-16,1544.5923779089817
2009-07-17,1556.7706881047113
2009-07-20,1593.3642542034347
2009-07-21,1561.7612074881606
2009-07-22,1593.9937236746057
2009-07-23,1620.3947901348454
2009-07-24,1619.113084436442
2009-07-27,1648.4588207936497
2009-07-28,1634.9875267555594
2009-07-29,1537.5109074271295
2009-07-30,1562.020004310838
2009-07-31,1609.5954150105417
2009-08-03,1609.7431596890663
2009-08-04,1626.4150659709715
2009-08-05,1601.6479042524006
2009-08-06,1572.6255216944269
2009-08-07,1512.4027516024692
2009-08-10,1508.7952295460734
2009-08-11,1518.6568972491632
2009-08-12,1459.0392265242613
2009-08-13,1497.148088463383
2009-08-14,1469.219516313947
2009-08-17,1360.9897658536352
2009-08-18,1374.9647893395252
2009-08-19,1293.6202585736187
2009-08-20,1352.941905066312
2009-08-21,1385.6745529826474
