Date,MEXICO MOMENTUM
1995-05-31,1000.0
1995-06-30,1076.267812836351
1995-07-31,1163.25769895249
1995-08-31,1194.711916198333
1995-09-29,1127.6802273163555
1995-10-31,1007.5304956690843
1995-11-30,1091.4123780345824
1995-12-29,1106.0083671077184
1996-01-31,1217.4509031216498
1996-02-29,1107.6913439232937
1996-03-29,1193.8113001806778
1996-04-30,1246.8862469686956
1996-05-31,1263.197182456518
1996-06-28,1234.9832931293447
1996-07-31,1153.1841719691145
1996-08-30,1290.8134969733608
1996-09-30,1290.8901306599644
1996-10-31,1211.753911365345
1996-11-29,1256.7076954254273
1996-12-31,1291.301717037439
1997-01-01,1291.301717037439
1997-01-02,1285.5277589134269
1997-01-03,1304.7350982767052
1997-01-06,1326.217750229826
1997-01-07,1336.4107890710043
1997-01-08,1340.8293242401498
1997-01-09,1343.7372323743152
1997-01-10,1353.901777929585
1997-01-13,1346.1798583044508
1997-01-14,1372.6020532106013
1997-01-15,1398.0026941723975
1997-01-16,1385.0004998280997
1997-01-17,1406.2933790656036
1997-01-20,1417.364610907783
1997-01-21,1412.7355725823056
1997-01-22,1412.9110879776424
1997-01-23,1412.21602266534
1997-01-24,1400.7251036754892
1997-01-27,1393.9402052739038
1997-01-28,1391.7698211613958
1997-01-29,1365.076342028373
1997-01-30,1378.5738214632113
1997-01-31,1370.430126820057
1997-02-03,1366.344015231882
1997-02-04,1378.7530912661286
1997-02-05,1379.1058037479056
1997-02-06,1373.0876583745587
1997-02-07,1372.1256450903227
1997-02-10,1373.040171897881
1997-02-11,1391.8940017638781
1997-02-12,1400.2008543667253
1997-02-13,1397.8205301682349
1997-02-14,1417.4865685149803
1997-02-17,1424.3115992340224
1997-02-18,1419.9844321789874
1997-02-19,1432.6931759470067
1997-02-20,1424.0575959273185
1997-02-21,1435.117931056651
1997-02-24,1441.7745871968843
1997-02-25,1459.5700909053999
1997-02-26,1443.0214698506552
1997-02-27,1392.1125787980832
1997-02-28,1398.767061112419
1997-03-03,1371.7780514069032
1997-03-04,1358.71675714457
1997-03-05,1347.0030961728874
1997-03-06,1354.6790180083178
1997-03-07,1361.5835368980174
1997-03-10,1376.8107174216257
1997-03-11,1364.9682874220002
1997-03-12,1347.2200248074557
1997-03-13,1337.497216033587
1997-03-14,1345.6456482124995
1997-03-17,1340.557848678436
1997-03-18,1356.0733863410646
1997-03-19,1379.6267684232141
1997-03-20,1372.0902482600486
1997-03-21,1372.350015440711
1997-03-24,1393.8456682428546
1997-03-25,1400.9416100515684
1997-03-26,1405.309211478373
1997-03-27,1400.7856839736144
1997-03-28,1400.6088840639873
1997-03-31,1366.5220051859985
1997-04-01,1350.6105677100597
1997-04-02,1350.828736562506
1997-04-03,1352.920341714325
1997-04-04,1363.3299783838638
1997-04-07,1381.440333504486
1997-04-08,1379.256155090339
1997-04-09,1384.24617918814
1997-04-10,1377.1285047792692
1997-04-11,1360.8405550369596
1997-04-14,1376.8450606511008
1997-04-15,1382.7778250706956
1997-04-16,1385.9285243951183
1997-04-17,1365.766522584891
1997-04-18,1365.5682232962602
1997-04-21,1352.9165949754117
1997-04-22,1374.9248208765293
1997-04-23,1385.9131874712252
1997-04-24,1366.338437618494
1997-04-25,1365.0264425302719
1997-04-28,1350.6400654818844
1997-04-29,1349.9225852889133
1997-04-30,1348.9522322916666
1997-05-01,1350.7361111882742
1997-05-02,1363.1146599724925
1997-05-05,1364.408756168669
1997-05-06,1369.2790484338093
1997-05-07,1362.8713011712002
1997-05-08,1385.5617754785378
1997-05-09,1399.8440584058928
1997-05-12,1414.092916653888
1997-05-13,1416.851808617622
1997-05-14,1405.1790492893495
1997-05-15,1405.6041185223885
1997-05-16,1406.289230645043
1997-05-19,1419.3256785992241
1997-05-20,1428.077886039399
1997-05-21,1438.602227767041
1997-05-22,1447.4610329134675
1997-05-23,1444.8805447741686
1997-05-26,1434.9388243535536
1997-05-27,1425.7638298126622
1997-05-28,1404.9502581168936
1997-05-29,1404.2272204435187
1997-05-30,1406.4155745480605
1997-06-02,1418.0996045322881
1997-06-03,1441.4823380134392
1997-06-04,1455.6332317677338
1997-06-05,1439.6810158438752
1997-06-06,1449.5628585525335
1997-06-09,1443.142673153781
1997-06-10,1446.8439640642855
1997-06-11,1469.1027737531583
1997-06-12,1488.396817894486
1997-06-13,1493.703426818853
1997-06-16,1493.4071823919599
1997-06-17,1502.1980795592578
1997-06-18,1506.6389971302858
1997-06-19,1516.5235173408503
1997-06-20,1543.2591041791693
1997-06-23,1548.1940605643983
1997-06-24,1536.010273861675
1997-06-25,1531.3279808117823
1997-06-26,1556.0475186804217
1997-06-27,1559.766121372652
1997-06-30,1560.5759100577482
1997-07-01,1583.2120639275515
1997-07-02,1593.8958269416887
1997-07-03,1598.5591377689802
1997-07-04,1619.211455740762
1997-07-07,1659.0888392403497
1997-07-08,1677.076378930397
1997-07-09,1681.85249085094
1997-07-10,1695.0872109260904
